Section,Name,Type,Default,Description,Model,Estimator
Attributes,X_offset_,float,,"If `fit_intercept=True`, offset subtracted for centering data to a zero mean. Set to np.zeros(n_features) otherwise.",ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>
Attributes,X_scale_,float,,Set to np.ones(n_features).,ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>
Attributes,n_features_in_,int,,Number of features seen during :term:`fit`.,ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>
,feature_names_in_,ndarray of shape (`n_features_in_`,,Names of features seen during :term:`fit`. Defined only when `X` has feature names that are all strings.,ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>
Parameters,estimator,object,None,"The base estimator from which the boosted ensemble is built. Support for sample weighting is required, as well as proper ``classes_`` and ``n_classes_`` attributes. If ``None``, then the base estimator is :class:`~sklearn.tree.DecisionTreeClassifier` initialized with `max_depth=1`. `base_estimator` was renamed to `estimator`.",AdaBoostClassifier,<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>
Parameters,n_estimators,int,50,"The maximum number of estimators at which boosting is terminated. In case of perfect fit, the learning procedure is stopped early. Values must be in the range `[1, inf)`.",AdaBoostClassifier,<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>
Parameters,learning_rate,float,1.0,"Weight applied to each classifier at each boosting iteration. A higher learning rate increases the contribution of each classifier. There is a trade-off between the `learning_rate` and `n_estimators` parameters. Values must be in the range `(0.0, inf)`.",AdaBoostClassifier,<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>
Parameters,algorithm,{'SAMME'},'SAMME',Use the SAMME discrete boosting algorithm. `algorithm` is deprecated and will be removed in version 1.8. This estimator only implements the 'SAMME' algorithm.,AdaBoostClassifier,<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>
Attributes,random_state,int,None,"Controls the random seed given at each `estimator` at each boosting iteration. Thus, it is only used when `estimator` exposes a `random_state`. Pass an int for reproducible output across multiple function calls. See :term:`Glossary <random_state>`.",AdaBoostClassifier,<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>
Attributes,estimator_,estimator,,The base estimator from which the ensemble is grown. `base_estimator_` was renamed to `estimator_`.,AdaBoostClassifier,<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>
Attributes,estimators_,list of classifiers,,The collection of fitted sub-estimators.,AdaBoostClassifier,<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>
Attributes,classes_,ndarray of shape (n_classes,,The classes labels.,AdaBoostClassifier,<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>
Attributes,n_classes_,int,,The number of classes.,AdaBoostClassifier,<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>
Attributes,estimator_weights_,ndarray of floats,,Weights for each estimator in the boosted ensemble.,AdaBoostClassifier,<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>
Attributes,estimator_errors_,ndarray of floats,,Classification error for each estimator in the boosted ensemble.,AdaBoostClassifier,<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>
Attributes,feature_importances_,ndarray of shape (n_features,,The impurity-based feature importances if supported by the ``estimator`` (when based on decision trees). Warning: impurity-based feature importances can be misleading for high cardinality features (many unique values). See :func:`sklearn.inspection.permutation_importance` as an alternative.,AdaBoostClassifier,<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>
Attributes,n_features_in_,int,,Number of features seen during :term:`fit`.,AdaBoostClassifier,<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>
,feature_names_in_,ndarray of shape (`n_features_in_`,,Names of features seen during :term:`fit`. Defined only when `X` has feature names that are all strings.,AdaBoostClassifier,<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>
Parameters,estimator,object,None,"The base estimator from which the boosted ensemble is built. If ``None``, then the base estimator is :class:`~sklearn.tree.DecisionTreeRegressor` initialized with `max_depth=3`. `base_estimator` was renamed to `estimator`.",AdaBoostRegressor,<class 'sklearn.ensemble._weight_boosting.AdaBoostRegressor'>
Parameters,n_estimators,int,50,"The maximum number of estimators at which boosting is terminated. In case of perfect fit, the learning procedure is stopped early. Values must be in the range `[1, inf)`.",AdaBoostRegressor,<class 'sklearn.ensemble._weight_boosting.AdaBoostRegressor'>
Parameters,learning_rate,float,1.0,"Weight applied to each regressor at each boosting iteration. A higher learning rate increases the contribution of each regressor. There is a trade-off between the `learning_rate` and `n_estimators` parameters. Values must be in the range `(0.0, inf)`.",AdaBoostRegressor,<class 'sklearn.ensemble._weight_boosting.AdaBoostRegressor'>
Parameters,loss,{'linear','linear',The loss function to use when updating the weights after each boosting iteration.,AdaBoostRegressor,<class 'sklearn.ensemble._weight_boosting.AdaBoostRegressor'>
Attributes,random_state,int,None,"Controls the random seed given at each `estimator` at each boosting iteration. Thus, it is only used when `estimator` exposes a `random_state`. In addition, it controls the bootstrap of the weights used to train the `estimator` at each boosting iteration. Pass an int for reproducible output across multiple function calls. See :term:`Glossary <random_state>`.",AdaBoostRegressor,<class 'sklearn.ensemble._weight_boosting.AdaBoostRegressor'>
Attributes,estimator_,estimator,,The base estimator from which the ensemble is grown. `base_estimator_` was renamed to `estimator_`.,AdaBoostRegressor,<class 'sklearn.ensemble._weight_boosting.AdaBoostRegressor'>
Attributes,estimators_,list of regressors,,The collection of fitted sub-estimators.,AdaBoostRegressor,<class 'sklearn.ensemble._weight_boosting.AdaBoostRegressor'>
Attributes,estimator_weights_,ndarray of floats,,Weights for each estimator in the boosted ensemble.,AdaBoostRegressor,<class 'sklearn.ensemble._weight_boosting.AdaBoostRegressor'>
Attributes,estimator_errors_,ndarray of floats,,Regression error for each estimator in the boosted ensemble.,AdaBoostRegressor,<class 'sklearn.ensemble._weight_boosting.AdaBoostRegressor'>
Attributes,feature_importances_,ndarray of shape (n_features,,The impurity-based feature importances if supported by the ``estimator`` (when based on decision trees). Warning: impurity-based feature importances can be misleading for high cardinality features (many unique values). See :func:`sklearn.inspection.permutation_importance` as an alternative.,AdaBoostRegressor,<class 'sklearn.ensemble._weight_boosting.AdaBoostRegressor'>
Attributes,n_features_in_,int,,Number of features seen during :term:`fit`.,AdaBoostRegressor,<class 'sklearn.ensemble._weight_boosting.AdaBoostRegressor'>
,feature_names_in_,ndarray of shape (`n_features_in_`,,Names of features seen during :term:`fit`. Defined only when `X` has feature names that are all strings.,AdaBoostRegressor,<class 'sklearn.ensemble._weight_boosting.AdaBoostRegressor'>
Parameters,sample_steps,int,2,Gives the number of (complex) sampling points.,AdditiveChi2Sampler,<class 'sklearn.kernel_approximation.AdditiveChi2Sampler'>
Attributes,sample_interval,float,None,"Sampling interval. Must be specified when sample_steps not in {1,2,3}.",AdditiveChi2Sampler,<class 'sklearn.kernel_approximation.AdditiveChi2Sampler'>
Attributes,n_features_in_,int,,Number of features seen during :term:`fit`.,AdditiveChi2Sampler,<class 'sklearn.kernel_approximation.AdditiveChi2Sampler'>
,feature_names_in_,ndarray of shape (`n_features_in_`,,Names of features seen during :term:`fit`. Defined only when `X` has feature names that are all strings.,AdditiveChi2Sampler,<class 'sklearn.kernel_approximation.AdditiveChi2Sampler'>
Parameters,damping,float,0.5,"Damping factor in the range `[0.5, 1.0)` is the extent to which the current value is maintained relative to incoming values (weighted 1 - damping). This in order to avoid numerical oscillations when updating these values (messages).",AffinityPropagation,<class 'sklearn.cluster._affinity_propagation.AffinityPropagation'>
Parameters,max_iter,int,200,Maximum number of iterations.,AffinityPropagation,<class 'sklearn.cluster._affinity_propagation.AffinityPropagation'>
Parameters,convergence_iter,int,15,Number of iterations with no change in the number of estimated clusters that stops the convergence.,AffinityPropagation,<class 'sklearn.cluster._affinity_propagation.AffinityPropagation'>
Parameters,copy,bool,True,Make a copy of input data.,AffinityPropagation,<class 'sklearn.cluster._affinity_propagation.AffinityPropagation'>
Parameters,preference,array-like of shape (n_samples,None,"Preferences for each point - points with larger values of preferences are more likely to be chosen as exemplars. The number of exemplars, ie of clusters, is influenced by the input preferences value. If the preferences are not passed as arguments, they will be set to the median of the input similarities.",AffinityPropagation,<class 'sklearn.cluster._affinity_propagation.AffinityPropagation'>
Parameters,affinity,{'euclidean','euclidean',Which affinity to use. At the moment 'precomputed' and ``euclidean`` are supported. 'euclidean' uses the negative squared euclidean distance between points.,AffinityPropagation,<class 'sklearn.cluster._affinity_propagation.AffinityPropagation'>
Parameters,verbose,bool,False,Whether to be verbose.,AffinityPropagation,<class 'sklearn.cluster._affinity_propagation.AffinityPropagation'>
Attributes,random_state,int,None,Pseudo-random number generator to control the starting state. Use an int for reproducible results across function calls. See the :term:`Glossary <random_state>`. this parameter was previously hardcoded as 0.,AffinityPropagation,<class 'sklearn.cluster._affinity_propagation.AffinityPropagation'>
Attributes,cluster_centers_indices_,ndarray of shape (n_clusters,,Indices of cluster centers.,AffinityPropagation,<class 'sklearn.cluster._affinity_propagation.AffinityPropagation'>
Attributes,cluster_centers_,ndarray of shape (n_clusters,,Cluster centers (if affinity != ``precomputed``).,AffinityPropagation,<class 'sklearn.cluster._affinity_propagation.AffinityPropagation'>
Attributes,labels_,ndarray of shape (n_samples,,Labels of each point.,AffinityPropagation,<class 'sklearn.cluster._affinity_propagation.AffinityPropagation'>
Attributes,affinity_matrix_,ndarray of shape (n_samples,,Stores the affinity matrix used in ``fit``.,AffinityPropagation,<class 'sklearn.cluster._affinity_propagation.AffinityPropagation'>
Attributes,n_iter_,int,,Number of iterations taken to converge.,AffinityPropagation,<class 'sklearn.cluster._affinity_propagation.AffinityPropagation'>
Attributes,n_features_in_,int,,Number of features seen during :term:`fit`.,AffinityPropagation,<class 'sklearn.cluster._affinity_propagation.AffinityPropagation'>
,feature_names_in_,ndarray of shape (`n_features_in_`,,Names of features seen during :term:`fit`. Defined only when `X` has feature names that are all strings.,AffinityPropagation,<class 'sklearn.cluster._affinity_propagation.AffinityPropagation'>
Parameters,n_clusters,int or None,2,The number of clusters to find. It must be ``None`` if ``distance_threshold`` is not ``None``.,AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Parameters,metric,str or callable,"""euclidean""","Metric used to compute the linkage. Can be ""euclidean"", ""l1"", ""l2"", ""manhattan"", ""cosine"", or ""precomputed"". If linkage is ""ward"", only ""euclidean"" is accepted. If ""precomputed"", a distance matrix is needed as input for the fit method. If connectivity is None, linkage is ""single"" and affinity is not ""precomputed"" any valid pairwise distance metric can be assigned.",AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Parameters,memory,str or object with the joblib.Memory interface,None,"Used to cache the output of the computation of the tree. By default, no caching is done. If a string is given, it is the path to the caching directory.",AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Parameters,connectivity,array-like,None,"Connectivity matrix. Defines for each sample the neighboring samples following a given structure of the data. This can be a connectivity matrix itself or a callable that transforms the data into a connectivity matrix, such as derived from `kneighbors_graph`. Default is ``None``, i.e, the hierarchical clustering algorithm is unstructured. For an example of connectivity matrix using :class:`~sklearn.neighbors.kneighbors_graph`, see :ref:`sphx_glr_auto_examples_cluster_plot_agglomerative_clustering.py`.",AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Parameters,compute_full_tree,'auto' or bool,'auto',"Stop early the construction of the tree at ``n_clusters``. This is useful to decrease computation time if the number of clusters is not small compared to the number of samples. This option is useful only when specifying a connectivity matrix. Note also that when varying the number of clusters and using caching, it may be advantageous to compute the full tree. It must be ``True`` if ``distance_threshold`` is not ``None``. By default `compute_full_tree` is ""auto"", which is equivalent to `True` when `distance_threshold` is not `None` or that `n_clusters` is inferior to the maximum between 100 or `0.02 * n_samples`. Otherwise, ""auto"" is equivalent to `False`.",AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Parameters,linkage,{'ward','ward',"Which linkage criterion to use. The linkage criterion determines which distance to use between sets of observation. The algorithm will merge the pairs of cluster that minimize this criterion. - 'ward' minimizes the variance of the clusters being merged. - 'average' uses the average of the distances of each observation of the two sets. - 'complete' or 'maximum' linkage uses the maximum distances between all observations of the two sets. - 'single' uses the minimum of the distances between all observations of the two sets. Added the 'single' option For examples comparing different `linkage` criteria, see :ref:`sphx_glr_auto_examples_cluster_plot_linkage_comparison.py`.",AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Parameters,distance_threshold,float,None,"The linkage distance threshold at or above which clusters will not be merged. If not ``None``, ``n_clusters`` must be ``None`` and ``compute_full_tree`` must be ``True``.",AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Attributes,compute_distances,bool,False,"Computes distances between clusters even if `distance_threshold` is not used. This can be used to make dendrogram visualization, but introduces a computational and memory overhead. For an example of dendrogram visualization, see :ref:`sphx_glr_auto_examples_cluster_plot_agglomerative_dendrogram.py`.",AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Attributes,n_clusters_,int,,"The number of clusters found by the algorithm. If ``distance_threshold=None``, it will be equal to the given ``n_clusters``.",AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Attributes,labels_,ndarray of shape (n_samples),,Cluster labels for each point.,AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Attributes,n_leaves_,int,,Number of leaves in the hierarchical tree.,AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Attributes,n_connected_components_,int,,The estimated number of connected components in the graph. ``n_connected_components_`` was added to replace ``n_components_``.,AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Attributes,n_features_in_,int,,Number of features seen during :term:`fit`.,AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Attributes,feature_names_in_,ndarray of shape (`n_features_in_`,,Names of features seen during :term:`fit`. Defined only when `X` has feature names that are all strings.,AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Attributes,children_,array-like of shape (n_samples-1,,"The children of each non-leaf node. Values less than `n_samples` correspond to leaves of the tree which are the original samples. A node `i` greater than or equal to `n_samples` is a non-leaf node and has children `children_[i - n_samples]`. Alternatively at the i-th iteration, children[i][0] and children[i][1] are merged to form node `n_samples + i`.",AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
,distances_,array-like of shape (n_nodes-1,,Distances between nodes in the corresponding place in `children_`. Only computed if `distance_threshold` is used or `compute_distances` is set to `True`.,AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Parameters,n_clusters,int or None,2,The number of clusters to find. It must be ``None`` if ``distance_threshold`` is not ``None``.,AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Parameters,metric,str or callable,"""euclidean""","Metric used to compute the linkage. Can be ""euclidean"", ""l1"", ""l2"", ""manhattan"", ""cosine"", or ""precomputed"". If linkage is ""ward"", only ""euclidean"" is accepted. If ""precomputed"", a distance matrix is needed as input for the fit method. If connectivity is None, linkage is ""single"" and affinity is not ""precomputed"" any valid pairwise distance metric can be assigned.",AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Parameters,memory,str or object with the joblib.Memory interface,None,"Used to cache the output of the computation of the tree. By default, no caching is done. If a string is given, it is the path to the caching directory.",AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Parameters,connectivity,array-like,None,"Connectivity matrix. Defines for each sample the neighboring samples following a given structure of the data. This can be a connectivity matrix itself or a callable that transforms the data into a connectivity matrix, such as derived from `kneighbors_graph`. Default is ``None``, i.e, the hierarchical clustering algorithm is unstructured. For an example of connectivity matrix using :class:`~sklearn.neighbors.kneighbors_graph`, see :ref:`sphx_glr_auto_examples_cluster_plot_agglomerative_clustering.py`.",AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Parameters,compute_full_tree,'auto' or bool,'auto',"Stop early the construction of the tree at ``n_clusters``. This is useful to decrease computation time if the number of clusters is not small compared to the number of samples. This option is useful only when specifying a connectivity matrix. Note also that when varying the number of clusters and using caching, it may be advantageous to compute the full tree. It must be ``True`` if ``distance_threshold`` is not ``None``. By default `compute_full_tree` is ""auto"", which is equivalent to `True` when `distance_threshold` is not `None` or that `n_clusters` is inferior to the maximum between 100 or `0.02 * n_samples`. Otherwise, ""auto"" is equivalent to `False`.",AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Parameters,linkage,{'ward','ward',"Which linkage criterion to use. The linkage criterion determines which distance to use between sets of observation. The algorithm will merge the pairs of cluster that minimize this criterion. - 'ward' minimizes the variance of the clusters being merged. - 'average' uses the average of the distances of each observation of the two sets. - 'complete' or 'maximum' linkage uses the maximum distances between all observations of the two sets. - 'single' uses the minimum of the distances between all observations of the two sets. Added the 'single' option For examples comparing different `linkage` criteria, see :ref:`sphx_glr_auto_examples_cluster_plot_linkage_comparison.py`.",AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Parameters,distance_threshold,float,None,"The linkage distance threshold at or above which clusters will not be merged. If not ``None``, ``n_clusters`` must be ``None`` and ``compute_full_tree`` must be ``True``.",AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Attributes,compute_distances,bool,False,"Computes distances between clusters even if `distance_threshold` is not used. This can be used to make dendrogram visualization, but introduces a computational and memory overhead. For an example of dendrogram visualization, see :ref:`sphx_glr_auto_examples_cluster_plot_agglomerative_dendrogram.py`.",AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Attributes,n_clusters_,int,,"The number of clusters found by the algorithm. If ``distance_threshold=None``, it will be equal to the given ``n_clusters``.",AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Attributes,labels_,ndarray of shape (n_samples),,Cluster labels for each point.,AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Attributes,n_leaves_,int,,Number of leaves in the hierarchical tree.,AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Attributes,n_connected_components_,int,,The estimated number of connected components in the graph. ``n_connected_components_`` was added to replace ``n_components_``.,AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Attributes,n_features_in_,int,,Number of features seen during :term:`fit`.,AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Attributes,feature_names_in_,ndarray of shape (`n_features_in_`,,Names of features seen during :term:`fit`. Defined only when `X` has feature names that are all strings.,AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Attributes,children_,array-like of shape (n_samples-1,,"The children of each non-leaf node. Values less than `n_samples` correspond to leaves of the tree which are the original samples. A node `i` greater than or equal to `n_samples` is a non-leaf node and has children `children_[i - n_samples]`. Alternatively at the i-th iteration, children[i][0] and children[i][1] are merged to form node `n_samples + i`.",AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
,distances_,array-like of shape (n_nodes-1,,Distances between nodes in the corresponding place in `children_`. Only computed if `distance_threshold` is used or `compute_distances` is set to `True`.,AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>
Parameters,estimator,object,None,"The base estimator to fit on random subsets of the dataset. If None, then the base estimator is a :class:`~sklearn.tree.DecisionTreeClassifier`. `base_estimator` was renamed to `estimator`.",BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>
Parameters,n_estimators,int,10,The number of base estimators in the ensemble.,BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>
Parameters,max_samples,int or float,1.0,"The number of samples to draw from X to train each base estimator (with replacement by default, see `bootstrap` for more details). - If int, then draw `max_samples` samples. - If float, then draw `max_samples * X.shape[0]` samples.",BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>
Parameters,max_features,int or float,1.0,"The number of features to draw from X to train each base estimator ( without replacement by default, see `bootstrap_features` for more details). - If int, then draw `max_features` features. - If float, then draw `max(1, int(max_features * n_features_in_))` features.",BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>
Parameters,bootstrap,bool,True,"Whether samples are drawn with replacement. If False, sampling without replacement is performed.",BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>
Parameters,bootstrap_features,bool,False,Whether features are drawn with replacement.,BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>
Parameters,oob_score,bool,False,Whether to use out-of-bag samples to estimate the generalization error. Only available if bootstrap=True.,BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>
Parameters,warm_start,bool,False,"When set to True, reuse the solution of the previous call to fit and add more estimators to the ensemble, otherwise, just fit a whole new ensemble. See :term:`the Glossary <warm_start>`. *warm_start* constructor parameter.",BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>
Parameters,n_jobs,int,None,The number of jobs to run in parallel for both :meth:`fit` and :meth:`predict`. ``None`` means 1 unless in a :obj:`joblib.parallel_backend` context. ``-1`` means using all processors. See :term:`Glossary <n_jobs>` for more details.,BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>
Parameters,random_state,int,None,"Controls the random resampling of the original dataset (sample wise and feature wise). If the base estimator accepts a `random_state` attribute, a different seed is generated for each instance in the ensemble. Pass an int for reproducible output across multiple function calls. See :term:`Glossary <random_state>`.",BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>
Attributes,verbose,int,0,Controls the verbosity when fitting and predicting.,BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>
Attributes,estimator_,estimator,,The base estimator from which the ensemble is grown. `base_estimator_` was renamed to `estimator_`.,BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>
Attributes,n_features_in_,int,,Number of features seen during :term:`fit`.,BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>
Attributes,feature_names_in_,ndarray of shape (`n_features_in_`,,Names of features seen during :term:`fit`. Defined only when `X` has feature names that are all strings.,BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>
Attributes,estimators_,list of estimators,,The collection of fitted base estimators.,BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>
Attributes,estimators_samples_,list of arrays,,"The subset of drawn samples (i.e., the in-bag samples) for each base estimator. Each subset is defined by an array of the indices selected.",BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>
Attributes,estimators_features_,list of arrays,,The subset of drawn features for each base estimator.,BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>
Attributes,classes_,ndarray of shape (n_classes,,The classes labels.,BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>
Attributes,n_classes_,int or list,,The number of classes.,BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>
Attributes,oob_score_,float,,Score of the training dataset obtained using an out-of-bag estimate. This attribute exists only when ``oob_score`` is True.,BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>
,oob_decision_function_,ndarray of shape (n_samples,,"Decision function computed with out-of-bag estimate on the training set. If n_estimators is small it might be possible that a data point was never left out during the bootstrap. In this case, `oob_decision_function_` might contain NaN. This attribute exists only when ``oob_score`` is True.",BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>
Parameters,estimator,object,None,"The base estimator to fit on random subsets of the dataset. If None, then the base estimator is a :class:`~sklearn.tree.DecisionTreeRegressor`. `base_estimator` was renamed to `estimator`.",BaggingRegressor,<class 'sklearn.ensemble._bagging.BaggingRegressor'>
Parameters,n_estimators,int,10,The number of base estimators in the ensemble.,BaggingRegressor,<class 'sklearn.ensemble._bagging.BaggingRegressor'>
Parameters,max_samples,int or float,1.0,"The number of samples to draw from X to train each base estimator (with replacement by default, see `bootstrap` for more details). - If int, then draw `max_samples` samples. - If float, then draw `max_samples * X.shape[0]` samples.",BaggingRegressor,<class 'sklearn.ensemble._bagging.BaggingRegressor'>
Parameters,max_features,int or float,1.0,"The number of features to draw from X to train each base estimator ( without replacement by default, see `bootstrap_features` for more details). - If int, then draw `max_features` features. - If float, then draw `max(1, int(max_features * n_features_in_))` features.",BaggingRegressor,<class 'sklearn.ensemble._bagging.BaggingRegressor'>
Parameters,bootstrap,bool,True,"Whether samples are drawn with replacement. If False, sampling without replacement is performed.",BaggingRegressor,<class 'sklearn.ensemble._bagging.BaggingRegressor'>
Parameters,bootstrap_features,bool,False,Whether features are drawn with replacement.,BaggingRegressor,<class 'sklearn.ensemble._bagging.BaggingRegressor'>
Parameters,oob_score,bool,False,Whether to use out-of-bag samples to estimate the generalization error. Only available if bootstrap=True.,BaggingRegressor,<class 'sklearn.ensemble._bagging.BaggingRegressor'>
