Process,Categorization,Word,Definition
ML Project,Process Step,Model Evaluation,"Process of measuring how well a trained model performs using appropriate metrics and test data. This step assesses predictive accuracy, generalization, and robustness. Different metrics are used depending on the problem type, such as accuracy, F1 score, RMSE, or AUC. Evaluation ensures the model meets performance expectations before deployment, and results often determine whether a model is production-ready."
ML Project,Process Step,Validation,"Validation is the process of assessing model performance on data that was not used during training. It is used to tune hyperparameters, compare models, and detect overfitting. Common approaches include hold-out validation and cross-validation techniques. The purpose is to estimate how well the model will perform on unseen data."
ML Project,Process Step,Model Summarization / Model Interpretability,"Process of explaining how a model makes predictions and which features influence its decisions. This may involve feature importance, partial dependence plots, SHAP values, or simpler surrogate models. Interpretability helps stakeholders understand, trust, and validate the model’s behavior. It is especially important in regulated or high-impact decision environments."
ML Project,Process Step,Deployment,"Deployment is the process of integrating the trained model into a production environment where it can generate real-world predictions. This may involve APIs, batch pipelines, streaming systems, or embedded applications. Considerations include scalability, latency, reliability, and versioning. Deployment turns a model from an experiment into a usable product. The goal is to make the model usable and operational in real-world settings."
ML Project,Process Step,Monitoring,"Ongoing process of tracking model performance and data quality after deployment. It helps detect issues such as data drift, concept drift, performance degradation, or system failures. Monitoring ensures the model continues to perform as expected over time. When problems are detected, retraining or model updates may be required."
ML Project,Process Step,"Bias, Fairness, and Ethics","This step examines whether the model produces systematically unfair or harmful outcomes across different groups. It includes analyzing data representation, outcome disparities, and unintended correlations. Ethical considerations may involve transparency, consent, explainability, and regulatory compliance. Addressing bias and fairness is essential for responsible, trustworthy, and legally compliant ML systems."
Goal Setting,Process Step,Specific,"Describes what will be accomplished and what success will look like. It answers the questions: What will I do? Who is involved? What area am I focusing on? The more precise the goal, the easier it is to plan actions and stay focused."
Goal Setting,Process Step,Measurable,"Includes a clear way to track progress or determine success. This may involve numbers, percentages, milestones, deliverables, or observable outcomes. Measurement ensures accountability and helps you know when the goal has been achieved."
Goal Setting,Process Step,Achievable,"Realistic given available time, resources, skills, and competing priorities. It should stretch performance but still be possible to accomplish with focused effort. Setting achievable goals helps maintain motivation and builds confidence through success."
Goal Setting,Process Step,Relevant,"Aligns with broader priorities, such as team objectives, organizational strategy, or personal development plans. It should contribute meaningful value rather than being an isolated or low-impact task. Relevance ensures time and energy are spent on what matters most."
Goal Setting,Process Step,Time Bound,"Includes a clear deadline or timeframe for completion. This creates urgency, supports planning, and prevents goals from being postponed indefinitely. Defined timelines also make it easier to monitor progress and adjust actions if needed."
Goal Setting,Process Step,Requirement,"Are Goals Documented. Are the Smart.
If not, what does this imply and how do we proceed forward while mitigating risk."
Problem Definition,Process Step,Desired State Metrics,"Describe the target outcomes or performance levels that define success. They show what improvement looks like in measurable terms and help guide priorities and actions. This is important because clear targets create alignment, focus efforts, and allow teams to track progress toward meaningful results."
Problem Definition,Process Step,Current State Analysis,"Describes how the process, system, or situation is functioning today. It provides a factual, objective picture of what is happening, without assumptions or solutions. This is important because it ensures everyone has a shared understanding of reality before trying to fix the problem."
Problem Definition,Process Step,Root Cause Assessment,"Identifies the underlying reasons why the problem exists. Rather than focusing on symptoms, it explores the fundamental drivers using methods such as the “5 Whys” or cause-and-effect analysis. This is important because addressing root causes leads to sustainable improvements, while only treating symptoms often results in recurring issues."
Problem Definition,Process Step,Historical Overview,"Summarizes what actions, initiatives, or attempts have already been made to address the problem. It explains what was tried, what worked, and what did not. This is important because it prevents repeating past mistakes and helps build on lessons learned."
Problem Definition,Process Step,Baseline Metrics (Current State),"Quantify the current state of the problem using measurable data such as performance indicators, volumes, timelines, or quality measures. These metrics provide an objective reference point for understanding the scope and impact of the issue. This is important because improvement cannot be measured without a clear starting baseline."
Problem Definition,Process Step,Requirement,"Attempt to explicitly define outcomes and relevant KPIs for those outcomes. Where that can not happen, it is important to understand why that can not happen. What is happening if we dont have and follow metrics. IE. The Account Opening Process is not effiicient and needs to improve, The Internet Banking Experience is poor, and does not attract customers. How do you monitor this, how can you define this, how can you prove this,  how do you expect this to change and measure that change.

How will the project and efforts be measured where success can not be objectively measured? How will resources be allocated when it remains unclear what benefit or risk exists."
Problem Definition,Process Step,Requirement,"Must be careful at how problem is defined. Is it defined in the context of the already identifed solution, has it been validated and is the problem distinct from the analysis and potential solution, or have we leaked into the process."
Problem Definition,Process Step,Consideration,"How Invested are stakeholders in defining the problem? What is their view of the process/ project, how invested, interested and engaged are they. What are their personal goals and motivation, speed, accuracy, validation of ideology?"
Problem Definition,Process Step,Consideration,"Proceed with extreme caution where the problem statement is incomplete, or ill-stated, as this is likely indicative that the problem is not truly understood or at a minimum defined. Where this is the case, the project will be at extreme risk and the likelihood of not meeting expectations, frustration, or material change to purpose, scope or priority is inevitable."
Data Collection,Process Step,Requirement,"What consessions have we made due to a lack of data availability, and how are those going to undermine the work we plan on doing. "
Data Collection,Process Step,Requirement,"Who is the Data Steward, are they involved, and operationally do we have integrity, consistency and availability to include?"
Data Collection,Process Step,Requirement,"Review Semantic and Functional Definitions, ensuring there is sufficient and appropriate coverage. Testing and decisioning to occur during Feature Selection."
Data Preparation,Definition,Baseline,"Baseline represents the typical or expected behavior of an entity over a meaningful historical period. It answers the question “What is normal for this entity?” and provides context against which current state and changes can be interpreted. Baseline is conceptually stable even when its numeric value evolves, allowing models to distinguish structural differences between entities from temporary deviations. In modeling, Baseline is often foundational for defining identity and long-term segmentation."
Data Preparation,Definition,Dimension,"A Dimension is a conceptual axis of behavior or meaning that you believe exists in the real world and want your model to represent. It answers a behavioral or semantic question, not a technical one. Dimensions are stable over time, even as data sources, features, or models change (for example, we always need to understand Current State, and rate of change, even though both of what is being studied may change drastically). They are the why behind your features.
Ultimately, it is the question, What Behaviour Matters."
Data Preparation,Definition,Implementation,"An Implementation is a specific measurable representation of a dimension, constructed from available data. It answers the question: “How do we observe this dimension in practice?” Implementations can change as data improves, but they should always map clearly back to a single dimension. Examples include; 6-month rolling average balance, 12-month median transaction value, Seasonally adjusted mean.
Ultimately it is the question, How do we measure it."
Data Preparation,Definition,Momentum,"Momentum represents the direction and rate of change in behavior over time. It answers the question “Is this entity increasing, decreasing, or remaining stable?” and captures transitional dynamics that are not visible from state or baseline alone. Momentum is critical for detecting emerging trends, shifts in behavior, and potential future movement between segments. In modeling, Momentum often explains why change is occurring rather than what the current condition is."
Data Preparation,Definition,Parameter,"A Parameter is a tuning choice that controls how an implementation is calculated, without changing what it represents. Parameters affect sensitivity, smoothness, or scale, but not conceptual meaning. They are the knobs you turn during experimentation. Examples include Window length: 3M vs 6M vs 12M, Weighting scheme: equal vs exponential, Aggregation: mean vs median
Ultimately it is the questions, How do we compute it."
Data Preparation,Definition,Volatility,"Volatility represents the consistency or variability of behavior over time. It answers the question “How stable or predictable is this entity’s behavior?” and distinguishes steady patterns from irregular or erratic ones. Volatility provides important diagnostic context, helping differentiate sustained change from noise or one-off events. In modeling, Volatility is typically explanatory or risk-related rather than defining core identity."
Data Preparation,Definition,Semantic Type,"Influenced by the literal definition of semantic: the meaning or  nature of a variable, describes what kind of real-world concept a variable represents, independent of any specific model. It classifies data based on meaning—such as whether a variable reflects behaviour (actions over time), structure (relatively stable state or capacity), or context (situational or explanatory attributes). Definition helps to classify the variable for inclusion, or exclusion of a model."
Data Preparation,Definition,Functional Role,"Describes how a variable is used within a specific model or modeling process, rather than what it represents conceptually. It classifies variables based on whether they actively shape the model (core), help interpret results (descriptive), or evaluate model quality and stability (diagnostic). For example, POS Transaction 6-Month Average may be a core variable that defines clusters, while Assignment Margin is diagnostic because it evaluates how confidently members are assigned. Classifying functional role is critical in ML modeling—especially in unsupervised learning—because it makes modeling assumptions explicit, prevents unintended variables from shaping outcomes, and enables controlled, explainable model evolution."
Data Preparation,Process Step,Requirement,"Define strategies around Imputation, Deletion, Standardization."
Data Preparation,Process Step,Requirement,"Model Pipleine, including training, testing and validation strategies."
Data Preparation,Regularization,ElasticNet,Approach which combines L1 and L2 Regularization.
Data Preparation,Regularization,Lasso,"Technique used to prevent overfitting by adding penalty term to loss function. Adds the absolute values of the coefficients as a penalty term. This leads to sparse models, as some coefficients become exactly zero"
Data Preparation,Regularization,Ridge,"Technique used to prevent overfitting by adding penalty term to loss function. Adds the squared values of the coefficients as a penalty term. This incrases the cost of larger parameters, encouraging the model to distribute parameters waiting This shrinks the coefficients but does not eliminate them."
Data Preparation,Semantic Type,State,"State represents the current condition of an entity at a specific point in time. It answers the question “Where is this entity right now?” and reflects the most recent observed values of relevant measures, frequency, balances, etc. State is essential for anchoring decisions in the present but is insufficient on its own without historical context. In modeling, State provides immediacy and scale but must be interpreted alongside other dimensions to avoid over-reacting to short-term fluctuations. Examples Include: Current Deposit Balance, Current Month POS TXN Count, Number of Active Accounts."
Data Preparation,Semantic Type,Descriptive,"Descriptive represents summarized or smoothed representations of an entity’s behavior over a defined historical window. It answers the question “What does this entity typically look like?” by reducing short-term noise and highlighting central tendency or typical patterns across time. Descriptive measures provide stability and interpretability by contextualizing current behavior within a broader historical baseline. In modeling, Descriptive variables help prevent over-reaction to transient spikes or dips but must be carefully managed to avoid redundancy with State measures. Examples include Avg Balances, Maximums over an extended period of time."
Data Preparation,Semantic Type,Diagnostic,"Diagnostic represents measures of directionality, momentum, or variability in an entity’s behavior over time. It answers the question “How is this entity changing?” by capturing growth, decline, volatility, or acceleration relative to prior periods. Diagnostic measures are essential for understanding trajectory, early warning signals, and emerging shifts that may not yet be visible in current state alone. In modeling, Diagnostic variables enhance interpretability and foresight but should be used cautiously, as excessive reliance can introduce instability and reduce cluster persistence. Diagnostic can be broken into 4 Categories, Trend, Momentum, Change and Volatility."
Data Preparation,Semantic Type,Structural,"Structural represents relatively stable attributes that describe how an entity is configured within the system rather than how it behaves at a given moment. It answers the question “What is the entity’s structural position?” by reflecting enduring characteristics such as product holdings, account composition, or long-term balances. Structural measures anchor and constrain behavior by defining capacity, access, and configuration. In modeling, Structural variables provide important context but should be included sparingly to avoid overwhelming activity-based signals or unintentionally clustering entities by size rather than behavior. Product Count, Product Flags, Tenure."
Data Preparation,Semantic Type,Contextual,"Contextual represents external or situational factors that influence behavior but are not behaviors themselves. It answers the question “What conditions surround this entity?” by capturing environmental, geographic, policy, or situational elements that shape observed actions. Contextual measures help explain why similar entities may behave differently under different circumstances. In modeling, Contextual variables are generally inappropriate as primary drivers of similarity but are critical for interpretation, validation, and responsible application of results. Examples include, Regional Indicator, Interest Rate Macro Flags, Employement Type)"
Data Preparation,Semantic Type,Demographic,"Demographic represents intrinsic attributes of an entity that change infrequently and describe who the entity is rather than what it does. It answers the question “Who is this entity?” by capturing characteristics such as age, household composition, or other identity-level descriptors. Demographic measures provide essential interpretive context and support equity-aware analysis but do not directly represent behavior. In modeling, Demographic variables are typically excluded from defining similarity to avoid embedding bias or non-actionable distinctions, and are instead used for post-hoc analysis, monitoring, and policy alignment. Examples inlcude, Member Age Band, Language Preferences, Postal Code, Household Parameters, etc."
Data Preparation,Semantic Type,Constraint,"Constraint represents limitations or enabling conditions that bound an entity’s range of possible behavior. It answers the question “What limits or enables this entity’s choices?” by approximating capacity, dependency, or stress through proxy measures such as income concentration or balance volatility. Constraint measures help distinguish inability from preference. In modeling, Constraint variables are best used diagnostically to interpret cluster composition rather than to define cluster membership."
Data Preparation,Semantic Type,Constraint: Capacity,"Constraints which represent the fundamental economic or operational limits that bound an entity’s feasible range of actions, regardless of intent or preference. They are critical for distinguishing observed behavior from what is realistically possible, helping avoid misinterpretation of low activity as disinterest rather than limitation. In modeling, capacity constraints provide guardrails for ethical interpretation and prevent over-attribution of agency where structural limits exist. They are best used diagnostically to contextualize clusters and inform suitability, risk, and support decisions.

Examples; Debt service ratio (estimated obligations ÷ inflows), Credit utilization rate, Liquidity coverage ratio (liquid balances ÷ monthly outflows)"
Data Preparation,Semantic Type,Constraint: Stability & Fragility,"Constraints which capture the reliability and predictability of an entity’s financial or behavioral foundation rather than its current level or direction. They are important because volatility, dependency, or irregularity can severely limit planning ability and resilience even when averages appear healthy. These constraints help explain why entities with similar states behave differently under stress or change. In modeling, they support early risk identification and responsible interpretation without driving cluster formation.

Examples; Balance volatility index, Income concentration ratio, Irregular inflow variability score"
Data Preparation,Semantic Type,Constraint: Access & Configuration,"Constraints which reflect limitations imposed by system setup, product availability, or channel enablement rather than by the entity’s choices. They are important because behavior cannot be meaningfully interpreted without understanding what options are actually available. These constraints help distinguish exclusion or friction from deliberate disengagement. In modeling, they ensure clusters are interpreted in light of opportunity sets rather than assumed preferences.

Examples; Lack of revolving credit access flag, Digital banking enablement indicator, Funds locked in restricted or term products ratio"
Data Preparation,Semantic Type,Constraint: Stress & Load,"Constraints which represent sustained pressure that restricts flexibility and increases vulnerability, even if short-term indicators appear stable. They are important for identifying entities operating near or beyond their functional limits, where small shocks can lead to outsized effects. These constraints help explain brittle or reactive behaviors that are not captured by state alone. In modeling, they support responsible application by highlighting latent risk without over-weighting transient fluctuations.

Examples: Frequency of negative net cash-flow periods, Overdraft reliance rate, Minimum balance breach frequency"
Data Preparation,Semantic Type,Constraint: Time & Commitment,"Constraints which capture obligations that reduce an entity’s degrees of freedom over a defined horizon, independent of current behavior. They are important because long-term commitments can materially limit adaptability, even when present conditions seem favorable. These constraints help explain inertia, delayed responses, or resistance to change in observed behavior. In modeling, they provide critical context for interpreting persistence and transition dynamics across clusters. 

Examples. Fixed commitment load (recurring debits ÷ outflows), Long-term product commitment score, Contractual tenure-weighted obligation index"
Data Preparation,Semantic Type,Diagnostic - Change,"Measures the difference in a value between two defined points in time. It answers the question “How much did this metric increase or decrease?” by comparing a current period to a prior baseline. Change captures short-term movement and is often the first signal of emerging behavior. In modeling, Change variables are useful for detecting early shifts but can be noisy if used without context.
Examples: Month-over-month change in total deposits, Change in transaction count compared to last month, Increase or decrease in average account balance since prior period"
Data Preparation,Semantic Type,Diagnostic - Trend,"Describes the overall direction and pattern of change across multiple time periods rather than a single comparison. It answers “Is this behavior generally increasing, decreasing, or stable over time?” by smoothing short-term fluctuations. Trends provide insight into sustained behavioral movement and are more stable than point-in-time changes. In modeling, Trend variables help distinguish temporary spikes from meaningful trajectories.

Examples: 6-month rolling trend in payroll deposits, Slope of average monthly balance over the past year, Directional trend in debit transaction volume"
Data Preparation,Semantic Type,Diagnostic - Volatility,"Measures how variable or inconsistent a metric is over time. It answers “How stable is this behavior?” by capturing dispersion, fluctuation, or unpredictability around a typical value. High volatility often indicates irregular engagement or financial instability, while low volatility suggests consistent behavior. In modeling, Volatility variables can be strong predictors but must be interpreted carefully to avoid overreacting to noise.

Examples: Standard deviation of monthly deposits over 6 months, Variability in transaction counts across recent periods, Fluctuation in balance levels month to month"
Data Preparation,Semantic Type,Diagnostic - Momentum,"Measures the rate and acceleration of change rather than the direction alone. It answers “Is this behavior changing faster or slowing down?” by assessing whether growth or decline is intensifying. Momentum highlights inflection points that may not yet be visible in overall trend. In modeling, Momentum variables are powerful early-warning indicators but can introduce instability if overused. It is effectively the second derivative, so the change of the change.

Examples;  Acceleration in deposit growth over consecutive months, Increasing rate of decline in account balances, Speed of increase in digital transaction adoption"
Data Preparation,Functional Role,Core Variables,"Primary drivers of similarity and distance in cluster formation. They directly define the behavioral dimensions the segmentation is intended to capture, and removing them would materially change cluster structure or archetype meaning. Core variables are included in distance calculations and must remain stable across model iterations to preserve interpretability. Core variables are most often State or Descriptive behavioral measures, and should be limited in number."
Data Preparation,Functional Role,Supporting,"Contribute to cluster separation, stability, or boundary refinement but do not independently define cluster identity. They may influence distance calculations or be used in secondary weighting, but clusters should remain interpretable without them. Supporting variables help smooth transitions, reduce ambiguity, or capture secondary behavior patterns. Supporting variables can include State, Descriptive, Structural, or Diagnostic measures."
Data Preparation,Functional Role,Explanatory,"Not used in cluster formation or distance calculations. They provide interpretive context after clusters are formed, helping explain why clusters look the way they do rather than how they were created. These variables are often used for labeling, storytelling, validation, or governance review. Explanatory variables commonly include Structural, Contextual, or Demographic attributes."
Data Preparation,Functional Role,Monitoring,"Variables used to track outcomes, drift, or post-engagement effects over time. Monitoring variables are excluded from clustering inputs to avoid leakage but are essential for evaluating stability and impact."
Exploratory Data Analysis,Process Step,Dashboard,Reference Process Here
Exploratory Data Analysis,Process Step,Python Function,Reference Process Here
Feature Engineering,Process Step,Requirement,"What ratios or proportions could better represent behavior than raw values? Many real-world patterns depend on relative size (e.g., debt-to-income, usage-to-capacity), so ratios often reveal signal that absolute values hide."
Feature Engineering,Process Step,Requirement,"What combinations or interactions might reflect how factors work together? Some outcomes are driven by the interaction between variables (e.g., high balance and high transaction frequency), so combining features can expose relationships a model might miss."
Feature Engineering,Process Step,Requirement,"What time-based changes or aggregates could capture trends or stability? Differences, growth rates, or rolling averages often reflect momentum or consistency, which are strong predictors of future behavior."
Feature Selection,Process Step,Requirement,Generate feature importance or explanation outputs. Helps understand what drives model predictions.
Feature Selection,Process Step,Requirement,Remove features with high missingness or low variance. Reduces noise and improves model stability.
Feature Selection,Process Step,Requirement,Check for multicollinearity or redundant features. Helps prevent unstable models and improves interpretability.
Feature Selection,Process Step,Requirement,Validate selected features using model or statistical methods. Ensures the retained features actually contribute to predictive performance.
Feature Selection,Process Step,Consideration,"Avoid ambigious features. Is a Banana ripe, who says so?"
Feature Selection,Process Step,Consideration,"Careful when something is truly random generated, Atmospheric Change, Earthquakes, Stocks. Very difficult, if not impossible to predict."
Feature Selection,Process Step,Consideration,"How robust is your model to change and what is it actually predict. 
MNIST performance when tilting Images, of adding noise."
Model Selection,Process Step,Requirement,"Define what the objective of the model work is, state what is being measured and why. Document all models which will be considered, including why they are appropriate and where models are excluded, insure rationale available. Compare multiple model types using the same validation approach. Ensures a fair comparison and better-informed model choice."
Model Selection,Process Step,Requirement,"Create Simplified Baseline Model, use this are reference. Ensure that this is communicated to Stakeholders, so they understand both the benchmark and expectation, to determine relevance. Should align with Goals."
Model Selection,Process Step,Requirement,"Consider interpretability, performance, and computational cost. Balances practical constraints with predictive accuracy."
Model Selection,Process Step,Consideration,"Models will cheat and can solve problems which appear to be optimal, but they might not be solving what you expect or require, they might be finding patterns in the data which you do not see. An Example of this would a classification model with Wolves and Dogs,  many wolf photos happened to be taken in snowy environments, while dog photos were often taken indoors or on grass. The model learned to detect snow, not animals."
Training,Process Step,Requirement,"Is split between Training, Testing and Validation appropriate, fair and responsable. Validate and document."
Training,Process Step,Requirement,Verify model converges and loss decreases during training. Confirms the model is learning meaningful patterns.
Training,Process Step,Requirement,"Log model parameters, features, training configuration and results. Supports reproducibility and troubleshooting."
Training,Process Step,Consideration,"Any data set can be optimized, even when there is NO relation it will generalize. Remember the goal, ability to generalize, not simply predict training."
Training,Function,Hinge Loss,"Loss function used primarily for binary classification, especially in Support Vector Machines (SVMs). It's designed to maximize the margin between classes — that is, push predictions to be confidently correct. It penalizes predictions that are: On the wrong side of the decision boundary Or correct but not confidently correct (i.e., too close to the margin)"
Training,Function,Huber Loss,Loss function used in regression problems that is robust to outliers — it's essentially a blend between Mean Squared Error (MSE) and Mean Absolute Error (MAE). Regression with noisy or outlier-prone data Situations where you want the stability of MSE but the robustness of MAE
Training,Model Architecture,Cross Validation,"Model evaluation technique used to assess how well a model generalizes to unseen data by repeatedly splitting the dataset into training and validation subsets. The model is trained on one portion of the data and evaluated on another, and the results are aggregated to provide a more reliable estimate of performance than a single train–test split. This approach helps detect overfitting and supports more robust model selection"
Training,Optimizer,Adadelta,Adaptive learning rate for nonstationary objectives.
Training,Optimizer,Adagrad,"Variation of Gradient Descent, which adapts the learning rate for each parameter by scaling it inversely proportional to the sum of past squared gradients. 
"
Training,Optimizer,Adam,"Variation of Gradient Descent, which combines both momentum and RMSprop, maintaining an exponentially decaying average of past gradients and squared gradients."
Training,Optimizer,AdamW,"Variant of Adam with weight decay, prevents overfitting."
Training,Optimizer,Momentum,"Variation of Gradient Descent, which accelerates learning by accumulating a moving average of past gradients."
Training,Optimizer,Nadam,Adam optimizer with Nesterov momentum for better convergence.
Training,Optimizer,RMSprop,"Variation of Gradient Descent, which adapts the learning rate by dividing by an exponentially weighted moving average of past squared gradients. Adapts learning rates based on recent gradient magnitudes. Good for RNNs."
Hyperparameter Tuning,Process Step,Requirement,Define a clear search space for key hyperparameters. Ensures tuning focuses on meaningful configurations.
Hyperparameter Tuning,Process Step,Requirement,Use cross-validation or a validation set for tuning. Prevents overfitting to the training data.
Hyperparameter Tuning,Process Step,Requirement,Record best parameters and associated performance. Allows reproducibility and comparison across experiments.
Hyperparameter Tuning,Process Step,Requirement,"Define Parameters you will tune and approach to tuning before you commence tuning. Do not simply tune model to optimal parameters without considering what you are actually doing, and its ability to generalize."
Hyperparameter Tuning,Process Step,Python Function,Process for this to be created from existing manual leaning processes.
Model Evaluation,Process Step,Requirement,Use metrics appropriate to the problem type and business goal. Ensures the model is evaluated in a way that reflects real-world impact.
Model Evaluation,Process Step,Requirement,Evaluate performance on a hold-out test set. Provides an unbiased estimate of generalization performance.
Model Evaluation,Process Step,Requirement,Check for overfitting by comparing training and test results. Identifies models that may not perform well in production.
Model Evaluation,Feature Selection,Area Under the Curve,"AUC (Area Under the Curve) measures a model’s ability to distinguish between classes by summarizing the performance of the ROC (Receiver Operating Characteristic) curve. It represents the probability that the model ranks a randomly chosen positive example higher than a randomly chosen negative one. AUC ranges from 0.5 (no better than chance) to 1.0 (perfect separation), with higher values indicating better classification performance.
AUC is primarily a binary classification metric, so when using against a multivariate challenge must determine how to score, OVR, OVO. One Vs Rest, One vs One. Using MNist as an example, OVR evaluates 10 0 vs (1,2,3,4,5,6,7,8,9), 1 vs () ... etc, Where OVO measures 45 0 Vs 1, 0 vs 2, etc.."
Model Evaluation,Feature Selection,Bias,"Bias refers to the systematic error in a model that causes it to consistently deviate from the true value or correct predictions. It occurs when an algorithm makes incorrect assumptions or omissions about the data, leading to errors.
High Bias (Underfitting): The model is too simple and cannot capture patterns. 
Low Bias, High Variance (Overfitting). The model memorizes the data but does not generalize."
Model Evaluation,Feature Selection,Bias - Variance Trade Off,"The bias-variance trade-off is a key concept in machine learning that highlights the balance between two sources of error: bias and variance, tuning the relationship between a model's complexity, the accuracy of its predictions, and how well it can make predictions on previously unseen data that were not used to train the model The challenge is to find a model that strikes the right balance between bias and variance, as reducing one typically increases the other. The ultimate goal is to minimize the total error, which is the sum of bias error, variance error, and irreducible noise inherent in the data. Achieving this balance ensures the model generalizes well to new, unseen data, avoiding both underfitting and overfitting. More Data vs More Data Science - Bias vs Variance 
It can often be explained by the Trade-Off (Bias - Data Scientist, Variance - Data), where to invest.

In general, as we increase the number of tunable parameters in a model, it becomes more flexible, and can better fit a training data set. It is said to have lower error, or bias. However, for more flexible models, there will tend to be greater variance to the model fit each time we take a set of samples to create a new training data set. It is said that there is greater variance in the model's estimated parameters.High-variance learning methods may be able to represent their training set well but are at risk of overfitting to noisy or unrepresentative training data. In contrast, algorithms with high bias typically produce simpler models that may fail to capture important regularities (i.e. underfit) in the data."
Model Evaluation,Feature Selection,Variance,"Variance refers to errors caused by models that are too sensitive to small fluctuations in the training data, often resulting in overfitting. High-variance models are overly flexible, capturing noise as if it were meaningful patterns. A model with many degrees of freedom (such as a high-degree polynomial model) is likely to have high variance and thus overfit the training data. As an example, if you created a model of How Predicting Housing Prices in 1 Neighbourhood would work and applied it to different neighbourhoods, if your model was simple, it wouldn’t work well anywhere and thus would be Wrong, but consistently-ish wrong. If your model was Good, it would work similarly well every well. If you model was overfit, it would work really well in 1 place, not so well elsewhere.
"
