Process,Categorization,Word,Definition,Source
ML Model,Definition,Definition,"Fact Believability: Facts about this epidemic that have lasted a few days are far more reliable than the latest ‘facts’ that have just come out, which may be erroneous or unrepresentative and thus misleading . . . a question that today can be answered [by] only informed belief may perhaps be answered with a fact tomorrow.",Insert Records2
ML Model,Definition,Definition,"Facts Vs Statistics: More likely to die in accident in evening than in morning. More drivers in evening than in morning.
More likely to die in clear weather than fog. More time occurs without fog, what does it actually mean???
9:1000 vs 16:1000 deaths in Navy vs NY. Who is in Navy, young healthy men, vs everyone else.
Polio record cases 1952, more babies, financial incentives, changes on reporting standards, etc..
Population in rural China, 28M then 5years later 108M. Survey 1 was related to Military conscription, Survey 2 famine and relief",Insert Records2
ML Model,Definition,Definition,"Fast statistics : Immoderate, intuitive, visceral, and powerful.",Insert Records2
ML Model,Definition,Definition,"Illusion of Asymmetric Insights: The Belief that we know others better than they know us and that we may have insights about them that they lack (but not vice versa). As explained by the fill in the blanks word game, the words don’t define me, yet they do define others. CIA Officers. Judges. ",Insert Records2
ML Model,Definition,Definition,Intertemporal choice:  Refers to decisions that involve trade-offs between costs and benefits occurring at different points in time,Insert Records2
ML Model,Definition,Definition,"Motivated reasoning: Cognitive phenomenon where people process information in a biased way to support their existing beliefs, desires, or emotions. Instead of evaluating evidence objectively, individuals interpret information in a way that aligns with their preferred conclusions or outcomes. Directional reasoning: When people want to arrive at a specific conclusion, they give more weight to evidence that supports their desired belief and discount or dismiss evidence that contradicts it. Accuracy reasoning: In contrast, this occurs when individuals are genuinely motivated to arrive at a correct or objective conclusion. They carefully analyze all available evidence regardless of whether it supports their initial belief. 
Type of cognitive bias where people process information in a way that aligns with their preexisting beliefs, desires, or emotions, rather than objectively evaluating the facts",Insert Records2
ML Model,Definition,Definition,"Naive realism: Naïve realism is a concept from social psychology and philosophy that describes the human tendency to believe that we see the world objectively, and that other people who disagree must be uninformed, irrational, or biased.  
Naïve realism explains why disagreements can become hostile. We assume others are irrational or malicious instead of recognizing legitimate differences in perspective or interpretation. It makes it harder to understand or appreciate others’ viewpoints, since we believe our view is the only valid one.It contributes to us-vs-them mentalities in politics and culture. Each side thinks it's simply seeing ""facts,"" while the other is deluded.In workplaces or teams, naïve realism can block constructive dialogue and creative problem-solving by dismissing dissenting ideas too quickly.",Insert Records2
ML Model,Definition,Definition,"Organizations:  Great at solving Problems. Bad at diagnosing problems. 
You should never trust large organizations, on the best day they’re incompetent, on a bad day they’re crooked.",Insert Records2
ML Model,Definition,Definition,"Ostrich Effect: cognitive bias where people avoid information they perceive as potentially unpleasant or negative—like an ostrich metaphorically ""burying its head in the sand"" to avoid danger (even though real ostriches don’t actually do this).",Insert Records2
ML Model,Definition,Definition,Slow statistics: Thoughtful gathering of unbiased information.,Insert Records2
ML Model,Definition,Definition,"Think about the Medium: Weekly, daily, hourly—the metronome of the news clock changes the very nature of what is news. Daily news always seems more informative than rolling news; weekly news is typically more informative than daily news.",Insert Records2
ML Model,Definition,Definition,"Truth-default theory : 54% accurate identifying liar. We can identify truth tellers far more easily, bad at identifying liars. We start in a default position of believing people and only when substantial evidence to the contrary presents itself do we change our position. In fact, we can even trivialize information away that in hindsight it rather pertinent. In a social experiement, teacher leaves room, answers are available, rando we’ve never met encouraging us to cheat.",Insert Records2
ML Model,Definition,Definition,"Unitended Consequences KPIs: Must consider what adverse effects one might create when measuring. Doctors won’t operate on sick patients. Data needs to be understood. Maximum day wait for appointment, doctors stopped taking appointments.",Insert Records2
ML Model,Definition,Definition,"What Meaning Does a KPI actually have?: Before we figure out whether nurses have had a pay raise, first find out what is meant by “nurse.” 
Before lamenting the prevalence of self-harm in young people, stop to consider whether you know what “self-harm” is supposed to mean. Before concluding that inequality has soared, ask, “Inequality of what?” Demanding a short, sharp answer to the question “Has inequality risen?” is not only unfair, but strangely incurious. If we are curious instead, and ask the right questions, deeper insight is within easy reach.
Net Wealth not indicative of poverty, Doctor who just finished med school with $100k in debt.
The billion poorest people who have a net worth of Zero might be poorer than someone with $5 as $0 doesn’t add up fast.",Insert Records2
ML Model,Definition,Definition,"API Processing: API processing involves handling requests and responses through an Application Programming Interface to enable system-to-system communication. It emerged alongside service-oriented and later microservices architectures. Its importance lies in enabling modular, scalable, and interoperable systems. API processing is fundamental to modern applications, allowing real-time access to models, databases, and services. In ML systems, APIs are often used to deploy models for inference in production.",Insert Records2
ML Model,Definition,Definition,"Batch Processing: Batch processing refers to executing data processing tasks on large volumes of data all at once, rather than continuously or in real time. It originated in early mainframe computing, where jobs were collected and run during scheduled windows. Its importance lies in efficiency and scalability, making it ideal for heavy computations and historical analysis. Batch processing is commonly used in data warehousing, ETL pipelines, and large-scale machine learning training. It prioritizes throughput over latency.",Insert Records2
ML Model,Definition,Definition,"Cache: Cache takes load away from critical systems. Databases. Things that are looked up every second, minute. Can Cache at every layer.  Memory Buffers exist everywhere. Authentication is terrible caching. Don't Cache purchases and refunds. Search Queries, too broad. Can't cache transaction.",Insert Records2
ML Model,Definition,Definition,"Latency: Time delay between a request being made and the corresponding response being received. It originates from telecommunications and systems engineering. Latency is important because it directly impacts user experience, system responsiveness, and real-time decision-making. In data and ML systems, latency constraints often drive architectural choices and model complexity. It is a critical consideration in APIs, streaming systems, and real-time inference pipelines.",Insert Records2
ML Model,Definition,Definition,"Microservies Architecture: Approach that structures applications as a collection of small, independently deployable services focused on a single business capability. It evolved from SOA, driven by cloud computing, DevOps, and scalability demands. Microservices are important because they enable rapid iteration, fault isolation, and independent scaling. They are widely used in modern cloud-native applications and ML platforms where services such as data ingestion, training, and inference are separated. Microservices trade operational simplicity for architectural flexibility.",Insert Records2
ML Model,Definition,Definition,"Service Oriented Architecture: Software design paradigm where functionality is organized into reusable, loosely coupled services that communicate over standardized interfaces. It emerged in the early 2000s as enterprises sought scalable and interoperable systems. SOA is important because it enables modularity, reuse, and organizational alignment between business capabilities and technical services. It is commonly applied in large enterprise systems, integration platforms, and legacy modernization efforts. SOA often emphasizes governance, shared infrastructure, and centralized control.",Insert Records2
ML Model,Definition,Definition,Shebang: First line of a script that tells the operating system which interpreter should be used to run that file.,Insert Records2
ML Model,Definition,Definition,Wrapper: A wrapper is a small piece of code whose only job is to run something else in a controlled way. It doesnt change the code.It does not change your program’s logic. It just sets up the environment and then calls the real program.,Insert Records2
ML Model,Definition,Definition,"Baseline: Baseline represents the typical or expected behavior of an entity over a meaningful historical period. It answers the question “What is normal for this entity?” and provides context against which current state and changes can be interpreted. Baseline is conceptually stable even when its numeric value evolves, allowing models to distinguish structural differences between entities from temporary deviations. In modeling, Baseline is often foundational for defining identity and long-term segmentation.",Insert Records2
ML Model,Definition,Definition,"Dimension: A Dimension is a conceptual axis of behavior or meaning that you believe exists in the real world and want your model to represent. It answers a behavioral or semantic question, not a technical one. Dimensions are stable over time, even as data sources, features, or models change (for example, we always need to understand Current State, and rate of change, even though both of what is being studied may change drastically). They are the why behind your features.
Ultimately, it is the question, What Behaviour Matters.",Insert Records2
ML Model,Definition,Definition,"Functional Role : Describes how a variable is used within a specific model or modeling process, rather than what it represents conceptually. It classifies variables based on whether they actively shape the model (core), help interpret results (descriptive), or evaluate model quality and stability (diagnostic). For example, POS Transaction 6-Month Average may be a core variable that defines clusters, while Assignment Margin is diagnostic because it evaluates how confidently members are assigned. Classifying functional role is critical in ML modeling—especially in unsupervised learning—because it makes modeling assumptions explicit, prevents unintended variables from shaping outcomes, and enables controlled, explainable model evolution.",Insert Records2
ML Model,Definition,Definition,"Implementation: An Implementation is a specific measurable representation of a dimension, constructed from available data. It answers the question: “How do we observe this dimension in practice?” Implementations can change as data improves, but they should always map clearly back to a single dimension. Examples include; 6-month rolling average balance, 12-month median transaction value, Seasonally adjusted mean.
Ultimately it is the question, How do we measure it.",Insert Records2
ML Model,Definition,Definition,"Momentum: Momentum represents the direction and rate of change in behavior over time. It answers the question “Is this entity increasing, decreasing, or remaining stable?” and captures transitional dynamics that are not visible from state or baseline alone. Momentum is critical for detecting emerging trends, shifts in behavior, and potential future movement between segments. In modeling, Momentum often explains why change is occurring rather than what the current condition is.",Insert Records2
ML Model,Definition,Definition,"Parameter: A Parameter is a tuning choice that controls how an implementation is calculated, without changing what it represents. Parameters affect sensitivity, smoothness, or scale, but not conceptual meaning. They are the knobs you turn during experimentation. Examples include Window length: 3M vs 6M vs 12M, Weighting scheme: equal vs exponential, Aggregation: mean vs median
Ultimately it is the questions, How do we compute it.",Insert Records2
ML Model,Definition,Definition,"Semantic Type : Influenced by the literal definition of semantic: the meaning or  nature of a variable, describes what kind of real-world concept a variable represents, independent of any specific model. It classifies data based on meaning—such as whether a variable reflects behaviour (actions over time), structure (relatively stable state or capacity), or context (situational or explanatory attributes). Definition helps to classify the variable for inclusion, or exclusion of a model.",Insert Records2
ML Model,Definition,Definition,"Volatility: Volatility represents the consistency or variability of behavior over time. It answers the question “How stable or predictable is this entity’s behavior?” and distinguishes steady patterns from irregular or erratic ones. Volatility provides important diagnostic context, helping differentiate sustained change from noise or one-off events. In modeling, Volatility is typically explanatory or risk-related rather than defining core identity.",Insert Records2
ML Model,Definition,Definition,,Insert Records2
ML Model,Definition,Definition,,Insert Records2
ML Model,Definition,Definition,,Insert Records2
ML Model,Definition,Definition,,Insert Records2
ML Model,Definition,Definition,,Insert Records2
ML Model,Definition,Definition,"Algorithm Classification : Describes the primary task or problem the algorithm is designed to solve, independent of its mathematical form. It answers the question: What kind of output or decision does this algorithm produce? This column is essential for aligning techniques to business or analytical objectives rather than implementation details.",Insert Records2
ML Model,Definition,Definition,"Learning Type: Describes how the model or technique learns from data, specifically the nature of the labels or feedback it receives during training. It distinguishes whether learning is driven by known outcomes (Supervised), structure discovery without labels (Unsupervised), or performance assessment rather than learning itself (Evaluation). This column anchors where in the ML lifecycle a concept operates.",Insert Records2
ML Model,Definition,Definition,Model Type: Captures the structural or mathematical nature of how an algorithm represents relationships in data. It reflects the inductive bias of the model—how it assumes patterns are formed—rather than what task it performs. This column helps explain why models behave differently even when solving the same problem.,Insert Records2
ML Model,Definition,Definition,"Multimodal AI: Artificial intelligence systems that can process and integrate multiple types of data, such as text, images, audio, and video, to perform tasks",Insert Records2
ML Model,Definition,Definition,"Activation Function: A mathematical function applied to a neuron’s weighted input that introduces non-linearity into a neural network. This non-linearity enables the model to learn complex, non-linear relationships in the data. Activation functions are applied within layers during the forward pass of a neural network, transforming intermediate representations before passing them to the next layer. Activation choice affects gradient flow, training stability, and convergence speed. Poor choices can cause vanishing or exploding gradients, limiting the depth or effectiveness of the network",Insert Records2
ML Model,Definition,Definition,"Loss Function: A loss function is a mathematical function that measures how far a model’s predictions are from the true target values, producing a single scalar value that represents prediction error and defines the objective to be minimized during training. The loss function is evaluated during training after the forward pass and is the starting point for backpropagation. Its gradients drive parameter updates via the optimizer. Different loss functions encode different assumptions about error, robustness, and business objectives. Choosing an inappropriate loss can lead to models that optimize the wrong behavior, even if training converges successfully.",Insert Records2
ML Model,Definition,Definition,"Model: The model is the mathematical or algorithmic structure used to map input features to predictions. This includes selecting the model family (e.g., linear models, tree-based models, neural networks) and defining its architecture. Model choice balances predictive power, interpretability, computational cost, and deployment constraints. The model defines howlearning occurs but does not yet involve learning itself.",Insert Records2
ML Model,Definition,Definition,"Optimizer: Optimization algorithm that updates a model’s parameters using gradients of the loss function in order to minimize training error. It defines how gradient information is transformed into parameter updates. The optimizer operates during training, after gradients are computed via backpropagation, and is not used during inference. Different optimizers trade off convergence speed, stability, and generalization. Hyperparameters such as learning rate and momentum are",Insert Records2
ML Model,Definition,Definition,"Regularization: Technique used to prevent overfitting by adding a penalty term to the loss function. It discourages the model from fitting too closely to the training data, ensuring better generalization to unseen data. Traditionnaly results in bias, at benefit of materially lowering Variance. Regularization is a Constraint.",Insert Records2
ML Model,Definition,Definition,"MLOps: (Machine Learning Operations) framework is a structured set of practices, tools, and processes used to develop, deploy, monitor, and maintain machine-learning models in production in a reliable and repeatable way. It extends ideas from DevOps into ML, addressing ML-specific challenges such as data versioning, model drift, reproducibility, and continuous retraining. An MLOps framework defines how models move from experimentation to production, how changes are tracked, and how performance is governed over time. Without MLOps, ML systems tend to break silently, become impossible to reproduce, or drift away from real-world performance.",Insert Records2
ML Model,Definition,Definition,"Acyclic Graph: A graph that does not contain any cycles. This means there is no path in the graph that starts from a node and eventually returns to the same node. There are 2 types of Acyclic Graphs, Directed and Undirected. ",Insert Records2
ML Model,Definition,Definition,"Constraint: A constraint is something that restricts or penalizes the solution space. It does not: directly compute outputs, directly update parameters.  Instead, it: limits what solutions are allowed nudges learning toward simplicity or stability",Insert Records2
ML Model,Definition,Definition,"Density-based clustering: Density-based clustering identifies clusters as regions of high point density separated by sparse regions. It answers the question: “Which observations naturally group together, and which ones are unusual or isolated?” Its strengths include the ability to detect arbitrarily shaped clusters and identify outliers as noise. Its weaknesses are sensitivity to hyperparameters and reduced stability on very large or unevenly distributed datasets.",Insert Records2
ML Model,Definition,Definition,"Euclidean distance : Straight-line distance between two points in space, calculated as the square root of the sum of squared differences across each dimension. It is important because it provides a natural, intuitive measure of similarity in continuous numeric spaces and underpins many algorithms in geometry, physics, and machine learning (especially distance-based methods like clustering). The concept originates from Euclid, whose Elements (circa 300 BCE) formalized geometry based on distances and angles in flat space. In modern data science, Euclidean distance generalizes this idea to higher dimensions, where each feature represents an axis in space.",Insert Records2
ML Model,Definition,Definition,"Function: A function is a direct mathematical mapping: given an input, it deterministically produces an output. There is: no memory, no iteration, no learning history.",Insert Records2
ML Model,Definition,Definition,"Grapth Theory: Branch of mathematics focused on the study of graphs, which model relationships using nodes (vertices) and connections (edges) between them. It originated in 1736 with Leonhard Euler’s solution to the Königsberg bridge problem, widely regarded as the first formal result in the field. Graph Theory is important because it provides a powerful and flexible framework for representing and analyzing complex relational structures. It underpins many modern algorithms by enabling reasoning about connectivity, flow, influence, and structure in systems. Applications span computer science and data science (networks, search, recommendation systems), operations research (routing, scheduling), biology (protein and gene interaction networks), and social sciences (social and organizational networks)",Insert Records2
ML Model,Definition,Definition,"Heteroskedasticity: Condition in which the variance of errors (or residuals) in a model is not constant across observations. The term originates from econometrics, combining the Greek hetero (different) and skedasis (dispersion). It is important because many statistical models—especially linear regression—assume constant variance (homoskedasticity), and violations can lead to inefficient estimates and misleading confidence intervals. In practice, heteroskedasticity commonly appears in financial, economic, and behavioral data where variability grows with scale (e.g., higher income → more variable spending). Addressing it often involves transformations, robust standard errors, or alternative models.",Insert Records2
ML Model,Definition,Definition,"Instance Based Learning: Instance-Based Learning is a learning paradigm where predictions or inferences are made by directly comparing new observations to stored examples rather than learning an explicit global model. It answers the question: “What past observations most closely resemble this one?” Its strengths are simplicity, transparency, and flexibility, as it makes few assumptions about the underlying data structure. Its weaknesses include sensitivity to feature scaling and noise, lack of global summarization, and higher computational cost at inference time for large datasets",Insert Records2
ML Model,Definition,Definition,"Manifold Hypothesis: The manifold hypothesis suggests that although data lives in a very high-dimensional space, the meaningful structure (e.g., images of digits) lies on a much lower-dimensional surface (the manifold). While digits like ""3"" and ""8"" are visually distinct, they are all constrained by shared generative factors (stroke thickness, slant, etc.), so they occupy nearby regions of this manifold — which is tiny compared to the full space. A manifold is a smooth shape that may curve and twist in space but can be described with a few dimensions. Machine learning models assume that high-dimensional data lies on such a shape, allowing them to learn simpler patterns.",Insert Records2
ML Model,Definition,Definition,"Margin of Error: The margin of error represents the range within which the true population value is expected to lie, given the sample estimate. It is usually expressed as a percentage (e.g., ±5%). It helps determine how precise or reliable the sample estimate is, indicating the level of uncertainty in the results.",Insert Records2
ML Model,Definition,Definition,Mean Absolute Error: Mean Absolute Error measures the average absolute difference between actual and predicted values. It is easy to interpret and gives equal weight to all errors.. Manhattan Norm. L1 Norm,Insert Records2
ML Model,Definition,Definition,"Mean Absolute Error (MAE): Absolute difference between Y and Y hat. It is easy to calcuate, rarely utilized given advantages of MSE and RMSE.",Insert Records2
ML Model,Definition,Definition,"Mean Absolute Percentage Error (MAPE): Measures differences between Prediction and Actual as expressed by percentages, opposed to absolute error. Scale indepedent, not as useful when values near zero.",Insert Records2
ML Model,Definition,Definition,"Multicollinearity: When two or more predictor variables in a model are highly correlated with one another. The term comes from regression analysis and highlights a structural issue rather than a data-quality problem. It is important because multicollinearity inflates variance in coefficient estimates, making them unstable and difficult to interpret, even if overall model performance appears strong. This can obscure the true relationship between predictors and the target variable. In practice, multicollinearity is addressed through feature selection, dimensionality reduction (e.g., PCA), or regularization techniques like Ridge regression.",Insert Records2
ML Model,Definition,Definition,"Non-Gaussian: Data or error distributions that do not follow a normal (Gaussian) distribution. The concept arises from probability theory and statistics, where the Gaussian distribution is often assumed due to its mathematical convenience and the Central Limit Theorem. Its importance lies in the fact that many real-world datasets—such as financial returns, network traffic, or biological signals—exhibit skewness, heavy tails, or multimodality that violate normality assumptions. Non-Gaussian data can significantly affect model performance and inference if not properly handled. In applications, this often motivates the use of robust statistics, nonparametric methods, or models explicitly designed for alternative distributions.",Insert Records2
ML Model,Definition,Definition,"Probabilistic clustering: Probabilistic clustering models data as coming from overlapping probability distributions rather than assigning hard cluster boundaries. It answers the question: “To what degree does this observation belong to each group?” Its strength is capturing uncertainty and mixed behaviors, which is often more realistic in human or financial data. The weakness is increased complexity, sensitivity to assumptions, and reduced interpretability for non-technical audiences.",Insert Records2
ML Model,Definition,Definition,"Categorization: Terminology created by myself and utilized to identify the abstract level of how I would classiify items for inclusion of Notes and Definitions. Categorization is used to explain process, and provide context  as to the relevance.",Insert Records2
ML Model,Definition,Definition,"Ownership: State of having end-to-end accountability for a product, service, policy, process, or outcome, including its performance, quality, and continuous improvement over time.",Insert Records2
ML Model,Definition,Definition,"Policy : It defines mandatory rules, principles, or standards that guide decision-making and behavior across the organization.",Insert Records2
ML Model,Definition,Definition,"Procedure: Is a detailed, step by step set of instructions on how to perform a specific task or part of a process.",Insert Records2
ML Model,Definition,Definition,"Process: Terminology created by myself and utilized to identify the abstract level of how I would classiify items for inclusion of Notes and Definitions. Process is the HIGHEST level of abstraction, within a classification system. NOTE: The use of this differs sligtly across Notes and Definitions tabs, specifically the Highest Level of abstraction differs, with Definitions including MULTIPLE levels of abstraction, both at a individual concept level and at a Overall level. Please refer to Read Me for examples.",Insert Records2
ML Model,Definition,Definition,"Process: High level, strategic sequence of related tasks or activities that transform inputs into outputs to achieve a specific goal.",Insert Records2
ML Model,Definition,Definition,"RASCI: RASCI is a responsibility assignment framework used to clarify who does the work, who is accountable, and who must be involved or informed for a given activity, decision, or deliverable.",Insert Records2
ML Model,Definition,Definition,"Stewardship: Responsibility to safeguard, maintain, and optimize an asset on behalf of the organization, ensuring it is used appropriately, consistently, and in compliance with policy.",Insert Records2
ML Model,Definition,Definition,Word: Self Explanatory,Insert Records2
ML Model,Definition,Definition,"Occam's Razor: Philosophical principle that suggests when faced with multiple explanations for a phenomenon, the simplest one is often the best. It emphasizes minimizing unnecessary assumptions and complexity while ensuring the explanation or solution remains sufficient to address the problem. Simpler models or explanations are easier to understand, communicate, and test, they avoid overfitting, and provides a heuristic for prioritizing hypotheses that require fewer assumptions, allowing for a more structured and efficient approach to problem-solving.",Insert Records2
ML Model,Definition,Definition,"Pareto Principle: 80/20 Rule, is a principle named after the Italian economist Vilfredo Pareto, who observed that roughly 80% of the effects come from 20% of the causes.",Insert Records2
ML Model,Definition,Definition,"Parkinson's law of triviality: When a group is asked to make decisions, they often spend the most time on the simplest, least important aspects because these are easier to understand and discuss. For example, in a meeting to approve the budget for a nuclear power plant, more time might be spent discussing the design of a bike shed for employees than on the complex technicalities of the plant itself. This is because everyone understands and feels competent to discuss the bike shed, but few are knowledgeable enough to weigh in on the technical aspects of the power plant. Misallocation of Resources: The law of triviality suggests that important decisions are often overshadowed by trivial ones, leading to a misallocation of attention and resources. Cognitive Bias: People tend to focus on topics they feel more comfortable with, even if those topics are less critical. This can result in ineffective decision-making where the more significant and complex issues are neglected.",Insert Records2
ML Model,Definition,Definition,Parkinson's' Law: work expands to fill the time available for its completion,Insert Records2
ML Model,Definition,Definition,"Pytorch: PyTorch is an open-source deep learning framework primarily used for research, experimentation, and custom model development. It features eager execution and dynamic computation graphs, which allow models to run and be debugged step by step like standard Python code. PyTorch is highly Pythonic and integrates naturally with the scientific Python ecosystem, making it well suited for rapid prototyping and novel model architectures. A common limitation is that additional engineering effort may be required when moving experimental models into large-scale production environments.",Insert Records2
ML Model,Definition,Definition,"Tensor Flow: TensorFlow is an open-source machine learning framework designed to support building, training, and deploying models across a wide range of platforms. It provides high-level APIs that simplify model creation while also offering tools for large-scale, production-grade deployment. TensorFlow’s ecosystem includes specialized solutions for serving, mobile, and web environments, making it suitable for enterprise and embedded use cases. Its complexity and abstraction layers can introduce a steeper learning curve for low-level customization.",Insert Records2
ML Model,Definition,Definition,"Azure Synapse Analytics: Azure Synapse Analytics provides a single, cloud-scale platform that supports multiple analytical technologies; enabling a consolidated and integrated experience for data engineers, data analysts, data scientists, and other professionals who need to work with data.",Insert Records2
ML Model,Definition,Definition,"FastAPI: Simplified Framework for creating API and dstributing. You lose some control relative to Flask, however you gain simplicity, do not need to think about and address ever detail.",Insert Records2
ML Model,Definition,Definition,"Pydantic: Pydantic is a data validation and settings management library in Python, primarily used to validate data against a specific data model (schema) and to parse and serialize complex data types. A ""Pydantic model"" refers to a class definition in Python that inherits from pydantic.BaseModel. These models define the structure of data that you expect to receive or send in your application and allow you to enforce constraints on that data.",Insert Records2
ML Model,Definition,Definition,"Spark: A fast and general engine for large scale data processing. Distributes information across nodes to limit strain and bottleneck on individual machine. Runs ontop of a cluster Manager, script like any other script, Spark knows how to distribute . Master Program run code and manages interactions between slave tasks (executors). Can run ontop of a Hadoop Cluster – Yarn. Fault tolerant – allows node to go down without crashing or restarting job. A distributed processing framework written primarily in the Scala programming language. The framework offers different language APIs on top of the core Scala-based framework. Spark maintains MapReduce’s linear scalability and fault tolerance, but extends it in three important ways: First, rather than relying on a rigid map-then-reduce format, its engine can execute a more general directed acyclic graph of operators. This means that in situations where MapReduce must write out intermediate results to the distributed filesystem, Spark can pass them directly to the next step in the pipeline. Second, it complements its computational capability with a rich set of transformations that enable users to express computation more naturally. Out-of-the-box functions are provided for various tasks, including numerical computation, datetime processing, and string manipulation. Third, Spark extends its predecessors with in-memory processing. This means that future steps that want to deal with the same dataset need not recompute it or reload it from disk. Spark is well-suited for highly iterative algorithms as well as ad hoc queries.
Apache Spark is an open-source, distributed computing system designed for fast processing of large-scale data by performing tasks in-memory, which significantly speeds up computation compared to disk-based systems like Hadoop. Spark is particularly known for its lazy evaluation model, where transformations on data (such as map or filter) are not executed immediately but are only computed when an action (like collect or reduce) is triggered. This allows Spark to optimize the execution plan by minimizing the number of data passes and combining transformations. Unlike traditional systems that rely heavily on disk storage, Spark primarily keeps data in memory, leading to faster processing, though it can spill to disk if memory limits are exceeded. This design makes it highly efficient for iterative machine learning algorithms and interactive data analytics. Overhead using PySpark because of conversation to Java, P4J Python for Java.Difference Between PySpark and Python Terminal. PySpark, session is already active.",Insert Records2
ML Model,Process,Definition,ML Models is a process designed to store records for all of the models.,Notes DF
ML Model,Algorithm,ARDRegression,,Examine Further
ML Model,Algorithm,Ada,"Boosting technique that combines multiple weak learners (usually decision stumps) into a strong learner. ModelStrengths: Handles weak learners well, reduces overfitting. Model Weaknesses: Sensitive to noisy data, requires careful tuning of learning rate.",Examine Further
ML Model,Algorithm,AdaBoostClassifier,"AdaBoostClassifier is an ensemble boosting algorithm that builds a strong classifier by sequentially combining many weak learners, typically decision stumps. It is important because it focuses learning on previously misclassified examples, often achieving high accuracy with simple base models. AdaBoost is commonly used when data is moderately sized and relatively clean. It can be sensitive to noise and outliers due to its reweighting mechanism.",Examine Further
ML Model,Algorithm,AdaBoostRegressor,,Examine Further
ML Model,Algorithm,AffinityPropagation,,Examine Further
ML Model,Algorithm,Agentic AI,"Perform a Specific Task, Autonomously while learning its environment.",Examine Further
ML Model,Algorithm,AgglomerativeClustering,"Agglomerative Clustering is a type of hierarchical clustering that uses a bottom-up approach. Each data point starts in its own cluster, and pairs of clusters are merged step by step based on similarity until all points are in one cluster (or a stopping criterion is met). Strengths: Doesn’t require you to specify the number of clusters up front (if using a dendrogram). Can capture nested cluster structure. Weaknesses; Computationally expensive for large datasets (O(n²)).Once merged, clusters can't be split.",Examine Further
