Model Name,Estimator Class,Dataset Size,Full Class Path,Estimator Type,Part_1,Part_2,Part_3,Part_4,Part_5,Sklearn Desc
BaggingRegressor,<class 'sklearn.ensemble._bagging.BaggingRegressor'>,"Medium, Large",sklearn.ensemble._bagging.BaggingRegressor,regressor,sklearn,ensemble,_bagging,BaggingRegressor,,"A Bagging regressor.  A Bagging regressor is an ensemble meta-estimator that fits base regressors each on random subsets of the original dataset and then aggregate their individual predictions (either by voting or by averaging) to form a final prediction. Such a meta-estimator can typically be used as a way to reduce the variance of a black-box estimator (e.g., a decision tree), by introducing randomization into its construction procedure and then making an ensemble out of it.  This algorithm encompasses several works from the literature. When random subsets of the dataset are drawn as random subsets of the samples, then this algorithm is known as Pasting [1]_. If samples are drawn with replacement, then the method is known as Bagging [2]_. When random subsets of the dataset are drawn as random subsets of the features, then the method is known as Random Subspaces [3]_. Finally, when base estimators are built on subsets of both samples and features, then the method is known as Random Patches [4]_.  Read more in the :ref:`User Guide <bagging>`."
BayesianGaussianMixture,<class 'sklearn.mixture._bayesian_mixture.BayesianGaussianMixture'>,Small,sklearn.mixture._bayesian_mixture.BayesianGaussianMixture,unknown,sklearn,mixture,_bayesian_mixture,BayesianGaussianMixture,,Variational Bayesian estimation of a Gaussian mixture.  This class allows to infer an approximate posterior distribution over the parameters of a Gaussian mixture distribution. The effective number of components can be inferred from the data.  This class implements two types of prior for the weights distribution: a finite mixture model with Dirichlet distribution and an infinite mixture model with the Dirichlet Process. In practice Dirichlet Process inference algorithm is approximated and uses a truncated distribution with a fixed maximum number of components (called the Stick-breaking representation). The number of components actually used almost always depends on the data.
BayesianRidge,<class 'sklearn.linear_model._bayes.BayesianRidge'>,"Small, Medium",sklearn.linear_model._bayes.BayesianRidge,regressor,sklearn,linear_model,_bayes,BayesianRidge,,"Bayesian ridge regression.  Fit a Bayesian ridge model. See the Notes section for details on this implementation and the optimization of the regularization parameters lambda (precision of the weights) and alpha (precision of the noise).  Read more in the :ref:`User Guide <bayesian_regression>`. For an intuitive visualization of how the sinusoid is approximated by a polynomial using different pairs of initial values, see :ref:`sphx_glr_auto_examples_linear_model_plot_bayesian_ridge_curvefit.py`.  Parameters ---------- max_iter : int, default=300 Maximum number of iterations over the complete dataset before stopping independently of any early stopping criterion."
BayesianRidge,<class 'sklearn.linear_model._bayes.BayesianRidge'>,"Small, Medium",sklearn.linear_model._bayes.BayesianRidge,regressor,sklearn,linear_model,_bayes,BayesianRidge,,"Bayesian ridge regression.  Fit a Bayesian ridge model. See the Notes section for details on this implementation and the optimization of the regularization parameters lambda (precision of the weights) and alpha (precision of the noise).  Read more in the :ref:`User Guide <bayesian_regression>`. For an intuitive visualization of how the sinusoid is approximated by a polynomial using different pairs of initial values, see :ref:`sphx_glr_auto_examples_linear_model_plot_bayesian_ridge_curvefit.py`.  Parameters ---------- max_iter : int, default=300 Maximum number of iterations over the complete dataset before stopping independently of any early stopping criterion."
BayesianRidge,<class 'sklearn.linear_model._bayes.BayesianRidge'>,"Small, Medium",sklearn.linear_model._bayes.BayesianRidge,regressor,sklearn,linear_model,_bayes,BayesianRidge,,"Bayesian ridge regression.  Fit a Bayesian ridge model. See the Notes section for details on this implementation and the optimization of the regularization parameters lambda (precision of the weights) and alpha (precision of the noise).  Read more in the :ref:`User Guide <bayesian_regression>`. For an intuitive visualization of how the sinusoid is approximated by a polynomial using different pairs of initial values, see :ref:`sphx_glr_auto_examples_linear_model_plot_bayesian_ridge_curvefit.py`.  Parameters ---------- max_iter : int, default=300 Maximum number of iterations over the complete dataset before stopping independently of any early stopping criterion."
BayesianRidge,<class 'sklearn.linear_model._bayes.BayesianRidge'>,"Small, Medium",sklearn.linear_model._bayes.BayesianRidge,regressor,sklearn,linear_model,_bayes,BayesianRidge,,"Bayesian ridge regression.  Fit a Bayesian ridge model. See the Notes section for details on this implementation and the optimization of the regularization parameters lambda (precision of the weights) and alpha (precision of the noise).  Read more in the :ref:`User Guide <bayesian_regression>`. For an intuitive visualization of how the sinusoid is approximated by a polynomial using different pairs of initial values, see :ref:`sphx_glr_auto_examples_linear_model_plot_bayesian_ridge_curvefit.py`.  Parameters ---------- max_iter : int, default=300 Maximum number of iterations over the complete dataset before stopping independently of any early stopping criterion."
BernoulliNB,<class 'sklearn.naive_bayes.BernoulliNB'>,"Medium, Large",sklearn.naive_bayes.BernoulliNB,classifier,sklearn,naive_bayes,BernoulliNB,,,"Naive Bayes classifier for multivariate Bernoulli models.  Like MultinomialNB, this classifier is suitable for discrete data. The difference is that while MultinomialNB works with occurrence counts, BernoulliNB is designed for binary/boolean features.  Read more in the :ref:`User Guide <bernoulli_naive_bayes>`.  Parameters ---------- alpha : float or array-like of shape (n_features,), default=1.0 Additive (Laplace/Lidstone) smoothing parameter (set alpha=0 and force_alpha=True, for no smoothing).  force_alpha : bool, default=True If False and alpha is less than 1e-10, it will set alpha to 1e-10. If True, alpha will remain unchanged. This may cause numerical errors if alpha is too close to 0."
BernoulliRBM,<class 'sklearn.neural_network._rbm.BernoulliRBM'>,Small,sklearn.neural_network._rbm.BernoulliRBM,transformer,sklearn,neural_network,_rbm,BernoulliRBM,,"Bernoulli Restricted Boltzmann Machine (RBM).  A Restricted Boltzmann Machine with binary visible units and binary hidden units. Parameters are estimated using Stochastic Maximum Likelihood (SML), also known as Persistent Contrastive Divergence (PCD) [2].  The time complexity of this implementation is ``O(d ** 2)`` assuming d ~ n_features ~ n_components.  Read more in the :ref:`User Guide <rbm>`.  Parameters ---------- n_components : int, default=256 Number of binary hidden units.  learning_rate : float, default=0.1 The learning rate for weight updates. It is *highly* recommended to tune this hyper-parameter. Reasonable values are in the 10**[0., -3.] range.  batch_size : int, default=10 Number of examples per minibatch.  n_iter : int, default=10 Number of iterations/sweeps over the training dataset to perform during training.  verbose : int, default=0 The verbosity level. The default, zero, means silent mode. Range of values is [0, inf].  random_state : int, RandomState instance or None, default=None Determines random number generation for:  - Gibbs sampling from visible and hidden layers.  - Initializing components, sampling from layers during fit.  - Corrupting the data when scoring samples.  Pass an int for reproducible results across multiple function calls. See :term:`Glossary <random_state>`.  Attributes ---------- intercept_hidden_ : array-like of shape (n_components,) Biases of the hidden units.  intercept_visible_ : array-like of shape (n_features,) Biases of the visible units.  components_ : array-like of shape (n_components, n_features) Weight matrix, where `n_features` is the number of visible units and `n_components` is the number of hidden units.  h_samples_ : array-like of shape (batch_size, n_components) Hidden Activation sampled from the model distribution, where `batch_size` is the number of examples per minibatch and `n_components` is the number of hidden units.  n_features_in_ : int Number of features seen during :term:`fit`."
Binarizer,<class 'sklearn.preprocessing._data.Binarizer'>,Large,sklearn.preprocessing._data.Binarizer,transformer,sklearn,preprocessing,_data,Binarizer,,"Binarize data (set feature values to 0 or 1) according to a threshold.  Values greater than the threshold map to 1, while values less than or equal to the threshold map to 0. With the default threshold of 0, only positive values map to 1.  Binarization is a common operation on text count data where the analyst can decide to only consider the presence or absence of a feature rather than a quantified number of occurrences for instance.  It can also be used as a pre-processing step for estimators that consider boolean random variables (e.g. modelled using the Bernoulli distribution in a Bayesian setting).  Read more in the :ref:`User Guide <preprocessing_binarization>`.  Parameters ---------- threshold : float, default=0.0 Feature values below or equal to this are replaced by 0, above it by 1. Threshold may not be less than 0 for operations on sparse matrices.  copy : bool, default=True Set to False to perform inplace binarization and avoid a copy (if the input is already a numpy array or a scipy.sparse CSR matrix).  Attributes ---------- n_features_in_ : int Number of features seen during :term:`fit`."
Birch,<class 'sklearn.cluster._birch.Birch'>,"Medium, Large",sklearn.cluster._birch.Birch,"cluster, transformer",sklearn,cluster,_birch,Birch,,"Implements the BIRCH clustering algorithm.  It is a memory-efficient, online-learning algorithm provided as an alternative to :class:`MiniBatchKMeans`. It constructs a tree data structure with the cluster centroids being read off the leaf. These can be either the final cluster centroids or can be provided as input to another clustering algorithm such as :class:`AgglomerativeClustering`.  Read more in the :ref:`User Guide <birch>`."
BisectingKMeans,<class 'sklearn.cluster._bisect_k_means.BisectingKMeans'>,"Medium, Large",sklearn.cluster._bisect_k_means.BisectingKMeans,"cluster, transformer",sklearn,cluster,_bisect_k_means,BisectingKMeans,,Bisecting K-Means clustering.  Read more in the :ref:`User Guide <bisect_k_means>`.
CCA,<class 'sklearn.cross_decomposition._pls.CCA'>,Small,sklearn.cross_decomposition._pls.CCA,"regressor, transformer",sklearn,cross_decomposition,_pls,CCA,,"Canonical Correlation Analysis, also known as ""Mode B"" PLS.  For a comparison between other cross decomposition algorithms, see :ref:`sphx_glr_auto_examples_cross_decomposition_plot_compare_cross_decomposition.py`.  Read more in the :ref:`User Guide <cross_decomposition>`.  Parameters ---------- n_components : int, default=2 Number of components to keep. Should be in `[1, min(n_samples, n_features, n_targets)]`.  scale : bool, default=True Whether to scale `X` and `Y`.  max_iter : int, default=500 The maximum number of iterations of the power method.  tol : float, default=1e-06 The tolerance used as convergence criteria in the power method: the algorithm stops whenever the squared norm of `u_i - u_{i-1}` is less than `tol`, where `u` corresponds to the left singular vector.  copy : bool, default=True Whether to copy `X` and `Y` in fit before applying centering, and potentially scaling. If False, these operations will be done inplace, modifying both arrays.  Attributes ---------- x_weights_ : ndarray of shape (n_features, n_components) The left singular vectors of the cross-covariance matrices of each iteration.  y_weights_ : ndarray of shape (n_targets, n_components) The right singular vectors of the cross-covariance matrices of each iteration.  x_loadings_ : ndarray of shape (n_features, n_components) The loadings of `X`.  y_loadings_ : ndarray of shape (n_targets, n_components) The loadings of `Y`.  x_rotations_ : ndarray of shape (n_features, n_components) The projection matrix used to transform `X`.  y_rotations_ : ndarray of shape (n_targets, n_components) The projection matrix used to transform `Y`.  coef_ : ndarray of shape (n_targets, n_features) The coefficients of the linear model such that `Y` is approximated as `Y = X @ coef_.T + intercept_`.  intercept_ : ndarray of shape (n_targets,) The intercepts of the linear model such that `Y` is approximated as `Y = X @ coef_.T + intercept_`."
CalibratedClassifierCV,<class 'sklearn.calibration.CalibratedClassifierCV'>,"Small, Medium",sklearn.calibration.CalibratedClassifierCV,classifier,sklearn,calibration,CalibratedClassifierCV,,,"Probability calibration with isotonic regression or logistic regression.  This class uses cross-validation to both estimate the parameters of a classifier and subsequently calibrate a classifier. With default `ensemble=True`, for each cv split it fits a copy of the base estimator to the training subset, and calibrates it using the testing subset. For prediction, predicted probabilities are averaged across these individual calibrated classifiers. When `ensemble=False`, cross-validation is used to obtain unbiased predictions, via :func:`~sklearn.model_selection.cross_val_predict`, which are then used for calibration. For prediction, the base estimator, trained using all the data, is used. This is the prediction method implemented when `probabilities=True` for :class:`~sklearn.svm.SVC` and :class:`~sklearn.svm.NuSVC` estimators (see :ref:`User Guide <scores_probabilities>` for details).  Already fitted classifiers can be calibrated by wrapping the model in a :class:`~sklearn.frozen.FrozenEstimator`. In this case all provided data is used for calibration. The user has to take care manually that data for model fitting and calibration are disjoint.  The calibration is based on the :term:`decision_function` method of the `estimator` if it exists, else on :term:`predict_proba`.  Read more in the :ref:`User Guide <calibration>`. In order to learn more on the CalibratedClassifierCV class, see the following calibration examples: :ref:`sphx_glr_auto_examples_calibration_plot_calibration.py`, :ref:`sphx_glr_auto_examples_calibration_plot_calibration_curve.py`, and :ref:`sphx_glr_auto_examples_calibration_plot_calibration_multiclass.py`.  Parameters ---------- estimator : estimator instance, default=None The classifier whose output need to be calibrated to provide more accurate `predict_proba` outputs. The default classifier is a :class:`~sklearn.svm.LinearSVC`."
CategoricalNB,<class 'sklearn.naive_bayes.CategoricalNB'>,"Medium, Large",sklearn.naive_bayes.CategoricalNB,classifier,sklearn,naive_bayes,CategoricalNB,,,"Naive Bayes classifier for categorical features.  The categorical Naive Bayes classifier is suitable for classification with discrete features that are categorically distributed. The categories of each feature are drawn from a categorical distribution.  Read more in the :ref:`User Guide <categorical_naive_bayes>`.  Parameters ---------- alpha : float, default=1.0 Additive (Laplace/Lidstone) smoothing parameter (set alpha=0 and force_alpha=True, for no smoothing).  force_alpha : bool, default=True If False and alpha is less than 1e-10, it will set alpha to 1e-10. If True, alpha will remain unchanged. This may cause numerical errors if alpha is too close to 0."
ClassifierChain,<class 'sklearn.multioutput.ClassifierChain'>,"Small, Medium",sklearn.multioutput.ClassifierChain,classifier,sklearn,multioutput,ClassifierChain,,,"A multi-label model that arranges binary classifiers into a chain.  Each model makes a prediction in the order specified by the chain using all of the available features provided to the model plus the predictions of models that are earlier in the chain.  For an example of how to use ``ClassifierChain`` and benefit from its ensemble, see :ref:`ClassifierChain on a yeast dataset <sphx_glr_auto_examples_multioutput_plot_classifier_chain_yeast.py>` example.  Read more in the :ref:`User Guide <classifierchain>`."
ColumnTransformer,<class 'sklearn.compose._column_transformer.ColumnTransformer'>,Large,sklearn.compose._column_transformer.ColumnTransformer,transformer,sklearn,compose,_column_transformer,ColumnTransformer,,"Applies transformers to columns of an array or pandas DataFrame.  This estimator allows different columns or column subsets of the input to be transformed separately and the features generated by each transformer will be concatenated to form a single feature space. This is useful for heterogeneous or columnar data, to combine several feature extraction mechanisms or transformations into a single transformer.  Read more in the :ref:`User Guide <column_transformer>`."
ComplementNB,<class 'sklearn.naive_bayes.ComplementNB'>,"Medium, Large",sklearn.naive_bayes.ComplementNB,classifier,sklearn,naive_bayes,ComplementNB,,,"The Complement Naive Bayes classifier described in Rennie et al. (2003).  The Complement Naive Bayes classifier was designed to correct the ""severe assumptions"" made by the standard Multinomial Naive Bayes classifier. It is particularly suited for imbalanced data sets.  Read more in the :ref:`User Guide <complement_naive_bayes>`."
CountVectorizer,<class 'sklearn.feature_extraction.text.CountVectorizer'>,Large,sklearn.feature_extraction.text.CountVectorizer,unknown,sklearn,feature_extraction,text,CountVectorizer,,"Convert a collection of text documents to a matrix of token counts.  This implementation produces a sparse representation of the counts using scipy.sparse.csr_matrix.  If you do not provide an a-priori dictionary and you do not use an analyzer that does some kind of feature selection then the number of features will be equal to the vocabulary size found by analyzing the data.  For an efficiency comparison of the different feature extractors, see :ref:`sphx_glr_auto_examples_text_plot_hashing_vs_dict_vectorizer.py`.  Read more in the :ref:`User Guide <text_feature_extraction>`.  Parameters ---------- input : {'filename', 'file', 'content'}, default='content' - If `'filename'`, the sequence passed as an argument to fit is expected to be a list of filenames that need reading to fetch the raw content to analyze.  - If `'file'`, the sequence items must have a 'read' method (file-like object) that is called to fetch the bytes in memory.  - If `'content'`, the input is expected to be a sequence of items that can be of type string or byte.  encoding : str, default='utf-8' If bytes or files are given to analyze, this encoding is used to decode.  decode_error : {'strict', 'ignore', 'replace'}, default='strict' Instruction on what to do if a byte sequence is given to analyze that contains characters not of the given `encoding`. By default, it is 'strict', meaning that a UnicodeDecodeError will be raised. Other values are 'ignore' and 'replace'.  strip_accents : {'ascii', 'unicode'} or callable, default=None Remove accents and perform other character normalization during the preprocessing step. 'ascii' is a fast method that only works on characters that have a direct ASCII mapping. 'unicode' is a slightly slower method that works on any characters. None (default) means no character normalization is performed.  Both 'ascii' and 'unicode' use NFKD normalization from :func:`unicodedata.normalize`.  lowercase : bool, default=True Convert all characters to lowercase before tokenizing.  preprocessor : callable, default=None Override the preprocessing (strip_accents and lowercase) stage while preserving the tokenizing and n-grams generation steps. Only applies if ``analyzer`` is not callable.  tokenizer : callable, default=None Override the string tokenization step while preserving the preprocessing and n-grams generation steps. Only applies if ``analyzer == 'word'``.  stop_words : {'english'}, list, default=None If 'english', a built-in stop word list for English is used. There are several known issues with 'english' and you should consider an alternative (see :ref:`stop_words`).  If a list, that list is assumed to contain stop words, all of which will be removed from the resulting tokens. Only applies if ``analyzer == 'word'``.  If None, no stop words will be used. In this case, setting `max_df` to a higher value, such as in the range (0.7, 1.0), can automatically detect and filter stop words based on intra corpus document frequency of terms.  token_pattern : str or None, default=r""(?u)\\b\\w\\w+\\b"" Regular expression denoting what constitutes a ""token"", only used if ``analyzer == 'word'``. The default regexp select tokens of 2 or more alphanumeric characters (punctuation is completely ignored and always treated as a token separator).  If there is a capturing group in token_pattern then the captured group content, not the entire match, becomes the token. At most one capturing group is permitted.  ngram_range : tuple (min_n, max_n), default=(1, 1) The lower and upper boundary of the range of n-values for different word n-grams or char n-grams to be extracted. All values of n such such that min_n <= n <= max_n will be used. For example an ``ngram_range`` of ``(1, 1)`` means only unigrams, ``(1, 2)`` means unigrams and bigrams, and ``(2, 2)`` means only bigrams. Only applies if ``analyzer`` is not callable.  analyzer : {'word', 'char', 'char_wb'} or callable, default='word' Whether the feature should be made of word n-gram or character n-grams. Option 'char_wb' creates character n-grams only from text inside word boundaries; n-grams at the edges of words are padded with space.  If a callable is passed it is used to extract the sequence of features out of the raw, unprocessed input."
DBSCAN,<class 'sklearn.cluster._dbscan.DBSCAN'>,"Small, Medium",sklearn.cluster._dbscan.DBSCAN,cluster,sklearn,cluster,_dbscan,DBSCAN,,"Perform DBSCAN clustering from vector array or distance matrix.  DBSCAN - Density-Based Spatial Clustering of Applications with Noise. Finds core samples of high density and expands clusters from them. Good for data which contains clusters of similar density.  This implementation has a worst case memory complexity of :math:`O({n}^2)`, which can occur when the `eps` param is large and `min_samples` is low, while the original DBSCAN only uses linear memory. For further details, see the Notes below.  Read more in the :ref:`User Guide <dbscan>`.  Parameters ---------- eps : float, default=0.5 The maximum distance between two samples for one to be considered as in the neighborhood of the other. This is not a maximum bound on the distances of points within a cluster. This is the most important DBSCAN parameter to choose appropriately for your data set and distance function.  min_samples : int, default=5 The number of samples (or total weight) in a neighborhood for a point to be considered as a core point. This includes the point itself. If `min_samples` is set to a higher value, DBSCAN will find denser clusters, whereas if it is set to a lower value, the found clusters will be more sparse.  metric : str, or callable, default='euclidean' The metric to use when calculating distance between instances in a feature array. If metric is a string or callable, it must be one of the options allowed by :func:`sklearn.metrics.pairwise_distances` for its metric parameter. If metric is ""precomputed"", X is assumed to be a distance matrix and must be square. X may be a :term:`sparse graph`, in which case only ""nonzero"" elements may be considered neighbors for DBSCAN."
DecisionTreeClassifier,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,Medium,sklearn.tree._classes.DecisionTreeClassifier,classifier,sklearn,tree,_classes,DecisionTreeClassifier,,"A decision tree classifier.  Read more in the :ref:`User Guide <tree>`.  Parameters ---------- criterion : {""gini"", ""entropy"", ""log_loss""}, default=""gini"" The function to measure the quality of a split. Supported criteria are ""gini"" for the Gini impurity and ""log_loss"" and ""entropy"" both for the Shannon information gain, see :ref:`tree_mathematical_formulation`.  splitter : {""best"", ""random""}, default=""best"" The strategy used to choose the split at each node. Supported strategies are ""best"" to choose the best split and ""random"" to choose the best random split.  max_depth : int, default=None The maximum depth of the tree. If None, then nodes are expanded until all leaves are pure or until all leaves contain less than min_samples_split samples.  min_samples_split : int or float, default=2 The minimum number of samples required to split an internal node:  - If int, then consider `min_samples_split` as the minimum number. - If float, then `min_samples_split` is a fraction and `ceil(min_samples_split * n_samples)` are the minimum number of samples for each split."
DecisionTreeRegressor,<class 'sklearn.tree._classes.DecisionTreeRegressor'>,Medium,sklearn.tree._classes.DecisionTreeRegressor,regressor,sklearn,tree,_classes,DecisionTreeRegressor,,"A decision tree regressor.  Read more in the :ref:`User Guide <tree>`.  Parameters ---------- criterion : {""squared_error"", ""friedman_mse"", ""absolute_error"",             ""poisson""}, default=""squared_error"" The function to measure the quality of a split. Supported criteria are ""squared_error"" for the mean squared error, which is equal to variance reduction as feature selection criterion and minimizes the L2 loss using the mean of each terminal node, ""friedman_mse"", which uses mean squared error with Friedman's improvement score for potential splits, ""absolute_error"" for the mean absolute error, which minimizes the L1 loss using the median of each terminal node, and ""poisson"" which uses reduction in the half mean Poisson deviance to find splits."
