Category,Categorization,Word,Definition,Notes,Link,Image,Markdown Equation,Dataset Size,Learning Type,Algorithm Class
Machine Learning,Definition,Curse of Dimensionality,"As dimensionality grows, data points become increasingly sparse, distances lose meaning, and models require exponentially more data to learn reliable patterns. This makes learning, generalization, and computation more difficult, often degrading model performance rather than improving it. In high-dimensional spaces, the optimization landscape also becomes far more complex, with many local minima and saddle points, making it harder to identify or converge toward a meaningful global minimum.",,,,,,,
Machine Learning,Definition,Deep Learning,"Deep learning is a subset of machine learning that uses multi-layer neural networks to automatically learn hierarchical representations from data, reducing the need for manual feature engineering. By stacking simple processing units called layers—each acting as a filter that transforms inputs into higher-level representations—deep learning models can capture complex patterns through composition. Early challenges such as vanishing gradients, where learning signals faded through many layers, were largely addressed through improved activation functions, optimization methods, and weight initialization strategies. In practice, building a deep learning model involves defining the network architecture (number of layers, connections, and activations) and then specifying how it learns by choosing an optimizer, loss function, and evaluation metrics during compilation.",,,,,,,
Machine Learning,Definition,Machine Learning,"Using a process to enable computers to iteratively learn from the data and improve analysis, outcomes or understanding. Intersection of statistics, artificial intelligence and computer science. Machine's don't learn, they find optimal mathematical formulas based on the data it is presented. There is an assumption that this data set is both representative of other data sets,  and possess similiar statistical distributions', You can argue this is not learning, because slight variances can result in materially different responses and output, Term synonymous with machines doing tasks without explicitly being programmed. Building a statistical model, based on a dataset",,,,,,,
Machine Learning,Definition,Optimization,"Optimization is the process of finding the best possible solution to a problem by systematically adjusting inputs or decisions to maximize or minimize a defined objective, subject to given constraints. In machine learning and analytics, optimization involves selecting model parameters that minimize error or maximize performance according to a chosen loss function. Importantly, what is considered “best” depends entirely on how the objective and constraints are defined.",,,,,,,
Machine Learning,Definition,Reinforcement Learning,"Reinforcement learning trains an agent to make decisions by interacting with an environment and receiving rewards or penalties. The agent learns a policy that maximizes cumulative reward over time through trial and error. It is commonly used in robotics, game playing, and control systems.",,,,,,,
Machine Learning,Definition,Semisupervised Learning,Semi-supervised learning combines a small amount of labeled data with a large amount of unlabeled data to improve learning performance. The model leverages the structure in the unlabeled data to generalize better than supervised learning alone. This approach is useful when labeling data is expensive or time-consuming.,,,,,,,
Machine Learning,Definition,Supervised Learning,"Supervised learning trains a model using labeled data, where the correct answer is known in advance. The model learns a mapping from inputs to outputs by minimizing the difference between its predictions and the true labels. Common examples include classification and regression problems.",,,,,,,
Machine Learning,Definition,Unsupervised Learning,"Unsupervised learning works with unlabeled data and aims to discover hidden patterns or structure. The model groups, compresses, or summarizes the data without being told what the correct outcome is. Typical use cases include clustering, dimensionality reduction, and anomaly detection.",,,,,,,
Machine Learning,Definition,Variance,"Variance refers to errors caused by models that are too sensitive to small fluctuations in the training data, often resulting in overfitting. High-variance models are overly flexible, capturing noise as if it were meaningful patterns. A model with many degrees of freedom (such as a high-degree polynomial model) is likely to have high variance and thus overfit the training data. As an example, if you created a model of How Predicting Housing Prices in 1 Neighbourhood would work and applied it to different neighbourhoods, if your model was simple, it wouldn’t work well anywhere and thus would be Wrong, but consistently-ish wrong. If your model was Good, it would work similarly well every well. If you model was overfit, it would work really well in 1 place, not so well elsewhere.
",,,,,,,
Mathematics,Definition,Algorithm,"An algorithm is a procedure that unfolds over time and depends on: previous states, iteration history and accumulated information.",,,,,,,
Mathematics,Definition,Best Linear Unbiased Estimator,Some Definition,,,,,,,
Mathematics,Definition,Constraint,"A constraint is something that restricts or penalizes the solution space. It does not: directly compute outputs, directly update parameters.  Instead, it: limits what solutions are allowed nudges learning toward simplicity or stability",,,,,,,
Mathematics,Definition,Function,"A function is a direct mathematical mapping: given an input, it deterministically produces an output. There is: no memory, no iteration, no learning history.",,,,,,,
Model,Algorithm,Ada,"Boosting technique that combines multiple weak learners (usually decision stumps) into a strong learner. ModelStrengths: Handles weak learners well, reduces overfitting. Model Weaknesses: Sensitive to noisy data, requires careful tuning of learning rate.",,,,,,,
Model,Algorithm,AdaBoostClassifier,,,,,,"Small, Medium",,
Model,Algorithm,AdaBoostRegressor,,,,,,"Small, Medium",,
Model,Algorithm,AffinityPropagation,,,,,,Small,,
Model,Algorithm,Agentic AI,"Perform a Specific Task, Autonomously while learning its environment.",,,,,,,
Model,Algorithm,AgglomerativeClustering,"Agglomerative Clustering is a type of hierarchical clustering that uses a bottom-up approach. Each data point starts in its own cluster, and pairs of clusters are merged step by step based on similarity until all points are in one cluster (or a stopping criterion is met). Strengths: Doesn’t require you to specify the number of clusters up front (if using a dendrogram). Can capture nested cluster structure. Weaknesses; Computationally expensive for large datasets (O(n²)).Once merged, clusters can't be split.",,,,,Small,,
Model,Algorithm,ARDRegression,,,,,,"Small, Medium",,
Model,Algorithm,BaggingClassifier,,,,,,"Medium, Large",,
Model,Algorithm,BaggingRegressor,,,,,,"Medium, Large",,
Model,Algorithm,BayesianGaussianMixture,,,,,,Small,,
Model,Algorithm,BayesianRidge,,,,,,"Small, Medium",,
Model,Algorithm,BernoulliNB,,,,,,"Medium, Large",,
Model,Algorithm,BernoulliRBM,,,,,,Small,,
Model,Algorithm,Bidirectional Encoder Representations from Transformers (BERT)," It’s a deep learning model for NLP developed by Google in 2018 that understands the context of words in a sentence by looking in both directions — left and right. This is a major upgrade over older models that only read text left-to-right or right-to-left. BERT is like someone reading a sentence and filling in blanks based on the full context.GPT is like someone writing a sentence one word at a time, based only on what they’ve written so far.",,,,,,,
Model,Algorithm,Binarizer,,,,,,Large,,
Model,Algorithm,Birch,,,,,,"Medium, Large",,
Model,Algorithm,BisectingKMeans,,,,,,"Medium, Large",,
Model,Algorithm,CalibratedClassifierCV,,,,,,"Small, Medium",,
Model,Algorithm,CategoricalNB,,,,,,"Medium, Large",,
Model,Algorithm,CCA,,,,,,Small,,
Model,Algorithm,ClassifierChain,,,,,,"Small, Medium",,
Model,Algorithm,ComplementNB,,,,,,"Medium, Large",,
Model,Algorithm,Convolutional Neural Network,,,,,,,,
Model,Algorithm,CountVectorizer,,,,,,Large,,
Model,Algorithm,DBSCAN,,,,,,"Small, Medium",,
Model,Algorithm,Decision Trees,"An ensemble of decision trees using bagging to reduce overfitting and improve accuracy. ModelStrengths: Reduces overfitting, robust to noise, handles high-dimensional data well. Model Weaknesses': ""Computationally expensive, less interpretable than a single tree.

Algorithm which splits data into branches based on feature values to make decisions or predicitions. Each internal node represents a feature, each branch represens a a decision rule and each leaf node represents an outcome. Decision Trees are popular because they are simple to interpret, require litte data preprocessing and can handle both classificaiton and regression. Their strengths include handling both numerical and catoegorical data, providiing clear visual representations of decisions. They are prone to overfitting and sensitive to noisy data. They work well in scenarios where interpretabiltiy is important, but struggle with high dimensional data when complex relationships exist. ",,,,,,,
Model,Algorithm,DecisionTreeClassifier,,,,,,Medium,,
Model,Algorithm,DecisionTreeRegressor,,,,,,Medium,,
Model,Algorithm,DictionaryLearning,,,,,,Small,,
Model,Algorithm,DictVectorizer,,,,,,Large,,
Model,Algorithm,DummyClassifier,,,,,,"Small, Medium, Large",,
Model,Algorithm,DummyRegressor,,,,,,"Small, Medium, Large",,
Model,Algorithm,ElasticNetCV,,,,,,"Small, Medium",,
Model,Algorithm,EllipticEnvelope,,,,,,Small,,
Model,Algorithm,EmpiricalCovariance,,,,,,Small,,
Model,Algorithm,ExtraTreeClassifier,,,,,,Medium,,
Model,Algorithm,ExtraTreeRegressor,,,,,,Medium,,
Model,Algorithm,ExtraTreesClassifier,,,,,,"Medium, Large",,
Model,Algorithm,ExtraTreesRegressor,,,,,,"Medium, Large",,
Model,Algorithm,FactorAnalysis,,,,,,"Small, Medium",,
Model,Algorithm,FastICA,,,,,,Small,,
Model,Algorithm,FeatureAgglomeration,,,,,,Small,,
Model,Algorithm,FeatureHasher,,,,,,Large,,
Model,Algorithm,FeatureUnion,,,,,,Large,,
Model,Algorithm,FixedThresholdClassifier,,,,,,Unknown,,
Model,Algorithm,FrozenEstimator,,,,,,Unknown,,
Model,Algorithm,GammaRegressor,,,,,,"Small, Medium",,
Model,Algorithm,GaussianMixture,,,,,,Small,,
Model,Algorithm,GaussianNB,,,,,,"Medium, Large",,
Model,Algorithm,GaussianProcessClassifier,,,,,,Small,,
Model,Algorithm,GaussianProcessRegressor,,,,,,Small,,
Model,Algorithm,GaussianRandomProjection,,,,,,Large,,
Model,Algorithm,Generalaized Liner Model,,,,,,,,
Model,Algorithm,GenericUnivariateSelect,,,,,,Large,,
Model,Algorithm,Gradient Descent,"Widely used optimization algorithm in machine learning, particularly for training models like neural networks. Its primary goal is to minimize a loss function, which measures the error between the model's predictions and the actual outcomes, by iteratively adjusting the model’s parameters.

Traditional Gradient Descent vs. Stochastic Gradient Descent
In Batch Gradient Descent, the algorithm computes the gradient of the loss function with respect to the model’s parameters using the entire dataset before updating the parameters. While this approach provides a precise update direction, it is computationally expensive and slow for large datasets since it requires processing all data points in each iteration.

Stochastic Gradient Descent (SGD) addresses this issue by approximating the gradient. Instead of computing gradients over the full dataset, SGD updates the model’s parameters using just a single data point at each step. This significantly reduces computational cost per iteration, making the algorithm much faster. However, since updates are based on a single random sample, they introduce high variance (noise), causing fluctuations that may prevent smooth convergence.
Mini-Batch Gradient Descent: To balance efficiency and stability, a common alternative is Mini-Batch Gradient Descent. Instead of using the full dataset (Batch Gradient Descent) or a single data point (SGD), Mini-Batch Gradient Descent computes updates using a small batch of randomly selected data points (e.g., 32, 64, or 128 samples per batch). This approach: Reduces noise compared to SGD while still being computationally efficient. 
Leverages vectorized operations for faster computation using modern hardware (e.g., GPUs).
Smooths out updates while still allowing some stochasticity to escape local minima.
Benefits & Trade-offs of SGD
Faster updates: Each iteration is computationally cheaper than full-batch gradient descent.
Better exploration: The randomness in updates helps escape local minima.
Higher variance: The noisier updates may lead to less stable convergence, requiring techniques like learning rate decay or momentum to improve performance.
Slower convergence: Since updates are less precise, SGD may take longer to reach the optimal solution.
Conclusion
SGD, Mini-Batch Gradient Descent, and Batch Gradient Descent each offer different trade-offs in terms of speed, stability, and computational efficiency. In practice, Mini-Batch Gradient Descent is the most commonly used approach for deep learning, as it provides a balance between computational efficiency and convergence stability.",,,,"$$
\theta_{t+1} = \theta_t - \alpha \nabla J(\theta_t)
$$

where:
- \( \theta_t \) are the parameters at step \( t \),
- \( \alpha \) is the learning rate,
- \( \nabla J(\theta_t) \) is the gradient of the loss function \( J \).

Predicitions: $\sigma(XW^T)$
Differences: $\sigma(XW^T) - Y$
Gradient: $\frac{1}{m} (\sigma(XW^T) -Y)$",,,
Model,Algorithm,GradientBoostingClassifier,,,,,,Medium,,
Model,Algorithm,GradientBoostingRegressor,,,,,,Medium,,
Model,Algorithm,GraphicalLasso,,,,,,Small,,
Model,Algorithm,GraphicalLassoCV,,,,,,Small,,
Model,Algorithm,GridSearchCV,,,,,,"Small, Medium",,
Model,Algorithm,HashingVectorizer,,,,,,Large,,
Model,Algorithm,HDBSCAN,,,,,,"Small, Medium",,
Model,Algorithm,HistGradientBoostingClassifier,,,,,,Large,,
Model,Algorithm,HistGradientBoostingRegressor,,,,,,Large,,
Model,Algorithm,HuberRegressor,,,,,,Small,,
Model,Algorithm,IncrementalPCA,,,,,,Large,,
Model,Algorithm,IsolationForest,,,,,,"Medium, Large",,
Model,Algorithm,Isomap,,,,,,Small,,
Model,Algorithm,IsotonicRegression,,,,,,Small,,
Model,Algorithm,KBinsDiscretizer,,,,,,Large,,
Model,Algorithm,KernelCenterer,,,,,,"Small, Medium, Large",,
Model,Algorithm,KernelDensity,,,,,,Small,,
Model,Algorithm,KernelPCA,,,,,,Small,,
Model,Algorithm,KernelRidge,,,,,,Small,,
Model,Algorithm,KMeans,,,,,,Medium,,
Model,Algorithm,KNeighborsClassifier,,,,,,Small,,
Model,Algorithm,KNeighborsRegressor,,,,,,Small,,
Model,Algorithm,KNN,"A model that classifies points based on their proximity to neighbors.. ModelStrengths: Simple to implement, works well with small datasets. Model Weaknesses: Computationally expensive with large datasets, sensitive to irrelevant features.",,,,,,,
Model,Algorithm,KNNImputer,,,,,,Medium,,
Model,Algorithm,LabelBinarizer,,,,,,Large,,
Model,Algorithm,LabelPropagation,,,,,,"Small, Medium",,
Model,Algorithm,LabelSpreading,,,,,,"Small, Medium",,
Model,Algorithm,Large Language Model (LLM),Understanding and Generating Human Like Text,,,,,,,
Model,Algorithm,Lars,,,,,,"Small, Medium",,
Model,Algorithm,LarsCV,,,,,,"Small, Medium",,
Model,Algorithm,LassoCV,,,,,,"Small, Medium",,
Model,Algorithm,LassoLars,,,,,,"Small, Medium",,
Model,Algorithm,LassoLarsCV,,,,,,"Small, Medium",,
Model,Algorithm,LassoLarsIC,,,,,,"Small, Medium",,
Model,Algorithm,LatentDirichletAllocation,,,,,,"Medium, Large",,
Model,Algorithm,LedoitWolf,,,,,,Small,,
Model,Algorithm,Linear Regression,"Models the relationship between an independent variable ( X ) and a dependent variable ( Y ) using a linear function. Model strengths include : Simple, interpretable, computationally efficient, works well for linearly separable data. Weaknesses, Assumes linear relationships, sensitive to outliers. Can calculate using two different approaches, Closed Form or Gradient Decent. Closed Form Solution was the original approach, can be calculated using advanced Calculus, which is easy for simple instances with a low number of independent variables, however Gradient Decent increasingly utilized as easy to implement via numeric calculation,  Python Linear Regression utilizies Pseudoinverse, which is computationally less expensive. However, it is Big O 2² to 2³, which means doubling features increases computations complexity 4 times.

Cost function for Linear Regression is usually Mean Squared Error. While it does not have to be, it is convenient for a number of reasons. 
1) Rarely Overfits, which Polynomial equations frequently do. 
2) It always has a derivative, which makes it convenient for using closed forms solutions (saving computation complexity). Historically was applied via Closed Form Solution, which can be difficult to calculate, computationally expensive. ",,,,"$$
Y = w_0 + w_1 X + \epsilon
$$
$$
Y = w_0 + w_1 X_1 + w_2 X_2 + \dots + w_n X_n + \epsilon
$$
$$
MSE = \frac{1}{N} \sum_{i=1}^{N} (Y_i - \hat{Y}_i)^2
$$

A linear model can be written as:

$$
\mathbf{y} = \mathbf{X} \boldsymbol{\beta} + \boldsymbol{\epsilon}
$$

where:
- $( \mathbf{y} \in \mathbb{R}^{n \times 1})$ is the vector of observed values
- $( \mathbf{X} \in \mathbb{R}^{n \times p} )$ is the design matrix (with \( n \) samples and \( p \) features),
- $( \boldsymbol{\beta} \in \mathbb{R}^{p \times 1} )$ is the vector of coefficients,
- $( \boldsymbol{\epsilon} \in \mathbb{R}^{n \times 1} )$ is the error term.

The closed-form solution for the ordinary least squares (OLS) estimate of \( \boldsymbol{\beta} \) is:

$$
\hat{\boldsymbol{\beta}} = (\mathbf{X}^T \mathbf{X})^{-1} \mathbf{X}^T \mathbf{y}
$$

provided that $( \mathbf{X}^T \mathbf{X} )$ is invertible.

This formula is derived by minimizing the sum of squared errors:

$$
\mathcal{L}(\boldsymbol{\beta}) = \|\mathbf{y} - \mathbf{X} \boldsymbol{\beta} \|^2
$$

Taking the derivative with respect to $( \boldsymbol{\beta} )$ and setting it to zero:

$$
\frac{\partial \mathcal{L}}{\partial \boldsymbol{\beta}} = -2 \mathbf{X}^T (\mathbf{y} - \mathbf{X} \boldsymbol{\beta}) = 0
$$

Solving for $( \boldsymbol{\beta} )$ gives the closed-form solution above.
",,,
Model,Algorithm,LinearDiscriminantAnalysis,,,,,,Medium,,
Model,Algorithm,LinearSVC,,,,,,Medium,,
Model,Algorithm,LinearSVR,,,,,,Medium,,
Model,Algorithm,LocallyLinearEmbedding,,,,,,Small,,
Model,Algorithm,LocalOutlierFactor,,,,,,"Small, Medium",,
Model,Algorithm,Logistic Regression,"Predicts probabilities using the sigmoid function for binary classification problems.
Model Strengths include; Simple, interpretable, performs well for linearly separable data. Model Weaknesses: Struggles with non-linear relationships, assumes linear relationship between features and log-odds.",,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/logistic.png,"### **Definition:**
Logistic Regression is used for **binary classification**. It predicts the probability that an instance belongs to a particular class.

### **Equation:**
Logistic regression applies the **sigmoid function** to a linear model:

$$
P(Y = 1 | X) = \sigma(w_0 + w_1 X_1 + w_2 X_2 + \dots + w_n X_n)
$$

where the **sigmoid function** \( \sigma(z) \) is:

$$
\sigma(z) = \frac{1}{1 + e^{-z}}
$$

This ensures that the output is in the range \( (0,1) \), representing a probability.

### **Decision Rule:**
To classify an instance:
- If $( P(Y=1|X) \geq 0.5 )$, predict class **1**.
- Otherwise, predict class **0**.

### **Objective Function:**
Logistic regression minimizes the **log-loss (cross-entropy loss)**:

$$
J(\theta) = -\frac{1}{N} \sum_{i=1}^{N} \left[ Y_i \log(\hat{Y}_i) + (1 - Y_i) \log(1 - \hat{Y}_i) \right]
$$
where $( \hat{Y}_i )$ is the predicted probability.",,,
Model,Algorithm,LogisticRegression,,,,,,Large,,
Model,Algorithm,LogisticRegressionCV,,,,,,"Medium, Large",,
Model,Algorithm,MDS,,,,,,Small,,
Model,Algorithm,MeanShift,,,,,,Small,,
Model,Algorithm,MinCovDet,,,,,,Small,,
Model,Algorithm,MiniBatchDictionaryLearning,,,,,,"Medium, Large",,
Model,Algorithm,MiniBatchKMeans,,,,,,Large,,
Model,Algorithm,MiniBatchNMF,,,,,,Large,,
Model,Algorithm,MiniBatchSparsePCA,,,,,,Large,,
Model,Algorithm,MissingIndicator,,,,,,Large,,
Model,Algorithm,MLPClassifier,,,,,,Medium,,
Model,Algorithm,MLPRegressor,,,,,,Medium,,
Model,Algorithm,MultiLabelBinarizer,,,,,,Large,,
Model,Algorithm,MultinomialNB,,,,,,"Medium, Large",,
Model,Algorithm,MultiOutputClassifier,,,,,,Medium,,
Model,Algorithm,MultiOutputRegressor,,,,,,Medium,,
Model,Algorithm,MultiTaskElasticNet,,,,,,"Small, Medium",,
Model,Algorithm,MultiTaskElasticNetCV,,,,,,"Small, Medium",,
Model,Algorithm,MultiTaskLasso,,,,,,"Small, Medium",,
Model,Algorithm,MultiTaskLassoCV,,,,,,"Small, Medium",,
Model,Algorithm,NearestCentroid,,,,,,Medium,,
Model,Algorithm,NearestNeighbors,,,,,,"Small, Medium",,
Model,Algorithm,NeighborhoodComponentsAnalysis,,,,,,Small,,
Model,Algorithm,Neural Network,,,,,,,,
Model,Algorithm,NMF,,,,,,"Medium, Large",,
Model,Algorithm,Normalizer,,,,,,Large,,
Model,Algorithm,NuSVC,,,,,,"Small, Medium",,
Model,Algorithm,NuSVR,,,,,,"Small, Medium",,
Model,Algorithm,Nystroem,,,,,,Medium,,
Model,Algorithm,OAS,,,,,,Small,,
Model,Algorithm,OneClassSVM,,,,,,Small,,
Model,Algorithm,OneVsOneClassifier,,,,,,Medium,,
Model,Algorithm,OneVsRestClassifier,,,,,,Medium,,
Model,Algorithm,OPTICS,,,,,,"Small, Medium",,
Model,Algorithm,OrthogonalMatchingPursuit,,,,,,"Small, Medium",,
Model,Algorithm,OrthogonalMatchingPursuitCV,,,,,,"Small, Medium",,
Model,Algorithm,OutputCodeClassifier,,,,,,Medium,,
Model,Algorithm,PassiveAggressiveClassifier,,,,,,Large,,
Model,Algorithm,PassiveAggressiveRegressor,,,,,,Large,,
Model,Algorithm,PatchExtractor,,,,,,Large,,
Model,Algorithm,PCA,,,,,,Large,,
Model,Algorithm,Perceptron,,,,,,Large,,
Model,Algorithm,Pipeline,,,,,,"Small, Medium, Large",,
Model,Algorithm,PLSCanonical,,,,,,Small,,
Model,Algorithm,PLSRegression,,,,,,Small,,
Model,Algorithm,PLSSVD,,,,,,Small,,
Model,Algorithm,PoissonRegressor,,,,,,Medium,,
Model,Algorithm,PolynomialCountSketch,,,,,,Large,,
Model,Algorithm,PolynomialFeatures,,,,,,Medium,,
Model,Algorithm,QuadraticDiscriminantAnalysis,,,,,,"Small, Medium",,
Model,Algorithm,Quantile Random Forest,,,,,,,,
Model,Algorithm,QuantileRegressor,,,,,,"Small, Medium",,
Model,Algorithm,RadiusNeighborsClassifier,,,,,,Small,,
Model,Algorithm,RadiusNeighborsRegressor,,,,,,Small,,
Model,Algorithm,RandomForestClassifier,,,,,,"Medium, Large",,
Model,Algorithm,RandomForestRegressor,,,,,,"Medium, Large",,
Model,Algorithm,RandomizedSearchCV,,,,,,"Small, Medium",,
Model,Algorithm,RandomTreesEmbedding,,,,,,Large,,
Model,Algorithm,RANSACRegressor,,,,,,Small,,
Model,Algorithm,Recurrent Neural Network,,,,,,,,
Model,Algorithm,RegressorChain,,,,,,Medium,,
Model,Algorithm,RFE,,,,,,"Small, Medium",,
Model,Algorithm,RFECV,,,,,,"Small, Medium",,
Model,Algorithm,RidgeClassifier,,,,,,"Medium, Large",,
Model,Algorithm,RidgeClassifierCV,,,,,,"Medium, Large",,
Model,Algorithm,RidgeCV,,,,,,"Medium, Large",,
Model,Algorithm,SelectFdr,,,,,,Large,,
Model,Algorithm,SelectFpr,,,,,,Large,,
Model,Algorithm,SelectFromModel,,,,,,Large,,
Model,Algorithm,SelectFwe,,,,,,Large,,
Model,Algorithm,SelectKBest,,,,,,Large,,
Model,Algorithm,SelectPercentile,,,,,,Large,,
Model,Algorithm,SelfTrainingClassifier,,,,,,Medium,,
Model,Algorithm,SequentialFeatureSelector,,,,,,"Small, Medium",,
Model,Algorithm,SGDClassifier,Handle Large Dataset well because it treats each individual point distinctly.,,,,,Large,,
Model,Algorithm,SGDOneClassSVM,,,,,,"Medium, Large",,
Model,Algorithm,SGDRegressor,,,,,,Large,,
Model,Algorithm,ShrunkCovariance,,,,,,Small,,
Model,Algorithm,SimpleImputer,,,,,,Large,,
Model,Algorithm,SparseCoder,,,,,,"Small, Medium",,
Model,Algorithm,SparsePCA,,,,,,"Medium, Large",,
Model,Algorithm,SparseRandomProjection,,,,,,Large,,
