Process,Title,Header,Description
,Data Availability.- Features,,
,Linearity,,
,Training Speed,,
,Prediction Speed,,
,Alogrithm,,
,Loss Function,,
,Loss Objective,,
,,,
,,,
Model Evaluation,Evaluate Bias,,
,Variance,,
Feature Engineering,,,
,,,
,,,
,,,
ML Calculation,Instantiate the Model,,
ML Calculation,Calculate the Loss,,
ML Calculation,Calculate the Gradient,,
ML Calculation,Change Loss,,
ML Calculation,Measure Change.,,
