Model Name,Estimator Class,ModelType,Full Class Path,Primary Key,Part_2,Part_3,Part_4,Part_5,Hyperparameters
ExtraTreesClassifier,<class 'sklearn.ensemble._forest.ExtraTreesClassifier'>,classifier,<class 'sklearn.ensemble._forest.ExtraTreesClassifier'>,sklearn.ensemble._forest.ExtraTreesClassifier,ensemble,_forest,ExtraTreesClassifier,,"['bootstrap', 'ccp_alpha', 'class_weight', 'criterion', 'max_depth', 'max_features', 'max_leaf_nodes', 'max_samples', 'min_impurity_decrease', 'min_samples_leaf', 'min_samples_split', 'min_weight_fraction_leaf', 'n_estimators', 'n_jobs', 'oob_score', 'random_state', 'verbose', 'warm_start']"
FixedThresholdClassifier,<class 'sklearn.model_selection._classification_threshold.FixedThresholdClassifier'>,classifier,<class 'sklearn.model_selection._classification_threshold.FixedThresholdClassifier'>,sklearn.model_selection._classification_threshold.FixedThresholdClassifier,model_selection,_classification_threshold,FixedThresholdClassifier,,
GaussianNB,<class 'sklearn.naive_bayes.GaussianNB'>,classifier,<class 'sklearn.naive_bayes.GaussianNB'>,sklearn.naive_bayes.GaussianNB,naive_bayes,GaussianNB,,,"['priors', 'var_smoothing']"
GaussianProcessClassifier,<class 'sklearn.gaussian_process._gpc.GaussianProcessClassifier'>,classifier,<class 'sklearn.gaussian_process._gpc.GaussianProcessClassifier'>,sklearn.gaussian_process._gpc.GaussianProcessClassifier,gaussian_process,_gpc,GaussianProcessClassifier,,"['copy_X_train', 'kernel', 'max_iter_predict', 'multi_class', 'n_jobs', 'n_restarts_optimizer', 'optimizer', 'random_state', 'warm_start']"
GradientBoostingClassifier,<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>,classifier,<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>,sklearn.ensemble._gb.GradientBoostingClassifier,ensemble,_gb,GradientBoostingClassifier,,"['ccp_alpha', 'criterion', 'init', 'learning_rate', 'loss', 'max_depth', 'max_features', 'max_leaf_nodes', 'min_impurity_decrease', 'min_samples_leaf', 'min_samples_split', 'min_weight_fraction_leaf', 'n_estimators', 'n_iter_no_change', 'random_state', 'subsample', 'tol', 'validation_fraction', 'verbose', 'warm_start']"
HistGradientBoostingClassifier,<class 'sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier'>,classifier,<class 'sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier'>,sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier,ensemble,_hist_gradient_boosting,gradient_boosting,HistGradientBoostingClassifier,"['categorical_features', 'early_stopping', 'l2_regularization', 'learning_rate', 'loss', 'max_bins', 'max_depth', 'max_iter', 'max_leaf_nodes', 'min_samples_leaf', 'monotonic_cst', 'n_iter_no_change', 'random_state', 'scoring', 'tol', 'validation_fraction', 'verbose', 'warm_start']"
KNeighborsClassifier,<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,classifier,<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,sklearn.neighbors._classification.KNeighborsClassifier,neighbors,_classification,KNeighborsClassifier,,"['algorithm', 'leaf_size', 'metric', 'metric_params', 'n_jobs', 'n_neighbors', 'p', 'weights']"
LabelPropagation,<class 'sklearn.semi_supervised._label_propagation.LabelPropagation'>,classifier,<class 'sklearn.semi_supervised._label_propagation.LabelPropagation'>,sklearn.semi_supervised._label_propagation.LabelPropagation,semi_supervised,_label_propagation,LabelPropagation,,"['gamma', 'kernel', 'max_iter', 'n_jobs', 'n_neighbors', 'tol']"
LabelSpreading,<class 'sklearn.semi_supervised._label_propagation.LabelSpreading'>,classifier,<class 'sklearn.semi_supervised._label_propagation.LabelSpreading'>,sklearn.semi_supervised._label_propagation.LabelSpreading,semi_supervised,_label_propagation,LabelSpreading,,"['alpha', 'gamma', 'kernel', 'max_iter', 'n_jobs', 'n_neighbors', 'tol']"
LinearDiscriminantAnalysis,<class 'sklearn.discriminant_analysis.LinearDiscriminantAnalysis'>,classifier,<class 'sklearn.discriminant_analysis.LinearDiscriminantAnalysis'>,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,discriminant_analysis,LinearDiscriminantAnalysis,,,"['covariance_estimator', 'n_components', 'priors', 'shrinkage', 'solver', 'store_covariance', 'tol']"
LinearSVC,<class 'sklearn.svm._classes.LinearSVC'>,classifier,<class 'sklearn.svm._classes.LinearSVC'>,sklearn.svm._classes.LinearSVC,svm,_classes,LinearSVC,,"['C', 'class_weight', 'dual', 'fit_intercept', 'intercept_scaling', 'loss', 'max_iter', 'multi_class', 'penalty', 'random_state', 'tol', 'verbose']"
LogisticRegression,<class 'sklearn.linear_model._logistic.LogisticRegression'>,classifier,<class 'sklearn.linear_model._logistic.LogisticRegression'>,sklearn.linear_model._logistic.LogisticRegression,linear_model,_logistic,LogisticRegression,,"['C', 'class_weight', 'dual', 'fit_intercept', 'intercept_scaling', 'l1_ratio', 'max_iter', 'multi_class', 'n_jobs', 'penalty', 'random_state', 'solver', 'tol', 'verbose', 'warm_start']"
LogisticRegressionCV,<class 'sklearn.linear_model._logistic.LogisticRegressionCV'>,classifier,<class 'sklearn.linear_model._logistic.LogisticRegressionCV'>,sklearn.linear_model._logistic.LogisticRegressionCV,linear_model,_logistic,LogisticRegressionCV,,"['Cs', 'class_weight', 'cv', 'dual', 'fit_intercept', 'intercept_scaling', 'l1_ratios', 'max_iter', 'multi_class', 'n_jobs', 'penalty', 'random_state', 'refit', 'scoring', 'solver', 'tol', 'verbose']"
MLPClassifier,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,classifier,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,sklearn.neural_network._multilayer_perceptron.MLPClassifier,neural_network,_multilayer_perceptron,MLPClassifier,,"['activation', 'alpha', 'batch_size', 'beta_1', 'beta_2', 'early_stopping', 'epsilon', 'hidden_layer_sizes', 'learning_rate', 'learning_rate_init', 'max_fun', 'max_iter', 'momentum', 'n_iter_no_change', 'nesterovs_momentum', 'power_t', 'random_state', 'shuffle', 'solver', 'tol', 'validation_fraction', 'verbose', 'warm_start']"
MultiOutputClassifier,<class 'sklearn.multioutput.MultiOutputClassifier'>,classifier,<class 'sklearn.multioutput.MultiOutputClassifier'>,sklearn.multioutput.MultiOutputClassifier,multioutput,MultiOutputClassifier,,,
MultinomialNB,<class 'sklearn.naive_bayes.MultinomialNB'>,classifier,<class 'sklearn.naive_bayes.MultinomialNB'>,sklearn.naive_bayes.MultinomialNB,naive_bayes,MultinomialNB,,,"['alpha', 'class_prior', 'fit_prior']"
NearestCentroid,<class 'sklearn.neighbors._nearest_centroid.NearestCentroid'>,classifier,<class 'sklearn.neighbors._nearest_centroid.NearestCentroid'>,sklearn.neighbors._nearest_centroid.NearestCentroid,neighbors,_nearest_centroid,NearestCentroid,,"['metric', 'shrink_threshold']"
NuSVC,<class 'sklearn.svm._classes.NuSVC'>,classifier,<class 'sklearn.svm._classes.NuSVC'>,sklearn.svm._classes.NuSVC,svm,_classes,NuSVC,,"['break_ties', 'cache_size', 'class_weight', 'coef0', 'decision_function_shape', 'degree', 'gamma', 'kernel', 'max_iter', 'nu', 'probability', 'random_state', 'shrinking', 'tol', 'verbose']"
OneVsOneClassifier,<class 'sklearn.multiclass.OneVsOneClassifier'>,classifier,<class 'sklearn.multiclass.OneVsOneClassifier'>,sklearn.multiclass.OneVsOneClassifier,multiclass,OneVsOneClassifier,,,
OneVsRestClassifier,<class 'sklearn.multiclass.OneVsRestClassifier'>,classifier,<class 'sklearn.multiclass.OneVsRestClassifier'>,sklearn.multiclass.OneVsRestClassifier,multiclass,OneVsRestClassifier,,,
OutputCodeClassifier,<class 'sklearn.multiclass.OutputCodeClassifier'>,classifier,<class 'sklearn.multiclass.OutputCodeClassifier'>,sklearn.multiclass.OutputCodeClassifier,multiclass,OutputCodeClassifier,,,
PassiveAggressiveClassifier,<class 'sklearn.linear_model._passive_aggressive.PassiveAggressiveClassifier'>,classifier,<class 'sklearn.linear_model._passive_aggressive.PassiveAggressiveClassifier'>,sklearn.linear_model._passive_aggressive.PassiveAggressiveClassifier,linear_model,_passive_aggressive,PassiveAggressiveClassifier,,"['C', 'average', 'class_weight', 'early_stopping', 'fit_intercept', 'loss', 'max_iter', 'n_iter_no_change', 'n_jobs', 'random_state', 'shuffle', 'tol', 'validation_fraction', 'verbose', 'warm_start']"
Perceptron,<class 'sklearn.linear_model._perceptron.Perceptron'>,classifier,<class 'sklearn.linear_model._perceptron.Perceptron'>,sklearn.linear_model._perceptron.Perceptron,linear_model,_perceptron,Perceptron,,"['alpha', 'class_weight', 'early_stopping', 'eta0', 'fit_intercept', 'l1_ratio', 'max_iter', 'n_iter_no_change', 'n_jobs', 'penalty', 'random_state', 'shuffle', 'tol', 'validation_fraction', 'verbose', 'warm_start']"
QuadraticDiscriminantAnalysis,<class 'sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis'>,classifier,<class 'sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis'>,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,discriminant_analysis,QuadraticDiscriminantAnalysis,,,"['priors', 'reg_param', 'store_covariance', 'tol']"
RadiusNeighborsClassifier,<class 'sklearn.neighbors._classification.RadiusNeighborsClassifier'>,classifier,<class 'sklearn.neighbors._classification.RadiusNeighborsClassifier'>,sklearn.neighbors._classification.RadiusNeighborsClassifier,neighbors,_classification,RadiusNeighborsClassifier,,"['algorithm', 'leaf_size', 'metric', 'metric_params', 'n_jobs', 'outlier_label', 'p', 'radius', 'weights']"
RandomForestClassifier,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,classifier,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,sklearn.ensemble._forest.RandomForestClassifier,ensemble,_forest,RandomForestClassifier,,"['bootstrap', 'ccp_alpha', 'class_weight', 'criterion', 'max_depth', 'max_features', 'max_leaf_nodes', 'max_samples', 'min_impurity_decrease', 'min_samples_leaf', 'min_samples_split', 'min_weight_fraction_leaf', 'n_estimators', 'n_jobs', 'oob_score', 'random_state', 'verbose', 'warm_start']"
RidgeClassifier,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,classifier,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,sklearn.linear_model._ridge.RidgeClassifier,linear_model,_ridge,RidgeClassifier,,"['alpha', 'class_weight', 'copy_X', 'fit_intercept', 'max_iter', 'normalize', 'positive', 'random_state', 'solver', 'tol']"
RidgeClassifierCV,<class 'sklearn.linear_model._ridge.RidgeClassifierCV'>,classifier,<class 'sklearn.linear_model._ridge.RidgeClassifierCV'>,sklearn.linear_model._ridge.RidgeClassifierCV,linear_model,_ridge,RidgeClassifierCV,,"['alphas', 'class_weight', 'cv', 'fit_intercept', 'normalize', 'scoring', 'store_cv_values']"
SGDClassifier,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,classifier,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,sklearn.linear_model._stochastic_gradient.SGDClassifier,linear_model,_stochastic_gradient,SGDClassifier,,"['alpha', 'average', 'class_weight', 'early_stopping', 'epsilon', 'eta0', 'fit_intercept', 'l1_ratio', 'learning_rate', 'loss', 'max_iter', 'n_iter_no_change', 'n_jobs', 'penalty', 'power_t', 'random_state', 'shuffle', 'tol', 'validation_fraction', 'verbose', 'warm_start']"
SVC,<class 'sklearn.svm._classes.SVC'>,classifier,<class 'sklearn.svm._classes.SVC'>,sklearn.svm._classes.SVC,svm,_classes,SVC,,"['C', 'break_ties', 'cache_size', 'class_weight', 'coef0', 'decision_function_shape', 'degree', 'gamma', 'kernel', 'max_iter', 'probability', 'random_state', 'shrinking', 'tol', 'verbose']"
SelfTrainingClassifier,<class 'sklearn.semi_supervised._self_training.SelfTrainingClassifier'>,classifier,<class 'sklearn.semi_supervised._self_training.SelfTrainingClassifier'>,sklearn.semi_supervised._self_training.SelfTrainingClassifier,semi_supervised,_self_training,SelfTrainingClassifier,,
StackingClassifier,<class 'sklearn.ensemble._stacking.StackingClassifier'>,classifier,<class 'sklearn.ensemble._stacking.StackingClassifier'>,sklearn.ensemble._stacking.StackingClassifier,ensemble,_stacking,StackingClassifier,,
TunedThresholdClassifierCV,<class 'sklearn.model_selection._classification_threshold.TunedThresholdClassifierCV'>,classifier,<class 'sklearn.model_selection._classification_threshold.TunedThresholdClassifierCV'>,sklearn.model_selection._classification_threshold.TunedThresholdClassifierCV,model_selection,_classification_threshold,TunedThresholdClassifierCV,,
VotingClassifier,<class 'sklearn.ensemble._voting.VotingClassifier'>,classifier,<class 'sklearn.ensemble._voting.VotingClassifier'>,sklearn.ensemble._voting.VotingClassifier,ensemble,_voting,VotingClassifier,,
ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>,regressor,<class 'sklearn.linear_model._bayes.ARDRegression'>,sklearn.linear_model._bayes.ARDRegression,linear_model,_bayes,ARDRegression,,"['alpha_1', 'alpha_2', 'compute_score', 'copy_X', 'fit_intercept', 'lambda_1', 'lambda_2', 'n_iter', 'normalize', 'threshold_lambda', 'tol', 'verbose']"
AdaBoostRegressor,<class 'sklearn.ensemble._weight_boosting.AdaBoostRegressor'>,regressor,<class 'sklearn.ensemble._weight_boosting.AdaBoostRegressor'>,sklearn.ensemble._weight_boosting.AdaBoostRegressor,ensemble,_weight_boosting,AdaBoostRegressor,,"['base_estimator', 'learning_rate', 'loss', 'n_estimators', 'random_state']"
BaggingRegressor,<class 'sklearn.ensemble._bagging.BaggingRegressor'>,regressor,<class 'sklearn.ensemble._bagging.BaggingRegressor'>,sklearn.ensemble._bagging.BaggingRegressor,ensemble,_bagging,BaggingRegressor,,"['base_estimator', 'bootstrap', 'bootstrap_features', 'max_features', 'max_samples', 'n_estimators', 'n_jobs', 'oob_score', 'random_state', 'verbose', 'warm_start']"
BayesianRidge,<class 'sklearn.linear_model._bayes.BayesianRidge'>,regressor,<class 'sklearn.linear_model._bayes.BayesianRidge'>,sklearn.linear_model._bayes.BayesianRidge,linear_model,_bayes,BayesianRidge,,"['alpha_1', 'alpha_2', 'alpha_init', 'compute_score', 'copy_X', 'fit_intercept', 'lambda_1', 'lambda_2', 'lambda_init', 'n_iter', 'normalize', 'tol', 'verbose']"
CCA,<class 'sklearn.cross_decomposition._pls.CCA'>,regressor,<class 'sklearn.cross_decomposition._pls.CCA'>,sklearn.cross_decomposition._pls.CCA,cross_decomposition,_pls,CCA,,"['copy', 'max_iter', 'n_components', 'scale', 'tol']"
DecisionTreeRegressor,<class 'sklearn.tree._classes.DecisionTreeRegressor'>,regressor,<class 'sklearn.tree._classes.DecisionTreeRegressor'>,sklearn.tree._classes.DecisionTreeRegressor,tree,_classes,DecisionTreeRegressor,,"['ccp_alpha', 'criterion', 'max_depth', 'max_features', 'max_leaf_nodes', 'min_impurity_decrease', 'min_samples_leaf', 'min_samples_split', 'min_weight_fraction_leaf', 'random_state', 'splitter']"
DummyRegressor,<class 'sklearn.dummy.DummyRegressor'>,regressor,<class 'sklearn.dummy.DummyRegressor'>,sklearn.dummy.DummyRegressor,dummy,DummyRegressor,,,"['constant', 'quantile', 'strategy']"
ElasticNet,<class 'sklearn.linear_model._coordinate_descent.ElasticNet'>,regressor,<class 'sklearn.linear_model._coordinate_descent.ElasticNet'>,sklearn.linear_model._coordinate_descent.ElasticNet,linear_model,_coordinate_descent,ElasticNet,,"['alpha', 'copy_X', 'fit_intercept', 'l1_ratio', 'max_iter', 'normalize', 'positive', 'precompute', 'random_state', 'selection', 'tol', 'warm_start']"
ElasticNetCV,<class 'sklearn.linear_model._coordinate_descent.ElasticNetCV'>,regressor,<class 'sklearn.linear_model._coordinate_descent.ElasticNetCV'>,sklearn.linear_model._coordinate_descent.ElasticNetCV,linear_model,_coordinate_descent,ElasticNetCV,,"['alphas', 'copy_X', 'cv', 'eps', 'fit_intercept', 'l1_ratio', 'max_iter', 'n_alphas', 'n_jobs', 'normalize', 'positive', 'precompute', 'random_state', 'selection', 'tol', 'verbose']"
ExtraTreeRegressor,<class 'sklearn.tree._classes.ExtraTreeRegressor'>,regressor,<class 'sklearn.tree._classes.ExtraTreeRegressor'>,sklearn.tree._classes.ExtraTreeRegressor,tree,_classes,ExtraTreeRegressor,,"['ccp_alpha', 'criterion', 'max_depth', 'max_features', 'max_leaf_nodes', 'min_impurity_decrease', 'min_samples_leaf', 'min_samples_split', 'min_weight_fraction_leaf', 'random_state', 'splitter']"
ExtraTreesRegressor,<class 'sklearn.ensemble._forest.ExtraTreesRegressor'>,regressor,<class 'sklearn.ensemble._forest.ExtraTreesRegressor'>,sklearn.ensemble._forest.ExtraTreesRegressor,ensemble,_forest,ExtraTreesRegressor,,"['bootstrap', 'ccp_alpha', 'criterion', 'max_depth', 'max_features', 'max_leaf_nodes', 'max_samples', 'min_impurity_decrease', 'min_samples_leaf', 'min_samples_split', 'min_weight_fraction_leaf', 'n_estimators', 'n_jobs', 'oob_score', 'random_state', 'verbose', 'warm_start']"
GammaRegressor,<class 'sklearn.linear_model._glm.glm.GammaRegressor'>,regressor,<class 'sklearn.linear_model._glm.glm.GammaRegressor'>,sklearn.linear_model._glm.glm.GammaRegressor,linear_model,_glm,glm,GammaRegressor,"['alpha', 'fit_intercept', 'max_iter', 'tol', 'verbose', 'warm_start']"
GaussianProcessRegressor,<class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>,regressor,<class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>,sklearn.gaussian_process._gpr.GaussianProcessRegressor,gaussian_process,_gpr,GaussianProcessRegressor,,"['alpha', 'copy_X_train', 'kernel', 'n_restarts_optimizer', 'normalize_y', 'optimizer', 'random_state']"
GradientBoostingRegressor,<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,regressor,<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,sklearn.ensemble._gb.GradientBoostingRegressor,ensemble,_gb,GradientBoostingRegressor,,"['alpha', 'ccp_alpha', 'criterion', 'init', 'learning_rate', 'loss', 'max_depth', 'max_features', 'max_leaf_nodes', 'min_impurity_decrease', 'min_samples_leaf', 'min_samples_split', 'min_weight_fraction_leaf', 'n_estimators', 'n_iter_no_change', 'random_state', 'subsample', 'tol', 'validation_fraction', 'verbose', 'warm_start']"
HistGradientBoostingRegressor,<class 'sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingRegressor'>,regressor,<class 'sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingRegressor'>,sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingRegressor,ensemble,_hist_gradient_boosting,gradient_boosting,HistGradientBoostingRegressor,"['categorical_features', 'early_stopping', 'l2_regularization', 'learning_rate', 'loss', 'max_bins', 'max_depth', 'max_iter', 'max_leaf_nodes', 'min_samples_leaf', 'monotonic_cst', 'n_iter_no_change', 'quantile', 'random_state', 'scoring', 'tol', 'validation_fraction', 'verbose', 'warm_start']"
HuberRegressor,<class 'sklearn.linear_model._huber.HuberRegressor'>,regressor,<class 'sklearn.linear_model._huber.HuberRegressor'>,sklearn.linear_model._huber.HuberRegressor,linear_model,_huber,HuberRegressor,,"['alpha', 'epsilon', 'fit_intercept', 'max_iter', 'tol', 'warm_start']"
IsotonicRegression,<class 'sklearn.isotonic.IsotonicRegression'>,regressor,<class 'sklearn.isotonic.IsotonicRegression'>,sklearn.isotonic.IsotonicRegression,isotonic,IsotonicRegression,,,"['increasing', 'out_of_bounds', 'y_max', 'y_min']"
KNeighborsRegressor,<class 'sklearn.neighbors._regression.KNeighborsRegressor'>,regressor,<class 'sklearn.neighbors._regression.KNeighborsRegressor'>,sklearn.neighbors._regression.KNeighborsRegressor,neighbors,_regression,KNeighborsRegressor,,"['algorithm', 'leaf_size', 'metric', 'metric_params', 'n_jobs', 'n_neighbors', 'p', 'weights']"
KernelRidge,<class 'sklearn.kernel_ridge.KernelRidge'>,regressor,<class 'sklearn.kernel_ridge.KernelRidge'>,sklearn.kernel_ridge.KernelRidge,kernel_ridge,KernelRidge,,,"['alpha', 'coef0', 'degree', 'gamma', 'kernel', 'kernel_params']"
Lars,<class 'sklearn.linear_model._least_angle.Lars'>,regressor,<class 'sklearn.linear_model._least_angle.Lars'>,sklearn.linear_model._least_angle.Lars,linear_model,_least_angle,Lars,,"['copy_X', 'eps', 'fit_intercept', 'fit_path', 'jitter', 'n_nonzero_coefs', 'normalize', 'precompute', 'random_state', 'verbose']"
LarsCV,<class 'sklearn.linear_model._least_angle.LarsCV'>,regressor,<class 'sklearn.linear_model._least_angle.LarsCV'>,sklearn.linear_model._least_angle.LarsCV,linear_model,_least_angle,LarsCV,,"['copy_X', 'cv', 'eps', 'fit_intercept', 'max_iter', 'max_n_alphas', 'n_jobs', 'normalize', 'precompute', 'verbose']"
Lasso,<class 'sklearn.linear_model._coordinate_descent.Lasso'>,regressor,<class 'sklearn.linear_model._coordinate_descent.Lasso'>,sklearn.linear_model._coordinate_descent.Lasso,linear_model,_coordinate_descent,Lasso,,"['alpha', 'copy_X', 'fit_intercept', 'max_iter', 'normalize', 'positive', 'precompute', 'random_state', 'selection', 'tol', 'warm_start']"
LassoCV,<class 'sklearn.linear_model._coordinate_descent.LassoCV'>,regressor,<class 'sklearn.linear_model._coordinate_descent.LassoCV'>,sklearn.linear_model._coordinate_descent.LassoCV,linear_model,_coordinate_descent,LassoCV,,"['alphas', 'copy_X', 'cv', 'eps', 'fit_intercept', 'max_iter', 'n_alphas', 'n_jobs', 'normalize', 'positive', 'precompute', 'random_state', 'selection', 'tol', 'verbose']"
LassoLars,<class 'sklearn.linear_model._least_angle.LassoLars'>,regressor,<class 'sklearn.linear_model._least_angle.LassoLars'>,sklearn.linear_model._least_angle.LassoLars,linear_model,_least_angle,LassoLars,,"['alpha', 'copy_X', 'eps', 'fit_intercept', 'fit_path', 'jitter', 'max_iter', 'normalize', 'positive', 'precompute', 'random_state', 'verbose']"
LassoLarsCV,<class 'sklearn.linear_model._least_angle.LassoLarsCV'>,regressor,<class 'sklearn.linear_model._least_angle.LassoLarsCV'>,sklearn.linear_model._least_angle.LassoLarsCV,linear_model,_least_angle,LassoLarsCV,,"['copy_X', 'cv', 'eps', 'fit_intercept', 'max_iter', 'max_n_alphas', 'n_jobs', 'normalize', 'positive', 'precompute', 'verbose']"
LassoLarsIC,<class 'sklearn.linear_model._least_angle.LassoLarsIC'>,regressor,<class 'sklearn.linear_model._least_angle.LassoLarsIC'>,sklearn.linear_model._least_angle.LassoLarsIC,linear_model,_least_angle,LassoLarsIC,,"['copy_X', 'criterion', 'eps', 'fit_intercept', 'max_iter', 'noise_variance', 'normalize', 'positive', 'precompute', 'verbose']"
LinearRegression,<class 'sklearn.linear_model._base.LinearRegression'>,regressor,<class 'sklearn.linear_model._base.LinearRegression'>,sklearn.linear_model._base.LinearRegression,linear_model,_base,LinearRegression,,"['copy_X', 'fit_intercept', 'n_jobs', 'normalize', 'positive']"
LinearSVR,<class 'sklearn.svm._classes.LinearSVR'>,regressor,<class 'sklearn.svm._classes.LinearSVR'>,sklearn.svm._classes.LinearSVR,svm,_classes,LinearSVR,,"['C', 'dual', 'epsilon', 'fit_intercept', 'intercept_scaling', 'loss', 'max_iter', 'random_state', 'tol', 'verbose']"
MLPRegressor,<class 'sklearn.neural_network._multilayer_perceptron.MLPRegressor'>,regressor,<class 'sklearn.neural_network._multilayer_perceptron.MLPRegressor'>,sklearn.neural_network._multilayer_perceptron.MLPRegressor,neural_network,_multilayer_perceptron,MLPRegressor,,"['activation', 'alpha', 'batch_size', 'beta_1', 'beta_2', 'early_stopping', 'epsilon', 'hidden_layer_sizes', 'learning_rate', 'learning_rate_init', 'max_fun', 'max_iter', 'momentum', 'n_iter_no_change', 'nesterovs_momentum', 'power_t', 'random_state', 'shuffle', 'solver', 'tol', 'validation_fraction', 'verbose', 'warm_start']"
MultiOutputRegressor,<class 'sklearn.multioutput.MultiOutputRegressor'>,regressor,<class 'sklearn.multioutput.MultiOutputRegressor'>,sklearn.multioutput.MultiOutputRegressor,multioutput,MultiOutputRegressor,,,
MultiTaskElasticNet,<class 'sklearn.linear_model._coordinate_descent.MultiTaskElasticNet'>,regressor,<class 'sklearn.linear_model._coordinate_descent.MultiTaskElasticNet'>,sklearn.linear_model._coordinate_descent.MultiTaskElasticNet,linear_model,_coordinate_descent,MultiTaskElasticNet,,"['alpha', 'copy_X', 'fit_intercept', 'l1_ratio', 'max_iter', 'normalize', 'random_state', 'selection', 'tol', 'warm_start']"
