Word,Category,Sub Categorization,Definition,Notes,Link,Image,Markdown Equation,Is Model,Learning Type,Algorithm Class
Anchoring Effect,Behavioural Economics,,"A cognitive bias where people rely too heavily on the first piece of information (the “anchor”) when making decisions. Once an anchor is set, it influences subsequent judgments, even if it’s arbitrary or unrelated. For example, when asked whether the Eiffel Tower is taller or shorter than 500 feet, people’s estimates will cluster around that number. This bias can affect pricing, negotiations, and even forecasting.",,,,,,,
Anomaly Detection,,,,,,,,,,
Anscombe Quartet,,,,,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/Anscombe_Quartet.png,,,,
Area Under the Curve,,,,,,,,,,
Armature,Story Telling,,"""The armature is the core message, moral, or truth your story is built to prove.. It’s the invisible backbone of your narrative — the reason you’re telling the story in the first place. Think of it like the wire frame inside a sculpture: you don’t see it, but without it, the whole structure collapses.""",,,,"## 🎬 Story Structure

### 🎭 Act 1
- **Once upon a time...**  
- **And every day...**  
- **Until one day...**

### 🔥 Act 2
- **And because of this...**  
- **And because of this...**

### 🎉 Act 3
- **Until finally...**  
- **And ever since that day...**",,,
Artificial Intelligence,,,,,,,,,,
ASGI,,,,,,,,,,
Association Rule Learning,,,,,,,,,,
Autocorrelation,,,"Autocorrelation, also known as serial correlation, measures the correlation of a time series with a lagged version of itself. In other words, it assesses how a variable's current values relate to its past values over different time intervals. Autocorrelation can provide insights into the patterns and structures within the data, helping to identify cycles, trends, and other temporal dependencies.",,,,,,,
AutoRegressive Integrated Moving Average,Machine Learning,,"Popular statistical method used for time series analysis and forecasting. It combines three components—autoregression (AR), differencing (I), and moving average (MA)—to model and predict future points in a time series. Here's a breakdown of each component.",,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/scikit_learn_models.png,,,,
Await,,,"Used with coroutines (functions defined using the async def syntax) to pause execution of the current coroutine until the awaited coroutine is completed. When you await a coroutine, it allows other code to run concurrently while waiting for the awaited coroutine to finish its execution. This is particularly useful for I/O-bound operations like network requests, file operations, or database queries, where you want to avoid blocking the event loop.",,,,,,,
Azure Data Factory,,,,,,,,,,
Azure Synapse Analytics,Technology,,"Azure Synapse Analytics provides a single, cloud-scale platform that supports multiple analytical technologies; enabling a consolidated and integrated experience for data engineers, data analysts, data scientists, and other professionals who need to work with data.",,,,,,,
Backpropagation,Machine Learning,,,,,,,,,
BAFU,,,Billions and Fudged Up.,,,,,,,
Bag of Words,Machine Learning,,"Can count the number of times a word appears, don’t have to, whether a word is included is usually most important. Multihot encoding, order does not matter, collapse to ta single vector. Word n grams, byte n-grams. Reduce difference for amazing and amaze. Split contraction, replace numbers with NUM, separate punctuation, lowercasing. You shall know a word by the company that it keeps. John Firth. Contectual embedding. Words that appear in similar sentences or appear together with other words.",,,,,,,
Bagging,Machine Learning,,"Bagging is an ensemble technique that trains multiple models (usually of the same type) on different random subsets of the training data (with replacement), and then aggregates their predictions (e.g., by majority vote for classification or averaging for regression). Reduce variance and help prevent overfitting.",,,,,,,
Base Rate Fallacy,Behavioural Economics,,"People ignore or undervalue general statistical information (the base rate) and focus instead on specific information, often leading to incorrect conclusions. In decision-making, individuals may give more weight to anecdotal or vivid information, despite the broader statistical reality that should influence their judgment. Imagine a test for a rare disease that is 95% accurate. The disease affects 1 in 10,000 people. If a person tests positive, many might assume the likelihood of them having the disease is high. However, considering the base rate (the rarity of the disease), the probability of actually having the disease is still very low. In this scenario, the base rate fallacy would be ignoring the low prevalence of the disease (the base rate) and overestimating the accuracy of the test result, leading to an exaggerated belief in the likelihood of the person having the disease. The fallacy demonstrates how people's intuitive reasoning often neglects the significance of background statistical data in favor of more attention-grabbing or salient information.",,,,,,,
Basis Vocabulary,,,,,,,,,,
Batch and API Processing,Technology,,"Batch processing is simplier, and more heavily reliant on transformations conducted with a Data Warehouse, API, great for smaller, incremental review or transaction level processes.",,,,,,,
Batch Learning,,,,,,,,,,
Bayes Theorem,Statistics,Definition,Bayes' theorem describes how to update probabilities based on new evidence. ,,,,"$$
P(A | B) = \frac{P(B | A) P(A)}{P(B)}
$$

where:
- \( P(A | B) \) is the **posterior probability** (probability of \( A \) given \( B \)).
- \( P(B | A) \) is the **likelihood** (probability of \( B \) given \( A \)).
- \( P(A) \) is the **prior probability** (initial probability of \( A \)).
- \( P(B) \) is the **marginal probability** (total probability of \( B \)).

### **Example:**
Suppose a medical test for a disease has:
- **Sensitivity**: $( P(\text{Positive} | \text{Disease}) = 0.99 )$
- **False positive rate**: $( P(\text{Positive} | \neg \text{Disease}) = 0.05 )$
- **Prevalence**: $( P(\text{Disease}) = 0.01 )$

Using Bayes' theorem, the probability that a person actually has the disease given a positive test result is:

$$
P(\text{Disease} | \text{Positive}) = \frac{0.99 \times 0.01}{(0.99 \times 0.01) + (0.05 \times 0.99)}
$$",,,
BayesianRidge,Machine Learning,Model,,,,,,1.0,,
Be Mindful of what is presented.Think about Meaning,Behavioural Economics,Books Read,"In February 2018, there were fourteen murders in New York City, but fifteen in London.[1] But what should we conclude? Nothing. We should conclude nothing because that pair of numbers alone tells us very little. If we want to understand what’s happening, we need to step back and take in a broader perspective. Here are a few facts worth knowing about murders in London and New York. London had 184 murders in 1990, while New York suffered 2,262—more than ten times as many. It’s with that image in mind of New York as a murderous place that Londoners are alarmed at the idea that they might have become as rotten as the Big Apple. But London’s murder rate has fallen, not risen, since 1990. In 2017, there were 130 murders in London, including ten people killed in terrorist attacks. London was safe in 1990 and it’s a little bit safer today. As for New York, murders fell to 292 in 2017. That means New York is still more dangerous than London, but much, much safer than in 1990.",,,,,,,
Beaucratic Politics,,,That people only do what is best for them and the decision is made based solely on who is making the decision. They are operating solely on their own best interests.,,,,,,,
BERT,,,,,,,,,,
Bias,,,"Bias refers to the systematic error in a model that causes it to consistently deviate from the true value or correct predictions. It occurs when an algorithm makes incorrect assumptions about the data, leading to errors. High Bias (Underfitting): The model is too simple and cannot capture patterns. Low Bias, High Variance (Overfitting). The model memorizes the data but does not generalize.",,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/bias.png,"### **Unbiased Estimator Equation**
A parameter estimate \( \hat{\theta} \) is **unbiased** if its expected value equals the true parameter \( \theta \):

$$
\mathbb{E}[\hat{\theta}] = \theta
$$

where:
- $ \mathbb{E}[\hat{\theta}] $ is the expected value of the estimator.
- $ \theta $ is the true parameter.

### **Example: Sample Mean as an Unbiased Estimator**
The **sample mean** $ \bar{X} $ is an **unbiased estimator** of the population mean $ \mu $:

$$
\mathbb{E}[\bar{X}] = \mu
$$

where:
- $ \bar{X} = \frac{1}{n} \sum_{i=1}^{n} X_i $ is the sample mean.
- $ X_i $ are independent and identically distributed (i.i.d.) random variables.
- $ \mu $ is the true mean of the population.",,,
Bias Variance Trade Off,,,"The bias-variance trade-off is a key concept in machine learning that highlights the balance between two sources of error: bias and variance. The challenge is to find a model that strikes the right balance between bias and variance, as reducing one typically increases the other. The ultimate goal is to minimize the total error, which is the sum of bias error, variance error, and irreducible noise inherent in the data. Achieving this balance ensures the model generalizes well to new, unseen data, avoiding both underfitting and overfitting. More Data vs More Data Science - Bias vs Variance Trade-Off (Bias - Data Scientist, Variance - Data)
Reducible Error, irreducible error. In statistics and machine learning, the bias–variance tradeoff describes the relationship between a model's complexity, the accuracy of its predictions, and how well it can make predictions on previously unseen data that were not used to train the model. In general, as we increase the number of tunable parameters in a model, it becomes more flexible, and can better fit a training data set. It is said to have lower error, or bias. However, for more flexible models, there will tend to be greater variance to the model fit each time we take a set of samples to create a new training data set. It is said that there is greater variance in the model's estimated parameters.
 High-variance learning methods may be able to represent their training set well but are at risk of overfitting to noisy or unrepresentative training data. In contrast, algorithms with high bias typically produce simpler models that may fail to capture important regularities (i.e. underfit) in the data.
Only load the model once",,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/bias.png,,,,
Biased Assimilation,Behavioural Economics,Books Read,Tendency to interpret information in a way that supports a desired conclusion. ,,,,,,,
Big O,Statistics,Definition,Big O notation is a mathematical way to describe the efficiency of an algorithm in terms of time complexity (speed) and space complexity (memory usage). It tells us how the algorithm scales as the input size (n) grows.,,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/BigO.png,"| **Big O Notation** | **Name**            | **Example Algorithm**        | **Growth Rate** |
|-------------------|------------------|----------------------|----------------|
| $( O(1) $)        | Constant Time     | Accessing an array element $( arr[i] $) | Stays the same |
| $( O(\log n) $)    | Logarithmic Time  | Binary search        | Grows very slowly |
| $( O(n) $)        | Linear Time       | Looping through an array | Grows proportionally |
| $( O(n \log n) $)  | Quasilinear Time  | Merge Sort, Quick Sort (best/avg) | Slightly worse than linear |
| $( O(n^2) $)       | Quadratic Time    | Nested loops (e.g., Bubble Sort) | Grows fast |
| $( O(2^n) $)       | Exponential Time  | Recursive Fibonacci  | Grows extremely fast |
| $( O(n!) $)       | Factorial Time    | Traveling Salesman Problem | Grows impossibly fast |
",,,
Binary Classification,Machine Learning,,"Multiclass, multinomial",,,,,,,
Blind spot bias,Behavioural Economics,,"Cognitive bias where people are unaware of their own biases, while easily recognizing the biases in others.  People tend to believe they are more objective, rational, and less susceptible to biases than others, even though they may exhibit the same biases in their own thinking. Self-awareness gap: People can easily identify cognitive biases (like confirmation bias, motivated reasoning, or stereotyping) in others, but fail to recognize these biases in themselves. Overconfidence in objectivity: Individuals often overestimate their own ability to reason without bias, which can lead to an inflated sense of confidence in their decisions and beliefs. Resistance to feedback: Blind spot bias can make people resistant to feedback, because they believe that they’re viewing situations or information more objectively than they actually are.",,,,,,,
BLUF,,,Bottom Line Up Front,,,,,,,
Boolean,,,True or False,,,,,,,
booster,Machine Learning,Hyperparameter,Type of boosting algorithm used in XGBoost.,"['gbtree', 'gblinear', 'dart']",,,,,,
Boosting,Machine Learning,,"Boosting is an ensemble technique that trains models sequentially, where each new model tries to correct the errors of the previous ones. The final prediction is a weighted combination of all models. Reduce bias and build a strong learner from weak learners.",,,,,,,
BOW,,,,,,,,,,
Broadcasting,Spark,,"The mechanism of efficiently sharing a read-only variable (such as a dataset, configuration, or lookup table) across all nodes in a Spark cluster without sending it multiple times. Normally, when Spark performs operations on distributed data, each worker node gets its own copy of any common variables, which can be inefficient for large datasets. By using broadcast variables, Spark sends the data to all nodes only once, storing it in a serialized and cached form on each worker. This minimizes communication costs and memory usage, significantly speeding up tasks like joins or lookups, where the same data needs to be accessed by multiple nodes repeatedly. Broadcasting is crucial for performance optimization in large-scale data processing.",,,,,,,
C,Machine Learning,Hyperparameter,"Inverse of regularization strength in Logistic Regression and SVM. Lower values increase regularization, reducing model complexity.","[0.001, 0.01, 0.1, 1, 10]",,,,,,
Cache,Data Engineering,,"Cache takes load away from critical systems. Databases. Things that are looked up every second, minute. Can Cache at every layer.  Memory Buffers exist everywhere. Authentication is terrible caching. Don't Cache purchases and refunds. Search Queries, too broad. Can't cache transaction.",,,,,,,
Capital Pi Notation (Product),Statistics,Definition,"Mathematical symbol used to represent the product of a sequence of terms, similar to how Sigma notation represents summation.",,,,"#### Product Notation (Capital Pi) (Π)

The product of a sequence is defined as:

$$
P = \prod_{i=1}^{n} a_i = a_1 \cdot a_2 \cdot \dots \cdot a_n
$$

##### Example Calculation:
$
$
\prod_{i=1}^{4} i = 1 \times 2 \times 3 \times 4 = 24
$$",,,
Cassandra,,,,,,,,,,
"Centroid, distance average, centroid repeat",,,,,,,,,,
Chain of Thought Prompting,Machine Learning,Natural Language Processing,"hain-of-thought (CoT) prompting is a technique in natural language processing (NLP) where a model is encouraged to provide intermediate reasoning steps when solving complex tasks or answering questions. Instead of directly generating an answer, the model walks through the reasoning process step by step, mimicking how humans think through problems. This approach helps improve the accuracy and interpretability of the model’s output, especially for tasks that involve logical reasoning, arithmetic, decision-making, or multi-step instructions.",,,,,,,
Chain Rule,,,,,,,"$h(x) = f(g(x))$
$h'(x) = f'(g(x)) \cdot g'(x)$",,,
CI/CD,,,"CI/CD is a software development practice that automates the process of integrating, testing, and deploying code changes. It helps teams deliver software faster, with fewer bugs, and in a more reliable manner.",,,,,,,
Classification,,,,,,,,,,
CLT,,,,,,,,,,
Clustering,,,,,,,,,,
Co-Occurance Matrix,,,,,,,,,,
colsample_bytree,Machine Learning,Hyperparameter,Fraction of features used per tree in boosting algorithms. Lower values reduce overfitting.,"[0.5, 0.7, 1.0]",,,,,,
Command line Shells,,,"Zsh and Bash are both command-line shells, with Bash being the default on most Linux systems and Zsh becoming the default on macOS since Catalina. Zsh offers more advanced features like better auto-completion, global aliases, and plugin support (e.g., Oh My Zsh), while Bash is more universally compatible, especially for scripting and Linux servers. If you're on macOS or prefer customization, Zsh is a great choice, but if you need maximum compatibility with Linux systems and scripts, Bash remains a solid option.",,,,,,,
Compiled,,,"Source Code - Compiler - Object/ Machine Code - Machine/ VM - Output.
Compiler turns it into different code, could be machine code such as C, or could be into object. Compiled code can run more quicly.",,,,,,,
Concatenate String,,,Feature of Dynamically Typed Language. Not Always available in languages,,,,,,,
Confirmation Bias,Behavioural Economics,,"Also known as Selective Perception. What people see can be strongly shaped by what they believe, using the example of a study which occurred during a especially dirty Princeton Dartmouth Football game. After the game people were asked to comment which team was ""Dirtier"" and results were based on which team individuals had allegiance with.",,,,,,,
Confirmation bias ,Behavioural Economics,,"Tendency to search for, interpret, and remember information in a way that confirms one’s preexisting beliefs or hypotheses. People often ignore or downplay evidence that contradicts their views. This bias can reinforce stereotypes, polarize opinions, and skew data interpretation. It’s especially important to watch for in research, media consumption, and decision-making.",,,,,,,
Confusion Matrix,Statistics,,,,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/confusion_matrix.png,,,,
Continuous,Statistics,Definition,Random variable that can take on infinitely many values within a given range. It is described by a probability density function (PDF) instead of a PMF.,,,,"A continuous random variable \( X \) has a probability density function (PDF) \( f(x) \), where:

$$
P(a \leq X \leq b) = \int_{a}^{b} f(x) dx
$$

and the total probability satisfies:

$$
\int_{-\infty}^{\infty} f(x) dx = 1
$$

### **Example:**
Consider a standard normal distribution \( X \sim N(0,1) \), which has the probability density function:

$$
f(x) = \frac{1}{\sqrt{2\pi}} e^{-\frac{x^2}{2}}
$$

The probability that \( X \) lies between -1 and 1 is:

$$
P(-1 \leq X \leq 1) = \int_{-1}^{1} \frac{1}{\sqrt{2\pi}} e^{-\frac{x^2}{2}} dx
$$
",,,
Control,Experiement Design,,"The ability to influence or manipulate a system's behavior or outcomes through deliberate intervention. Focuses on cause-effect relationships that can be reliably acted upon. Doesn't necessarily require full understanding — only that the action works. Example: A thermostat controls room temperature by adjusting heating/cooling based on feedback.

We control things without understanding - A Pilot.",,,,,,,
Convex,Statistics,,"Non Convex - Don’t know you’re getting optimal. Depends on where you start, can get different results.",,,,,,,
Cosine Similarity,,,"Cosine similarity is a measure of similarity between two sequences of numbers. For defining it, the sequences are viewed as vectors in an inner product space, and the cosine similarity is defined as the cosine of the angle between them, that is, the dot product of the vectors divided by the product of their lengths. More formally, cosine similarity between two non-zero vectors A and B builds on the Euclidean dot product formula. It follows that the cosine similarity does not depend on the magnitudes of the vectors, but only on their angle. The cosine similarity always belongs to the interval [-1,1]. For example, two proportional vectors have a cosine similarity of 1, two orthogonal vectors have a similarity of 0, and two opposite vectors have a similarity of -1. The cosine similarity is particularly used in positive space, where the outcome is neatly bounded in [0,1].",,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/cosine_similiarity.png,,,,
Cost Function,,,,,,,,,,
Cross Encoding,,,"Binary, Categorical, Sparese",,,,"$$
H(P, Q) = -\frac{1}{N} \sum_{i=1}^{N} \sum_{c=1}^{C} Y_{i,c} \log(\hat{Y}_{i,c})
$$",,,
Cross Validation,,,,,,,,,,
Curse of Dimensionality,,,,,,,,,,
Daemonize,,,"Refers to the process of detaching a program or service from the controlling terminal and running it in the background as a daemon. Detaching from Terminal: The program or service is detached from the terminal or shell session that started it. This means that the program no longer depends on the terminal window for input or output, and it continues running even if the terminal session is closed. Background Execution: The program or service continues running in the background, often as a background process or daemon. It may continue to perform its intended tasks without requiring interaction from the user. Independence from User Sessions: Daemonized programs or services are typically independent of any user login sessions. They may run continuously, responding to events or requests, until explicitly stopped or terminated.",,,,,,,
Dangling Node,,,,,,,,,,
Dark Data,,,"There are people, opinions, and information which is underrepresented and not known, how can you identify it, or at a minimum acknowledge that it exists and you dont know it.",,,,,,,
Data Consolidation,,,"Data consolidation is the process of combining data that has been extracted from multiple data sources into a consistent structure - usually to support analytics and reporting. Commonly, data from operational systems is extracted, transformed, and loaded into analytical stores such as a data lake or data warehouse.",,,,,,,
Data Integration,,,"Data Integration involves establishing links between operational and analytical services and data sources to enable secure, reliable access to data across multiple systems. For example, a business process might rely on data that is spread across multiple systems, and a data engineer is required to establish links so that the required data can be extracted from all of these systems.",,,,,,,
Data Leakage,,,"Data Leakage is the inadvertent use of information in the model training process that would not be available at prediction time, often resulting from the inclusion of future data, target labels, or improperly pre-processed features during training. It causes problems because it artificially inflates model performance metrics, leading to overfitting and poor generalization to unseen data",,,,,,,
Data Transformation,,,"Operational data usually needs to be transformed into suitable structure and format for analysis, often as part of an extract, transform, and load (ETL) process; though increasingly a variation in which you extract, load, and transform (ELT) the data is used to quickly ingest the data into a data lake and then apply ""big data"" processing techniques to transform it. Regardless of the approach used, the data is prepared to support downstream analytical needs.",,,,,,,
Data Visualization,,,"Interact with data without the need to understand how the data is formatted, structured, or what is its data type.",,,,,,,
Decision Trees,Machine Learning,Model,"Algorithm which splits data into branches based on feature values to make decisions or predicitions. Each internal node represents a feature, each branch represens a a decision rule and each leaf node represents an outcome. Decision Trees are popular because they are simple to interpret, require litte data preprocessing and can handle both classificaiton and regression. Their strengths include handling both numerical and catoegorical data, providiing clear visual representations of decisions. They are prone to overfitting and sensitive to noisy data. They work well in scenarios where interpretabiltiy is important, but struggle with high dimensional data when complex relationships exist. ",,,,,1.0,Supervised,Regression/ Classification
Decison Making,Experiement Design,,"The process of selecting a course of action from a set of alternatives, often under conditions of uncertainty. Involves choosing, not necessarily knowing or controlling. Can be based on intuition, heuristics, data, or optimization. Example: Choosing to launch a product based on positive A/B test results, even if the underlying behavior change isn't fully understood.

Good Decision Process and Good Decision don’t always result in a good outcome. 
Decision review process, comes in at the wrong time, only when the outcome wasn't consistent with what was desired.
The Elevator is slow. Solution: Fix Elevator …or install mirror.
Dog adoption: Find people willing to adopt a dog. Alternative: Determine if the people giving the dog away don’t want to.",,,,,,,
Deep Belief Networks,,,,,,,,,,
Dendogram,,,,,,,,,,
Derivative,Statistics,Definition,A function which measures the rate at which the function value changes as its input changes. The process of finding a derivative is reffered to as differentiation.,,,,"$$
f'(x) = \lim_{{h \to 0}} \frac{f(x + h) - f(x)}{h}
$$

### Example Calculation:
For the function \( f(x) = x^2 \), the derivative is calculated as:

$$
\frac{d}{dx} x^2 = 2x
$$

Thus, at \( x = 3 \):

$$
f'(3) = 2(3) = 6
$$",,,
Descriptive analytics,,,Answers the question “What is happening in my business?”. The data to answer this question is typically answered through the creation of a data warehouse in which historical data is persisted in relational tables for multidimensional modeling and reporting.,,,,,,,
Determinism,,,"Given an initial state, the future state is completely predictable.",,,,,,,
Diagnostic analytics,,,"Deals with answering the question “Why is it happening?”. This may involve exploring information that already exists in a data warehouse, but typically involves a wider search of your data estate to find more data to support this type of analysis.",,,,,,,
Dice Similarity,,,"Dice similarity is another measure of similarity between two sequences of numbers. The metric equals twice the number of elements common to both sets divided by the sum of the number of elements in each set. Between two non-zero sets. In comparing two documents, dice coefficient represents the shared word rate across both documents.",,,,,,,
Differentiability,,,,,,,,,,
Dimensionality Reduction,,,,,,,,,,
Discrete,Statistics,Definition,Random variable that takes on a countable number of distinct values. These values are typically integers or countable values,,,,"A discrete random variable \( X \) has a probability mass function (PMF) given by:

$$
P(X = x) = p(x), \quad \sum_{x} p(x) = 1
$$

where \( p(x) \) is the probability of \( X \) taking a specific value \( x \).

### **Example:**
Consider rolling a six-sided die. The possible outcomes are:

$$
X = \{1, 2, 3, 4, 5, 6\}
$$

Each outcome has an equal probability:

$$
P(X = x) = \frac{1}{6}, \quad x \in \{1,2,3,4,5,6\}
$$",,,
Distributed Computing,Data Engineering,Spark,"A simple way to think about distributed systems is that they are a group of independent computers that appear to the end user as a single computer. They allow for horizontal scaling. That means adding more computers rather than upgrading a single system (vertical scaling). The latter is relatively expensive and often insufficient for large workloads. Distributed systems are great for scaling and reliability but also introduce complexity when it comes to design, construction, and debugging. One should understand this trade-off before opting for such a tool. A great tool when: Data does not fit into RAM, must be partitioned, Increases Cost of Moving Data, Memory Faster than Harddrive, Increased cost and risk of failure.",,,,,,,
Docker,,,,,,,,,,
Dot Product,Statistics,Definition,Operation between two vectors (not full matrices). It results in a single scalar value. Is the same as matrix multiplcation when the Matrix are Vectors.,,,,"$$
\begin{bmatrix} 1 & 2 & 3 \\ 4 & 5 & 6 \end{bmatrix} \times
\begin{bmatrix} 7 & 8 \\ 9 & 10 \\ 11 & 12 \end{bmatrix}
$$

<br>
$$
\begin{bmatrix} (1\cdot7 + 2\cdot9 + 3\cdot11) & (1\cdot8 + 2\cdot10 + 3\cdot12) \\ (4\cdot7 + 5\cdot9 + 6\cdot11) & (4\cdot8 + 5\cdot10 + 6\cdot12) \end{bmatrix}$$<br>
$$
\begin{bmatrix} 58 & 64 \\ 139 & 154 \end{bmatrix} $$ ",,,
Driver Functionality,Spark,,"
In Apache Spark, the driver communicates with the worker nodes (also called executors) through a component called the cluster manager (e.g., YARN, Mesos, or Spark’s built-in standalone cluster manager). Here's how the communication happens in a typical Spark application: Driver Program: The driver is the central coordinator of a Spark job. It runs the main application and is responsible for creating the SparkContext, defining the Directed Acyclic Graph (DAG) of operations, and dividing this into tasks. Task Scheduling: The driver communicates with the cluster manager to allocate resources (executors) on worker nodes. Once the cluster manager allocates the resources, the driver program divides the job into tasks and assigns them to these executors on the worker nodes. Sending Tasks: The driver sends tasks to the worker nodes (executors) via TCP/IP communication. Each worker node runs the tasks on its data partitions, performing the required transformations or actions. The tasks can include operations like map, filter, reduce, etc. Collecting Results: As the executors process the tasks, they send the results back to the driver. For narrow transformations, the results might be processed locally without much communication, while for wide transformations (which involve shuffling), workers may need to exchange data among themselves before sending results to the driver. Heartbeat Mechanism: Executors periodically send a heartbeat signal back to the driver to confirm they are alive and processing tasks. If the driver detects a failure (e.g., missed heartbeats), it can reschedule tasks on other worker nodes. The driver coordinates the entire job, and executors perform the actual computation, reporting back results, task statuses, and progress to the driver. This distributed system architecture enables Spark to efficiently handle large-scale data processing.",,,,,,,
Dynamically Typed,,,,,,,,,,
Echo,,,"The echo command prints text or variable values in the terminal, often used to check environment variables like echo $SHELL or echo $PATH. ",,,,,,,
Edges and Nodes,,,,,,,,,,
Elastic Search,,,,,,,,,,
ElasticNet Regularization,Machine Learning,Regularization,Approach which combines L1 and L2 Regularization.,,,,,1.0,,
Embarrassingly Parallel,,,,,,,,,,
Embedding,,,,,,,,,,
Encoder,,,"Different Type of Options, including One-Hot, Ordinal. Ordinal convert text to labels, need to be concerned as it gives relative similarity and vale as models interpret not as unique, rather as which is included in computation.",,,,,,,
ENN,,,"Edited Nearest Neighbors: This is an undersampling technique. After SMOTE generates synthetic samples, ENN removes samples from both the majority and minority classes that are misclassified by their nearest neighbors. This step helps to clean the dataset by removing noise and samples near the class boundaries, making the dataset more balanced and reducing the risk of overfitting",,,,,,,
Ensemble Learning,,,"Aggregate the prediction of a group of predictions. Often used at the end of project after you've put together a series of high quality models. Take a Logistic Classifier, Random Forest, SVM and several other models, average them out and take the most frequent entry. Ensembles work best when the error is independently distributed, if trained on the same data set it is highly likely they will contain the same error.",,,,,,,
Entropy,,,"A measure of uncertainty or impurity in a dataset. In decision trees, it helps to determine the best split at each node by evaluating how pure the resulting subsets are",,,,"
$$
H(S) = - \sum_{i=1}^{C} p_i \log_2 p_i
$$
where:
- $ H(S) $ is the entropy of the dataset $ S $.
- $ C $ is the number of classes.
- $ p_i $ is the proportion of samples in class $ i $.

If all samples belong to one class: $ H = - (1 \log_2 1 + 0 \log_2 0) = 0 $ <br>
If the classes are evenly split (50%-50%): $ H = - (0.5 \log_2 0.5 + 0.5 \log_2 0.5) = 1 $ <br>
If one class is dominant (e.g., 75%-25% split): $ H = - (0.75 \log_2 0.75 + 0.25 \log_2 0.25) = 0.81 $",,,
Error,,,"Reducible, Irreducible",,,,,,,
Estimators,Machine Learning,,.fit(),,,,,,,
