Process,Title,Header,Description
Model Types,Neural Networks,Translation invariance,"Translation invariance means that a model, like a CNN, can recognize a pattern regardless of where it appears in the input—for example, detecting a spike in a time series whether it occurs early or late in the sequence"
Model Types,Neural Networks,Max Pooling,"A max pooling layer in machine learning reduces the size of the input by sliding a window over it and keeping only the maximum value in each window, which helps the model focus on the most important features while reducing computation and increasing robustness to small shifts or noise."
Model Types,Neural Networks,Long Short Term Memory,"An LSTM (Long Short-Term Memory) is a special kind of neural network used for sequential data, like time series or text, that can learn and remember long-term patterns by using a memory cell and gates that control the flow of information—this allows it to keep important information from earlier in the sequence and forget what’s not relevant, making it well-suited for tasks like prediction, translation, or anomaly detection over time.

Traditional recurrent neural networks (RNNs) struggle to retain information over long sequences—they remember the recent (short-term) past but tend to ""forget"" earlier (long-term) information. LSTMs were designed to fix this by introducing a memory cell that can store information over long durations, while also using gates to manage short-term updates"
Model Types,Neural Networks,Feedforward,"Feedforward refers to a type of neural network where information moves in one direction only—from the input layer, through any hidden layers, to the output layer—without any loops or feedback connections. Each layer passes its output to the next, and the model does not retain memory of previous inputs, making it well-suited for tasks like classification or regression on fixed-size data."
Model Types,Neural Networks,Vanishing Gradient,"The vanishing gradient problem occurs during the training of deep neural networks when gradients used to update the model’s weights become very small as they are backpropagated through many layers. This causes earlier layers to learn very slowly or not at all, because their weights are barely updated, making it difficult for the model to capture long-range dependencies—especially in deep networks and recurrent architectures like RNNs."
Model Types,Neural Networks,Recurrent Dropout,"Recurrent dropout is a form of dropout applied within the recurrent connections of RNNs or LSTMs, where the same dropout mask is used at each time step to prevent overfitting without disrupting the sequence memory.

In regular dropout, random neurons are ""dropped"" independently at each time step, which can break the model’s ability to learn time-based patterns. Recurrent dropout fixes this by applying the same mask consistently across time, helping the model remain stable while still benefiting from regularization.

This technique is especially useful for LSTM and GRU networks working on small or noisy sequential datasets."
Model Types,Neural Networks,Stacking Recurrent Layers,
Model Types,Neural Networks,Bidirectional Recurrent Layers,
Model Types,Natural Language Processing,Definition,"Natural Language - Opposed to Created Language, backwards looking, usage determines structure and format. Differs from created languages, such as computer languages."
Model Types,Natural Language Processing,Background,"Originally expert systems, morphed into RNN and parametric models, towards Transformers."
Model Types,Natural Language Processing,Background,"Models do not understand language, they simply predict based on what has been done or said before and how statitically similiar it is likely to be."
Research Design,General Principles,Nature of Individuals,"Need to contend with the strategic nature of people - A person might try and ""fool"" you to think they are someone or something that they are not. A piece of steel is not going to if you're looking to understand how it performs under various types of stress."
Research Design,General Principles,Nature of Individuals,"The ability to explain, describe, or predict the behavior of a system based on its underlying structure, mechanisms, or causal relationships. Involves forming mental models, theories, or hypotheses about how things work. Often grounded in observation, reasoning, or data analysis. Example: Understanding that increasing interest rates tends to reduce inflation through decreased spending.

We can can decide without understanding. Decision-making can be pragmatic, not always rooted in deep understanding
We can Understand, without control - Tornado."
EDA,Review Variable,"Why. What am I trying to understand. Variable itself. Variables Relationship to Target, Variables Relationship to other variables. Data Quality.Correlation","Historgram, Scatter Plot, Correlation Matrix, Skewness, Linearity, non linearity, Independence, normal distribution, extremes, scaling,"
Data Processing,Data Availability,Is the Data Complete?,"If No, Do I have enough data to correct?"
Data Processing,Data Quality,Does the data appear to be Logically Consistent?,"Does it meet Normality, Variance"
Feature Engineering,Data Structure,"How do I handle the question of Imputation, Standardization, Distribution, Transformations, Feature Engineering, Is Target Available? Skewness, Linearity?",
Model Selection,,"Learning Type, Problem Type, Explanability, In- Out Memory, Training Speed, PRedicition Speed, Alog, Loss Function, Loss Objective.",
Model Evaluation,Evaluate Bias,,
ML Calculation,Instantiate the Model,,
ML Calculation,Calculate the Loss,,
ML Calculation,Calculate the Gradient,,
ML Calculation,Change Loss,,
ML Calculation,Measure Change.,,
Tensorflow,TF-Agents,,
Tensorflow,TFX,,
Tensorflow,TensorFlow Serving,,
Tensorflow,TensorFlow Hub,,
Kubernetes Production Environment,Lifecycle,Kubernetes Handles,
Kubernetes Production Environment,Access Control,Role Based (IAM),"The more we know about the motivations and incentives of decision makers, the more we can control the communication. "
Kubernetes Production Environment,Infrastructure,"CPU, Memory, Disk, Network",
Kubernetes Production Environment,Metrics,,
Kubernetes Production Environment,Centralized Logging,,
Kubernetes Production Environment,Exteneral DNS,,
Kubernetes Production Environment,SSL/ TLS Certificates,,
Kubernetes Production Environment,"Warnings, Notifications (Metrics Based)",,
Kubernetes Production Environment,Cost Management,,
Kubernetes Production Environment,VIsualization,,
Kubernetes Production Environment,Load Balancer,,
Experimentation,Hypothesis Testing,Design,HARK is an acronym for Hypothesizing After Results Known.
Experimentation,Hypothesis Testing,Design,"Standard statistical tests assume that the researcher made the choice before collecting the data, then collected data, then ran the test. If the researcher ran several tests, then made a choice, flukes are vastly more likely."
Experimentation,Hypothesis Testing,Design,"For obvious reasons, this particular flavor of survivorship bias is called “publication bias.” Interesting findings are published; non-findings, or failures to replicate previous findings, face a higher publication hurdle."
Experimentation,Hypothesis Testing,Design,"Out of all the possible studies that could have been conducted, it’s reasonable to guess that the journal was interested only in the ones that demonstrated precognition."
Experimentation,Design Principles,Lessons Learnt,"Sample error reflects the risk that, purely by chance, a randomly chosen sample of opinions does not reflect the true views of the population. The “margin of error” reported in opinion polls reflects this risk, and the larger the sample, the smaller the margin of error. A thousand interviews is a large enough sample for many purposes, and during the 1936 election campaign Mr. Gallup is reported to have conducted three thousand interviews."
Experimentation,Design Principles,Lessons Learnt,Sampling error is when a randomly chosen sample doesn’t reflect the underlying population purely by chance; sampling bias is when the sample isn’t randomly chosen at all. George Gallup took pains to find an unbiased sample because he knew that was far more important than finding a big one.
Experimentation,Design Principles,Lessons Learnt,"Kate Crawford, a researcher at Microsoft, has assembled many examples of when N = All assumptions have led people astray. When Hurricane Sandy hit the New York City area in 2012, researchers published an analysis of data from Twitter and a location-based search engine, Foursquare, showing that they could track a spike in grocery shopping the day before and a boom for bars and nightclubs the day after. That’s fine, as far as it goes—but those tweets about the hurricane were disproportionately from Manhattan, whereas areas such as Coney Island had been hit much harder. In fact, Coney Island had been hit so hard the electricity was out—that was why nobody there was tweeting—while densely populated and prosperous Manhattan was unusually saturated with smartphones, at least by 2012 standards, when they were less ubiquitous than today. To"
Experimentation,Design Principles,Lessons Learnt,"who respond to Literary Digest surveys” differ in some consistent way from “people who vote in elections.” Google Flu Trends captured every Google search, but not everybody who gets the flu turns to Google. Its accuracy depended on “people with flu who consult Google about it” not being systematically different from “people with flu.”"
Experimentation,Design Principles,Lessons Learnt,"Just like people, algorithms are neither trustworthy nor untrustworthy as a general class. Just as with people, rather than asking, “Should we trust algorithms?” we should ask, “Which algorithms can we trust, and what can we trust them to do?”
"
Decision Making,Decision Making,Criteria,How do the criteria compare?
Decision Making,Decision Making,Criteria,"Remember, it is important to know what Big Decisions which occur less frequently need differnet criteria for both decisions and measurement."
Decision Making,Decision Making,Criteria,What is the criteria being used other than make this decision?
Decision Making,Decision Making,Emotions,"Our emotions, preconceptions, political affiliations badly wrap the way we interpret evidence."
Decision Making,Decision Making,Emotions,Political decisions shape what statistics we gather and share and what we ignore and conceal.
Decision Making,Decision Making,Emotions,Doubt is our product.
Decision Making,Decision Making,Emotions,"Don’t convince smokers cigarettes aren’t bad, just that the evidence which suggested they were dangerous was questionable."
Decision Making,Decision Making,Emotions,Biases appear negatively. People can argue against what they don’t like.
Decision Making,Decision Making,Statistics,Statistics show us things we can’t see in any other way.
Decision Making,Decision Making,Statistics,We depend on reliable data to shape our decisions. Often only collect in the face of adversity.
Decision Making,Decision Making,Confusion,Offering more choices sometimes motivates and sometimes demotivates people.
Visualizations,Visualizations,How people Interpret,"Christ at Emmaus - Feelings can trump expertise. We find ways to dismiss evidence we don’t like, when it supports our preconceptions we are less likely to look for flaws."
Visualizations,Visualizations,What Am I looking at.,The bigger display with a wider array of jams attracted more customers but very few of them actually bought jam. The display that offered fewer choices inspired more sales.[1] The counterintuitive result went viral—it hit a sweet spot. People respond better to fewer choices!
Visualizations,Visualizations,,"Has the performance of the algorithm been assessed rigorously—for example, by running a randomized trial to see if people make better decisions with or without algorithmic advice? Have independent experts been given a chance to evaluate the algorithm? What have they concluded? We should not simply trust that algorithms are doing a better job than humans, nor should we assume that if the algorithms are flawed, the humans would be flawless."
Visualizations,Visualizations,,When someone tells a joke poorly it is more likely than not that they have forgotten to convey an important piece of information in the set up that makes the punch line funny. So it seems the joke is in the set up and not the punch line.
Presentation,Story Telling,Steps to a Better Story,1) Once Upon a Time..
Presentation,Story Telling,Steps to a Better Story,2) And Every Day..
Presentation,Story Telling,Steps to a Better Story,3) Until One Day..
Presentation,Story Telling,Steps to a Better Story,4) And Because of This..
Presentation,Story Telling,Steps to a Better Story,5) And Because of This..
Presentation,Story Telling,Steps to a Better Story,6) Until Finally..
Presentation,Story Telling,Steps to a Better Story,7) And Ever Since That Day..
Presentation,Story Telling,Fundamental Tenants,What is your character good at; comfortable with? Throw the polar opposite at them. Challenge them. How do they deal?
Presentation,Story Telling,Fundamental Tenants,Come up with your ending before you figure out your middle. Endings are hard; get yours working up front.
Presentation,Story Telling,Fundamental Tenants,"Finish your story; let go of it even if it's not perfect. Move on, and do better next time."
Presentation,Story Telling,Fundamental Tenants,"When you're stuck, make a list of what wouldn't happen next; often the material to get you unstuck will show up."
Presentation,Story Telling,Fundamental Tenants,Pull apart the stories you like. What you like in them is a part of you; you've got to recognize it before you can use it.
Presentation,Story Telling,Fundamental Tenants,"Putting it on paper lets you start fixing it. If it stays in your head a perfect idea, you'll never share it with anyone."
Presentation,Story Telling,Fundamental Tenants,"Discount the first thing that comes to mind, and the second, third, fourth, fifth. Get the obvious out of the way, and surprise yourself."
Presentation,Story Telling,Fundamental Tenants,"Give your characters opinions. Passive/malleable might seem likable to you as you write, but it's poison to the audience."
Presentation,Story Telling,Fundamental Tenants,Why must you tell this story? What's the belief that your story feeds off of? That's the heart of it.
Presentation,Story Telling,Fundamental Tenants,"If you were your character, in this situation, how would you feel? Honesty lends credibility to unbelievable situations."
Presentation,Story Telling,Fundamental Tenants,What are the stakes? Give us reason to root for the character. What happens if they don't succeed? Stack the odds against the character.
Presentation,Story Telling,Fundamental Tenants,"No work is ever wasted. If it's not working, let go and move on; it'll come back around to be useful later."
Presentation,Story Telling,Fundamental Tenants,"You have to know yourself and know the difference between doing your best and fussing (story is testing, not refining)."
Presentation,Story Telling,Fundamental Tenants,Coincidences to get characters into trouble are great; coincidences to get them out of it are cheating.
Presentation,Story Telling,Fundamental Tenants,Exercise: Take the building blocks of a movie you dislike. How would you rearrange them into something you do like?
Presentation,Story Telling,Fundamental Tenants,"You have to identify with your situation/characters; you can't just write something ""cool."" What would make you act that way?"
Presentation,Story Telling,Fundamental Tenants,"What's the essence of your story? The most economical telling of it? If you know that, you can build out from there."
Communication,Story Telling,Armature,"The armature is the core message, moral, or truth your story is built to prove. "
Communication,Story Telling,Armature,The point that your story is build around... It’s the invisible backbone of your narrative — the reason you’re telling the story. 
Communication,Story Telling,Armature,"The wire frame inside a sculpture: you don’t see it, but without it, the whole structure collapses."
Communication,Story Telling,Armature,"To get your point across, you must understand it. Most people can’t isolate their message, they want to say something deep and profound, but end up saying nothing."
Communication,Story Telling,Armature,"Find the thing your character would rather die than do, and make them do it."
Communication,Story Telling,What is your Plot,Plot: Series of events which transpire. Data Science isn’t only about Plot. Stories that matter are the stories whose plot can be rigorously be defended with logic and evidence. And those are the data science stories that can change the world
Communication,Story Telling,What is your Story,What you want people to take away and feel
Communication,Story Telling,Your Message,The logic of discovery is not the logic of presentation.
Communication,Story Telling,Your Message,"Can others understand what you are saying? Why should they care?
Give them the information to draw the conclusion, but also help them get to the conclusion you want them to arrive at."
Communication,Story Telling,Questions,How are you going to ensure it is heard?
Communication,Story Telling,What is your Call to Action?,What specifically are you asking? How will you know its understood.
Communication,Helpful Reminders,"Interesting and Engaging Visuals, Minimal Words.",80% Salient might be better than 100% accurate
Communication,Helpful Reminders,Is it Clear?,
Communication,Helpful Reminders,Is it interesting?,"People are easily distractable, so they might not recognize stuff that is immediately in front of them."
Communication,Helpful Reminders,Am I persuaive,
Communication,Helpful Reminders,Is it short?,"Too much information is a bad thing, people can’t remember everything."
Communication,Helpful Reminders,For More Information.,"Did you provide access to the necessary Information, without presenting it."
Communication,Helpful Reminders,Who is the story for?,"You can’t fall in love with the story, or you will miss the flaws, boredom, or questions. 
Every story needs a beginning, middle and end."
Persuasion,,Reciprocity,"People say yes to those who said yes to them. Invest in those you want to invest in you. Be the first to give, and do it personalized and unexpected."
Persuasion,,Scarcity,"People want what is in short supply. Tell them what they gain, what is unique and what they stand to lose."
Persuasion,,Authority,"Make sure people know your expertise. Don’t be arrogant. Specifically if they don’t know you, get a third party to introduce you."
Persuasion,,Consistency,"People like to be consistent when they take a public opinion. Get them to take a small step first, then they will be willing to take a big step in the future."
Persuasion,,Liking,"People want to be liked and work with people who like them. We like people who are similar to us, compliment us, cooperate with us"
Persuasion,,Consensus,People follow the leads of others.
Persuasion,,Ethos – Character,You are the character in your story. You need to establish your trustworthiness. Someone else always introduces the speaker.
Persuasion,,Logos – Reason,Articulate why your audience should care
Persuasion,,Pathos – Emotion,"Tell stories, make people feel it."
Persuasion,,Metaphor,"Can help people understand. Need to take care, as they don’t always work. Specifically as they’re culturally specific."
Persuasion,,Brevity,"Keep it brief, Bottom Line Up Front. Bluf."
StoryTelling,,Identify your Characters,You admire a character for trying more than for their successes.
StoryTelling,,Identify your Plot,"Keep in mind what's interesting to you as an audience member, not what's fun to do as a writer (they can be very different)."
StoryTelling,,Identify your Theme,"Trying for theme is important, but you won't see what the story is actually about until you're at the end of it; now rewrite the story."
Communication,Presentation Tenants,The Message,"Need to have a Crystal Clear Story, Idea and Goal."
Communication,Presentation Tenants,The Message,"Tell them what you’re going to tell them, tell them, and then tell them what you’re told them."
Communication,Presentation Tenants,The Message,Storytelling beats data 100% of the time.
Communication,Presentation Tenants,The Message,"Is the glass half full, half empty. If it's half full, do you have what you really want in the glass?"
Communication,Presentation Tenants,Design Principles,"Eyes, not Mind."
Communication,Presentation Tenants,Design Principles,"Competition is not a theme. Competition is a necessary evil, is a theme."
Communication,Presentation Tenants,No No's,Do not make the user think
Communication,Presentation Tenants,No No's,Do not make the user remember
Communication,Presentation Tenants,No No's,Do not use 3D unless absolutely necessary.
Communication,Presentation Tenants,No No's,Pie Charts. They Suck.
Communication,Know Your Audience,Who is your Audience?,How to get a CEO to remove a soft drink from Japan without telling them to remove a soft drink from Japan.
Communication,Know Your Audience,Who is your Audience?,"The more we know about the motivations and incentives of decision makers, the more we can control the communication. "
Communication,Know Your Audience,What do they want and why?,
Communication,Know Your Audience,"What are they expecting to hear, and why?","Cuban Missle Crisis: Asymettric Informaiton, Deception, Misreading Adversarieal Strength, Attempting to disrupt competitor. Fear is the reigning notion. People don't read the data well when fear is involved."
Communication,Know Your Audience,What Biases might they have?,"High Pressure Decision Making: The inverted U shape Curve, Stress vs Performance. No one knows exactly where it is for each individual."
Agentic AI,Approaches,Direct User Interaction,
Agentic AI,Approaches,Agent/ Assistant Proxy,
Agentic AI,Approaches,Agent/ Assistant,
Agentic AI,Approaches,Autonomous Agent,
Agentic AI,Comparison,LLM,"Understanding and Generatic Human Like Text vs Performing a Specific Task, Autonomously while learning its environment"
Type of Problems,Definition,Common Type of Problems,
Type of Problems,Common Types of Problems,Literal,The Answer is Directly Stated somewhere.
Type of Problems,Common Types of Problems,Inferential,The Answer is Implied by looking at multiple facts
Type of Problems,Common Types of Problems,Evaluative,"The Answer requires judgement, reasoning or evaluation. Specifically, where data is not available and someone is going to make a decision based on their interpretation."
Type of Problems,Common Types of Problems,Analytical,"Based on Data, Fact and Causation."
Type of Problems,Common Types of Problems,Creative,"Innovation, Future Design, where Data might suggest something, but ultimately the Correct solution does not currently exist."
Machine Learning,Feature Selection,Avoid Ambigious Features,Is a Banana Ripe? Who Says So.
Machine Learning,Feature Selection,Careful if Genuinely Random,Atmospheric Change
Machine Learning,Feature Selection,Data Quality Input,"MNIST performance when tilting Images, of adding noise."
Machine Learning,Feature Selection,Relevance,"Any data set can be optimized, even when there is NO relation. It will generalize."
Machine Learning,Tool,PyTorch,Favored in research and academia because of its eager execution (you can run and debug step by step like normal Python)
Machine Learning,Tool,PyTorch,"Pythonic, intuitive, and integrates seamlessly with libraries like NumPy"
Machine Learning,Tool,PyTorch,"Great for experimentation, quick prototyping, and custom model development."
Machine Learning,Tool,TensorFlow,"Stronger in production/industry, especially with enterprise systems."
Machine Learning,Tool,TensorFlow,"TensorFlow Serving, TensorFlow Lite (for mobile/edge), and TensorFlow.js (for web) make it great for deployment"
Machine Learning,Tool,TensorFlow,"High-level, user-friendly API for building models quickly."
Python,Command,Assert Statement,"Detemine if something is true, if not generate Error."
Python,Command,Assert Statement,"assert sys.version_info >= (3, 7)"
Sklearn,Definition,Definition,
Sklearn,Provisioning Data,fetch_*,Download Real Datasets (fetch_openml())
Sklearn,Provisioning Data,load_*,Download Toy Dataset
Sklearn,Provisioning Data,make_*,Generate Fake Datasets for Testing
Confusion Matrix,Definition,Definition,
Confusion Matrix,Classification,True Positive,
Confusion Matrix,Classification,Falst Positive,
Confusion Matrix,Classification,True Negative,
Confusion Matrix,Classification,False Negative,
Confusion Matrix,Evaluation,Precision,"Precision is the ratio of correct positive predictions to the overall number of Positive Predictions.  It is useful when false positives are costly (e.g., spam detection, where predicting a normal email as spam is bad)."
Confusion Matrix,Evaluation,Precision,TP/ (TP + FP)
Confusion Matrix,Evaluation,Recall,"Recall is the correct positive predicitions to the overall number of positive examples. It is useful when false negatives are costly (e.g., medical diagnosis, where missing a disease case can be dangerous)."
Confusion Matrix,Evaluation,Recall,TP/ (TP + FN)
Confusion Matrix,Evaluation,F1 Score,"F1 is harmonic mean is a type of average that is calculated by dividing the number of values by the sum of the reciprocals of the values, making it useful for situations where rates or ratios are involved, such as calculating average speeds or in situations where equal weighting is given to each data point’s contribution to the average. The F-score (or F1-score) is a measure of a model’s accuracy that considers both precision and recall. The F1-score is particularly useful when your dataset is imbalanced, and you want to ensure both precision and recall are considered. For example, if you only focus on precision, you might ignore false negatives (missed positive cases), and if you focus only on recall, you could have many false positives. The F1-score provides a balanced assessment by combining both metrics. The F Score is a Harmonic Mean, which means that it gives additional consideration to the effect of Lower Values (1/ sum (1/x)). Using travel time as an example, if you travelled 20 Miles (10 Miles at 30 MPH and 10 Miles at 60 MPH) your harmonic mean would be 36, not 45."
Confusion Matrix,Evaluation,F1 Score,2 * [(Precision*Recall)/(Precision+Recall)]
